"Alpha","Points:0","Points:1","Points:2","V:0","V:1","V:2","Wave_Drag","Wave_Drag_2D","Wave_Height","Wave_Height_2D","Wave_slope"
0.59339,4,2,-625.08,7.9453,-0.14711,-1.7276,0.13136,0.014557,-0.10782,-0.099162,0.077152
0.49872,12,2,-625.08,7.2255,0.31158,-1.4877,0.078863,0.0089882,0.33604,0.25493,-2.9529e-05
0.6894,20,2,-625.08,5.84,0.32643,-1.3889,0.036546,0.0028325,0.29322,0.27512,0.012362
1.3127,28,2,-625.08,5.1204,0.18549,-1.4004,0.020657,0.0011787,0.14178,0.05951,-0.10101
0.76006,36,2,-625.08,4.8895,0.21731,-0.95504,0.019496,0.00096733,-0.50326,-0.35637,-0.0016793
0.76006,44,2,-625.08,4.7299,0.28667,-0.25047,0.016213,0.00074569,-0.26691,-0.24185,0.056926
0.76006,52,2,-625.08,4.782,0.21244,0.11222,0.020304,0.0010426,0.11985,0.11555,0.11691
0.82825,60,2,-625.08,5.433,-0.049771,0.05833,0.033442,0.0025334,0.48079,0.385,0.059347
0.48125,68,2,-625.08,6.8327,-0.4327,-0.094506,0.068967,0.0082057,0.267,0.17831,-0.23125
0.43881,76,2,-625.08,8.4576,-0.63443,-0.097992,0.13802,0.022441,-0.4789,-0.31728,-0.12278
0.4881,84,2,-625.08,9.0286,-0.35861,0.013391,0.18387,0.0311,-0.25504,-0.24134,0.037108
0.45274,92,2,-625.08,8.0503,0.0061125,0.075384,0.10989,0.014258,0.051028,-0.0045628,0.00053704
0.57523,100,2,-625.08,6.7249,0.053173,0.076043,0.063635,0.006577,0.023547,0.075917,0.0020109
0.76591,108,2,-625.08,6.2116,-0.068186,0.2415,0.059486,0.0056624,0.31029,0.21661,0.067077
0.54551,116,2,-625.08,6.817,-0.33832,0.55753,0.074192,0.0087889,0.034983,0.04586,-0.15346
0.4939,124,2,-625.08,8.6554,-0.75193,0.79099,0.17317,0.027637,-0.17506,-0.13862,-0.092634
0.51173,132,2,-625.08,10.573,-0.68383,0.68028,0.32919,0.060477,-0.16649,-0.094853,0.12029
0.42756,140,2,-625.08,10.3,-0.046569,0.16022,0.24447,0.041984,0.27188,0.14726,-0.022285
0.48731,148,2,-625.08,8.0549,0.22133,-0.37523,0.10971,0.014158,-0.03747,0.015611,-0.056514
0.67407,156,2,-625.08,6.1857,-0.021553,-0.45966,0.043909,0.003665,-0.028332,-0.031844,0.029096
1.293,164,2,-625.08,5.3735,-0.18812,-0.033671,0.029918,0.0018632,-0.040266,-0.065584,-0.0027657
0.76006,172,2,-625.08,4.9133,-0.061418,0.5119,0.018807,0.00090272,-0.20411,-0.106,0.0936
0.76006,180,2,-625.08,4.518,0.21601,0.43528,0.010875,0.00037143,0.22068,0.066434,0.024059
0.76006,188,2,-625.08,4.2444,0.432,-0.11508,0.0082911,0.00019539,-0.28,-0.093376,-0.066642
0.69182,4,2,-615.23,6.6663,0.18497,-1.3922,0.068331,0.005159,-0.10782,-0.099162,0.077152
0.6296,12,2,-615.23,6.1294,0.097616,-1.3771,0.04714,0.0042046,0.33604,0.25493,-2.9529e-05
0.61217,20,2,-615.23,6.7011,-0.17364,-1.8811,0.074235,0.0082429,0.29322,0.27512,0.012362
0.50677,28,2,-615.23,7.53,-0.15445,-1.4952,0.098028,0.012537,0.14178,0.05951,-0.10101
0.65748,36,2,-615.23,6.8514,0.1858,-0.80956,0.071358,0.0073863,-0.50326,-0.35637,-0.0016793
1.6208,44,2,-615.23,5.2313,0.2761,-0.58306,0.021783,0.0012181,-0.26691,-0.24185,0.056926
0.76006,52,2,-615.23,4.261,0.034485,-0.41798,0.0083388,0.00019188,0.11985,0.11555,0.11691
0.76006,60,2,-615.23,4.1402,-0.13454,-0.21794,0.005711,0.00012013,0.48079,0.385,0.059347
0.76006,68,2,-615.23,4.3021,-0.019304,-0.17383,0.0063848,0.00017959,0.267,0.17831,-0.23125
0.76006,76,2,-615.23,4.3979,0.23649,-0.044241,0.0070288,0.00021946,-0.4789,-0.31728,-0.12278
0.76006,84,2,-615.23,4.4059,0.3614,0.21965,0.010093,0.00032243,-0.25504,-0.24134,0.037108
0.76006,92,2,-615.23,4.4547,0.25025,0.37505,0.010606,0.00039421,0.051028,-0.0045628,0.00053704
0.76006,100,2,-615.23,4.6152,0.041502,0.34596,0.014428,0.00063736,0.023547,0.075917,0.0020109
0.76006,108,2,-615.23,4.872,0.0070349,0.20456,0.02085,0.0011126,0.31029,0.21661,0.067077
1.258,116,2,-615.23,5.0749,0.20956,0.067328,0.018772,0.0010703,0.034983,0.04586,-0.15346
1.6125,124,2,-615.23,5.0974,0.41887,0.12791,0.020368,0.0011675,-0.17506,-0.13862,-0.092634
0.76006,132,2,-615.23,4.9361,0.53245,0.3742,0.020103,0.0010546,-0.16649,-0.094853,0.12029
0.76006,140,2,-615.23,4.7024,0.45225,0.46372,0.01474,0.00064556,0.27188,0.14726,-0.022285
0.76006,148,2,-615.23,4.5675,0.21244,0.18437,0.012484,0.00047261,-0.03747,0.015611,-0.056514
0.76006,156,2,-615.23,4.583,0.082038,0.045395,0.013746,0.00054472,-0.028332,-0.031844,0.029096
0.76006,164,2,-615.23,4.9133,0.050176,0.24482,0.024717,0.0013622,-0.040266,-0.065584,-0.0027657
0.89589,172,2,-615.23,5.8766,-0.11493,0.38782,0.051219,0.00442,-0.20411,-0.106,0.0936
0.63407,180,2,-615.23,7.0208,-0.27322,0.2126,0.089416,0.010215,0.22068,0.066434,0.024059
0.61228,188,2,-615.23,7.0462,-0.1271,-0.19654,0.076986,0.0060394,-0.28,-0.093376,-0.066642
0.53784,4,2,-605.39,9.0691,-0.19394,-0.48033,0.19218,0.025824,-0.10782,-0.099162,0.077152
0.45573,12,2,-605.39,8.931,-0.45728,-0.55131,0.16918,0.026885,0.33604,0.25493,-2.9529e-05
0.48369,20,2,-605.39,9.0812,-0.72741,-0.49269,0.18511,0.029436,0.29322,0.27512,0.012362
0.44463,28,2,-605.39,8.5372,-0.43707,0.43905,0.13374,0.0193,0.14178,0.05951,-0.10101
0.61264,36,2,-605.39,7.1247,0.042003,0.72436,0.078192,0.0084842,-0.50326,-0.35637,-0.0016793
1.127,44,2,-605.39,5.506,0.28689,-0.077924,0.026991,0.0017108,-0.26691,-0.24185,0.056926
0.76006,52,2,-605.39,4.3858,0.28444,-0.52107,0.0097977,0.00026279,0.11985,0.11555,0.11691
0.76006,60,2,-605.39,3.8772,0.19362,-0.27065,0.002092,1.7972e-05,0.48079,0.385,0.059347
0.76006,68,2,-605.39,3.6204,0.021981,-0.15634,0.00034315,5.3074e-07,0.267,0.17831,-0.23125
0.76006,76,2,-605.39,3.5137,-0.11056,-0.36479,0,0,-0.4789,-0.31728,-0.12278
0.76006,84,2,-605.39,3.6209,-0.099191,-0.55672,0.00066677,2.4521e-06,-0.25504,-0.24134,0.037108
0.76006,92,2,-605.39,3.7702,0.03629,-0.44277,0.0021219,1.4084e-05,0.051028,-0.0045628,0.00053704
0.76006,100,2,-605.39,3.8243,0.10284,-0.16063,0.0027985,2.1417e-05,0.023547,0.075917,0.0020109
0.76006,108,2,-605.39,3.8957,0.080024,-0.26218,0.0037568,4.2987e-05,0.31029,0.21661,0.067077
0.76006,116,2,-605.39,3.981,0.030428,-0.62541,0.0038787,6.4161e-05,0.034983,0.04586,-0.15346
0.76006,124,2,-605.39,3.9367,0.043965,-0.88205,0.0035847,4.6092e-05,-0.17506,-0.13862,-0.092634
0.76006,132,2,-605.39,3.8024,0.12391,-1.0065,0.0023236,1.8475e-05,-0.16649,-0.094853,0.12029
0.76006,140,2,-605.39,3.7466,0.13722,-0.86526,0.0021223,1.3243e-05,0.27188,0.14726,-0.022285
0.76006,148,2,-605.39,3.7675,0.067988,-0.48719,0.0023948,1.8089e-05,-0.03747,0.015611,-0.056514
0.76006,156,2,-605.39,3.7886,0.013492,-0.25328,0.0032723,2.5571e-05,-0.028332,-0.031844,0.029096
0.76006,164,2,-605.39,3.9251,-0.005358,-0.37633,0.0053669,7.7287e-05,-0.040266,-0.065584,-0.0027657
0.76006,172,2,-605.39,4.2628,-0.032008,-0.34044,0.0092771,0.00026009,-0.20411,-0.106,0.0936
