"Alpha","Points:0","Points:1","Points:2","V:0","V:1","V:2","Wave_Drag","Wave_Drag_2D","Wave_Height","Wave_Height_2D","Wave_slope"
0.19046,4,2,-625.08,12.451,-0.40782,0.61872,0.19615,0.043692,-0.19713,-0.20798,-0.039439
0.2218,12,2,-625.08,12.644,-0.70825,0.18081,0.23192,0.055636,-0.1803,-0.14351,0.045791
0.22339,20,2,-625.08,13.277,-0.81756,-0.21885,0.26685,0.066258,0.057296,0.042744,0.065123
0.19495,28,2,-625.08,13.615,-0.78862,-0.054291,0.25682,0.063691,0.20758,0.16815,-0.0035568
0.21887,36,2,-625.08,13.234,-0.59843,0.42304,0.24732,0.05835,0.12128,0.1222,0.03268
0.17371,44,2,-625.08,12.751,-0.49865,0.54337,0.19697,0.048069,0.040493,0.018751,-0.064719
0.17749,52,2,-625.08,12.852,-0.59254,0.34913,0.20487,0.050887,-0.17074,-0.079187,0.00016628
0.18036,60,2,-625.08,12.773,-0.64533,0.30539,0.19802,0.048129,0.16735,0.071389,0.02015
0.17732,68,2,-625.08,11.439,-0.48556,0.19612,0.134,0.028811,-0.07031,-0.010323,0.014257
0.15791,76,2,-625.08,9.4739,-0.14788,-0.38641,0.0706,0.013497,0.051957,0.061524,-0.015613
0.16869,84,2,-625.08,8.2456,0.26481,-0.96508,0.049463,0.0079682,0.23163,0.19163,-0.017362
0.20888,92,2,-625.08,8.2742,0.34819,-0.74911,0.060926,0.0099823,0.17132,0.10596,-0.084397
0.23129,100,2,-625.08,9.5239,-0.10504,0.2195,0.10528,0.020065,-0.28116,-0.22876,-0.013841
0.20144,108,2,-625.08,11.315,-0.66383,1.1484,0.1597,0.035014,-0.41927,-0.40935,-0.023226
0.19316,116,2,-625.08,11.969,-0.62008,1.5148,0.17883,0.044065,-0.49785,-0.36985,0.044146
0.19479,124,2,-625.08,10.831,-0.078291,1.4672,0.12986,0.028434,0.19157,0.1058,0.11021
0.1704,132,2,-625.08,9.1939,0.30564,1.1434,0.068477,0.011064,0.36634,0.26062,-0.079529
0.27273,140,2,-625.08,8.3251,0.23809,0.81018,0.064849,0.010136,-0.093205,0.067847,0.044387
