                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  1.134293274262E+01 -1.108061342334E-15 -6.853234716541E-02  1.308203661755E+02  4.445630745303E-02  5.914697512586E-01 -1.305211763799E-01 -9.179974224868E-04 -7.737054682676E-01  6.744008084052E-01 -9.446149383699E-04  3.567448354618E-03 -2.622833416256E-03 -3.895964716459E+00  1.615165432215E-02 -6.668272205643E-04 -5.873411643695E-05 -1.190031046627E-05  4.773062838193E+01  6.668272205743E-04 -2.966333365479E-01  6.963563815609E-20 -1.422009138702E-21  5.936429213691E-21 -5.713564922896E-03
  4.000000000000E+00  6.000000000000E+00  1.252241567584E+01 -2.861822613378E-15 -7.978984944566E-02  1.587298287428E+02  1.773720988959E-01  5.293223640558E-01 -2.437132695798E-01 -7.473852111496E-04 -9.953087435328E-01  4.815982428883E+00  1.465071977824E-01 -1.881514712807E-01  4.164427350087E-02 -7.306445655543E-01 -6.905248133672E-02  1.486873774303E-04 -9.028559668023E-05 -1.121835438279E-05  3.158483048507E+00 -1.486873774650E-04 -2.179780399518E-02  8.389670199508E-20 -1.172782672621E-20 -2.241116964228E-20 -5.419483688287E-02
  8.000000000000E+00  1.000000000000E+01  1.292202853602E+01 -2.772132964441E-15 -7.943345250584E-02  1.685960258965E+02  2.104299205086E-01  4.781322996459E-01 -2.378689018442E-01 -7.865728626702E-04 -1.022267197125E+00  5.035479979087E+00  9.175019706962E-02 -2.453134944619E-01  1.535632973932E-01 -4.589530276210E-01 -5.453038072391E-03  1.317619052263E-04 -4.733321083867E-05 -2.092952263104E-06  1.548463993213E+00 -1.317619052423E-04  3.944297511840E-03  3.684991429587E-20  3.075030678252E-23  4.195276608873E-20 -2.782867587972E-02
  1.200000000000E+01  1.400000000000E+01  1.329670759423E+01 -9.049566651598E-16 -7.782650398183E-02  1.783681943217E+02  2.273437258997E-01  4.620057472563E-01 -2.539398583323E-01 -6.455408270156E-04 -1.029968740195E+00  4.966076899982E+00  8.659031341320E-02 -2.268229493482E-01  1.402326359378E-01 -4.327583329274E-01  3.269247838454E-03  8.226108891331E-05 -2.474341187975E-05 -6.562807343872E-06  1.294973928923E+00 -8.226108893568E-05  8.576804839382E-03  4.860809607539E-20 -7.146515105171E-21  7.701196535478E-20 -2.383388452895E-02
  1.600000000000E+01  1.800000000000E+01  1.356953470293E+01  1.348822208619E-15 -7.510264605782E-02  1.856191125504E+02  2.411255754088E-01  4.505940428329E-01 -2.526357567080E-01 -6.759052445078E-04 -1.013291602357E+00  4.687573161831E+00  7.254501817058E-02 -2.015491738336E-01  1.290041556599E-01 -3.218545549833E-01  1.739711676371E-03  6.506185984710E-05 -1.428541282433E-05  5.056587142788E-06  1.030638779957E+00 -6.506185979560E-05  1.115712727092E-02  4.744996714236E-20  2.311338314281E-21  6.547524379118E-20 -1.880701607982E-02
  2.000000000000E+01  2.200000000000E+01  1.381199326800E+01  2.876895957697E-15 -7.220944004911E-02  1.922184785753E+02  2.530747572639E-01  4.456031755123E-01 -2.571359942814E-01 -7.036782694030E-04 -9.906253149860E-01  4.495865896040E+00  6.437348826439E-02 -1.831032096805E-01  1.187297214192E-01 -2.835639291486E-01 -3.799606756447E-04  3.771394827752E-05 -8.509633857086E-06  6.506989511017E-06  8.867993979644E-01 -3.771394840837E-05  1.175044973145E-02 -9.273372962650E-21  2.192177572142E-21  5.934634949385E-20 -1.622216050460E-02
  2.400000000000E+01  2.600000000000E+01  1.401295992748E+01  3.514246208308E-15 -6.924755288525E-02  1.977691694456E+02  2.632896213957E-01  4.423101270065E-01 -2.568663712564E-01 -7.650531916235E-04 -9.634624628544E-01  4.294762864263E+00  5.633478333477E-02 -1.674323736496E-01  1.110975903158E-01 -2.354429189295E-01 -9.735693342657E-04  3.035991360374E-05 -6.235681868249E-06  6.267453095190E-06  7.624762548130E-01 -3.035991356095E-05  1.047930609570E-02  2.397633697433E-20 -3.418618375267E-21  5.532396174706E-20 -1.384147894501E-02
  2.800000000000E+01  3.000000000000E+01  1.419332327467E+01  4.824482158535E-15 -6.698505636358E-02  2.028300100876E+02  2.716995697112E-01  4.400942009068E-01 -2.582287389489E-01 -8.064920318085E-04 -9.439469219957E-01  4.139658396670E+00  5.078813728763E-02 -1.554247035722E-01  1.046365662824E-01 -2.089974280780E-01 -1.203548911548E-03  1.722454114234E-05 -6.962024402353E-06  1.118317929636E-05  6.774164483527E-01 -1.722454102955E-05  8.074894925919E-03  2.073097950458E-20  1.414365751727E-20  8.140252742970E-20 -1.227277001952E-02
  3.200000000000E+01  3.400000000000E+01  1.435167889066E+01  6.720676586861E-15 -6.519020492215E-02  2.073258250307E+02  2.784738042448E-01  4.379985408277E-01 -2.578292399348E-01 -8.468559968845E-04 -9.281426680164E-01  3.996922124325E+00  4.556580744706E-02 -1.451512940496E-01  9.958548660389E-02 -1.836931830747E-01 -1.167644295780E-03  2.345736297803E-05 -6.755029200595E-06  1.466148542394E-05  6.069320446827E-01 -2.345736302063E-05  6.466096960779E-03  3.996865267667E-20 -2.042948349684E-21  1.002592985622E-19 -1.091856103273E-02
  3.600000000000E+01  3.800000000000E+01  1.449673173683E+01  5.708870803751E-15 -6.373772287008E-02  2.114916318875E+02  2.838919676977E-01  4.365320033504E-01 -2.580542254474E-01 -9.662807946762E-04 -9.156631956463E-01  3.875048473416E+00  4.140333178320E-02 -1.367362062709E-01  9.533287448828E-02 -1.663472478769E-01 -1.075339723149E-03  1.927049327712E-05 -3.989520119847E-06  1.827163543069E-05  5.543995293517E-01 -1.927049333530E-05  4.209831546839E-03  5.969881825592E-20 -1.729689655284E-20  6.662141262105E-20 -9.910711334076E-03
  4.000000000000E+01  4.200000000000E+01  1.462889833322E+01  4.291657632570E-15 -6.309007680953E-02  2.153225854074E+02  2.882020025151E-01  4.346867488298E-01 -2.574854174914E-01 -9.898495280208E-04 -9.142318621043E-01  3.761196544258E+00  3.809402738540E-02 -1.291178418828E-01  9.102381449918E-02 -1.509041172905E-01 -4.367715485971E-04  2.041897608963E-05 -2.301390823329E-06  1.611055858634E-05  5.100947899112E-01 -2.041897623990E-05  2.665228944740E-03  3.049219619157E-20 -1.017980505052E-20  8.125596409513E-20 -9.074223777344E-03
  4.400000000000E+01  4.600000000000E+01  1.475180760354E+01  5.420324065526E-15 -6.240053523211E-02  2.189194476746E+02  2.915596841275E-01  4.329330417584E-01 -2.571301454455E-01 -1.028457804720E-03 -9.114388028788E-01  3.662184536827E+00  3.523171068340E-02 -1.221662900050E-01  8.693457932080E-02 -1.399053641532E-01 -5.641843372049E-04  1.884884964586E-05 -2.736665658342E-06  1.193739703799E-05  4.752789743750E-01 -1.884884973305E-05  1.893132480440E-03  2.264619721804E-21 -3.388413337665E-21  7.389501786888E-20 -8.434093856598E-03
  4.800000000000E+01  5.000000000000E+01  1.486649474171E+01  9.049192759961E-15 -6.213011386661E-02  2.223041298817E+02  2.941098242677E-01  4.315989021580E-01 -2.564026603292E-01 -1.111994792822E-03 -9.136230444532E-01  3.569456050981E+00  3.258960927185E-02 -1.160628792132E-01  8.347326994193E-02 -1.300099807027E-01 -3.808951537820E-04  1.780144648864E-05 -2.762792735211E-06  3.770611502605E-06  4.454832051863E-01 -1.780144640444E-05 -4.762484596761E-04  4.857367802416E-20 -2.630174911780E-21  8.570235750068E-20 -7.852552898608E-03
  5.200000000000E+01  5.400000000000E+01  1.497452259204E+01  1.601194378277E-14 -6.264000241500E-02  2.255204460347E+02  2.959441269567E-01  4.303144460920E-01 -2.558152617364E-01 -1.125564561998E-03 -9.272921154438E-01  3.487644487917E+00  3.039109134069E-02 -1.109921421657E-01  8.060105082467E-02 -1.214778992813E-01  6.225968148043E-05  1.714552435075E-05 -2.114298313370E-06  2.540559402387E-06  4.202773664309E-01 -1.714552454532E-05 -2.293717296784E-03 -7.267107305737E-21 -1.060059161894E-20  5.192278464419E-20 -7.352541852779E-03
