                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  1.214019543848E+01  1.393092184578E-15 -3.122629090687E-02  1.494441782339E+02  3.722882011000E-02  4.828261644387E-01 -1.080311892707E-01 -2.375499699444E-04 -3.751226360478E-01  5.620864300554E-01 -1.012237295469E-04  1.847867337853E-03 -1.746643608485E-03 -3.457618911785E+00  7.223828689229E-03  5.619440223810E-06 -3.109204997024E-06 -8.756641149864E-06  5.051745814734E+01 -5.619440168204E-06 -1.434196451525E-01  3.926517910500E-20 -6.495279146416E-21 -1.377107173719E-20 -4.009700490231E-03
  4.000000000000E+00  6.000000000000E+00  1.311846099635E+01  3.775475302762E-15 -4.046605123919E-02  1.737745049953E+02  1.483824593682E-01  4.149344774688E-01 -1.952951467785E-01 -2.258447779204E-05 -5.266334660066E-01  4.227057153583E+00  1.073467986757E-01 -1.494369562600E-01  4.209015758375E-02 -5.308614197230E-01 -5.456274007051E-02 -7.447618720670E-06 -6.526998265566E-06 -6.013295485218E-07  2.657934028877E+00  7.447618749456E-06 -2.070095053251E-02  3.361404806401E-20  1.632818219658E-21  9.676392997904E-21 -4.025080505346E-02
  8.000000000000E+00  1.000000000000E+01  1.346917026579E+01  5.834936203551E-15 -4.155985792429E-02  1.828517260177E+02  1.736122171277E-01  3.707332452380E-01 -1.922087891392E-01 -3.417726805546E-05 -5.550423360025E-01  4.448476127260E+00  7.200336541187E-02 -1.934482220352E-01  1.214448566231E-01 -3.600337256152E-01 -7.273858818482E-04 -4.239743946294E-06 -6.132689788337E-06  6.326058736674E-06  1.347257696941E+00  4.239743962775E-06 -1.373982930254E-04  1.991277726076E-20 -3.289163264220E-22  2.178249272017E-21 -2.175958009254E-02
  1.200000000000E+01  1.400000000000E+01  1.379207244981E+01  7.609705590271E-15 -4.054181327029E-02  1.916009659820E+02  1.855395257550E-01  3.579633412389E-01 -2.029625685212E-01  4.918496886885E-05 -5.549439171318E-01  4.386460608176E+00  6.632245586117E-02 -1.792307042609E-01  1.129082484019E-01 -3.329275129620E-01  4.191389162126E-03 -8.392212183677E-07 -3.965219495187E-06  1.126981167222E-05  1.125188459405E+00  8.392212915969E-07  6.221154663114E-03  1.150336126737E-21 -1.223417755132E-20  4.257722906823E-20 -1.848550853024E-02
  1.600000000000E+01  1.800000000000E+01  1.403176133659E+01  8.057840473422E-15 -3.847954923953E-02  1.982087646381E+02  1.948537816427E-01  3.480060674960E-01 -2.016933968120E-01 -3.331289119263E-06 -5.366065041555E-01  4.147055816008E+00  5.519842456688E-02 -1.591168691245E-01  1.039184445581E-01 -2.524296141384E-01  2.907457882591E-03  9.334278659401E-06 -1.224383685425E-06  3.554588841129E-06  9.027504607205E-01 -9.334278658359E-06  9.529867575104E-03  1.181042043956E-20 -4.405433353718E-21  3.323054832829E-20 -1.471627810194E-02
  2.000000000000E+01  2.200000000000E+01  1.424345432647E+01  7.081639239135E-15 -3.579534993781E-02  2.041658444358E+02  2.028834492272E-01  3.436792391198E-01 -2.044269471119E-01 -6.902328033340E-07 -5.067305600330E-01  3.978962145396E+00  4.879707953829E-02 -1.447368865536E-01  9.593980701552E-02 -2.209080276788E-01  6.936523679846E-04 -8.054102296923E-06  5.319631211035E-08  6.331395234832E-06  7.771015044176E-01  8.054102330564E-06  1.155510447923E-02  1.131946195988E-20 -5.207764086349E-21  2.573437809663E-20 -1.268337935267E-02
  2.400000000000E+01  2.600000000000E+01  1.442034354107E+01  5.459451666064E-15 -3.271583684351E-02  2.092073788199E+02  2.098512966570E-01  3.396826202328E-01 -2.036067200176E-01 -2.936943327204E-05 -4.687532687392E-01  3.803874514717E+00  4.256049440505E-02 -1.318696200226E-01  8.930912561926E-02 -1.848293069157E-01 -3.106798762075E-04  9.146655224824E-06 -2.376768936652E-07  8.416614466377E-06  6.735367565839E-01 -9.146655253961E-06  1.257220328635E-02  1.016571215070E-20  1.132510847798E-20  3.908229548990E-20 -1.089589134654E-02
  2.800000000000E+01  3.000000000000E+01  1.458024494401E+01  3.899769215598E-15 -2.949280426399E-02  2.138272981030E+02  2.154263197231E-01  3.364785980643E-01 -2.040529509010E-01 -1.956046959775E-06 -4.269141659963E-01  3.664461693195E+00  3.807102990763E-02 -1.220623885485E-01  8.399135864039E-02 -1.650859986635E-01 -1.227597293456E-03  2.708887135576E-06  2.661050621786E-07  7.867434718435E-06  6.023976282183E-01 -2.708887052579E-06  1.293232439575E-02 -2.505415180834E-21 -1.493848078553E-20  4.320728567658E-20 -9.703890631724E-03
  3.200000000000E+01  3.400000000000E+01  1.472152740529E+01  2.303847434007E-15 -2.620092935608E-02  2.179512434147E+02  2.196368034186E-01  3.334861642765E-01 -2.031459613913E-01 -6.279192545044E-05 -3.824827821949E-01  3.534332508445E+00  3.454429113044E-02 -1.137125088936E-01  7.916821776422E-02 -1.456489969901E-01 -1.567876165379E-03  7.237306505407E-07  2.341032399105E-06  2.522799183268E-06  5.424632483557E-01 -7.237307474773E-07  1.175759149267E-02  2.160049972884E-22 -1.199380412067E-20  3.202229067904E-20 -8.685912623460E-03
  3.600000000000E+01  3.800000000000E+01  1.485145080297E+01 -8.025264480738E-17 -2.358263282383E-02  2.217835585839E+02  2.227205720963E-01  3.304791193355E-01 -2.026942594142E-01 -1.232711506248E-04 -3.465290056073E-01  3.423956950210E+00  3.183020289167E-02 -1.066486500165E-01  7.481844712261E-02 -1.327060597223E-01 -1.360304070708E-03  2.476901352018E-06  4.936558407684E-06  2.670864245966E-06  4.990828337213E-01 -2.476901334476E-06  8.991879671084E-03 -4.131801214830E-21 -5.402330416336E-21  1.146309098273E-20 -7.942592198574E-03
  4.000000000000E+01  4.200000000000E+01  1.497107220613E+01 -1.203635787682E-15 -2.170082301590E-02  2.253431661228E+02  2.249287058362E-01  3.276448003489E-01 -2.016460859695E-01 -1.816452220122E-04 -3.201027506064E-01  3.324614726725E+00  2.924611719627E-02 -1.003709138896E-01  7.112479669494E-02 -1.216226725886E-01 -9.286351968418E-04 -1.516651715342E-06  6.728398661152E-06  4.646422173045E-07  4.633875070320E-01  1.516651609598E-06  5.455314786391E-03 -1.944123427025E-20  1.749452136973E-21  2.738309273165E-20 -7.332249832787E-03
