                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  1.189034246976E+01 -4.774030960772E-15 -2.312951039644E-02  1.435206899172E+02  3.985367157804E-02  5.378072017270E-01 -1.159909039650E-01 -4.246033743177E-04 -2.687427460259E-01  5.949748918705E-01 -4.943453362974E-04  2.398205560468E-03 -1.903860224051E-03 -3.591325360571E+00  6.650882318137E-03 -4.047447405330E-04 -3.417100974102E-05 -6.204347991787E-06  4.963444410393E+01  4.047447404291E-04 -9.328359139647E-02  2.419964922868E-20 -4.775003959625E-22 -4.018751314454E-20 -4.459894473454E-03
  4.000000000000E+00  6.000000000000E+00  1.292694320508E+01 -1.263245385756E-14 -2.355367900617E-02  1.689152638052E+02  1.588104961492E-01  4.800205064087E-01 -2.123597955764E-01 -5.119100520596E-04 -2.949973715596E-01  4.418745046056E+00  1.188933211508E-01 -1.617512550313E-01  4.285793387768E-02 -5.877717511634E-01 -6.483865843775E-02  9.772437874154E-05 -5.161587842639E-05 -1.946602813624E-08  2.810000223748E+00 -9.772437886488E-05  3.217598451284E-03  8.918149197180E-20  1.348302856589E-20 -7.098061378837E-21 -4.438215763916E-02
  8.000000000000E+00  1.000000000000E+01  1.329524700759E+01 -1.685100333106E-14 -2.153337631059E-02  1.783165572645E+02  1.864309229213E-01  4.356993038312E-01 -2.087855892830E-01 -4.581443588670E-04 -2.752450068725E-01  4.637970408633E+00  7.779480898981E-02 -2.099886785945E-01  1.321938696034E-01 -3.922120217631E-01 -4.455716971500E-03  9.359135201746E-05 -2.656112660578E-05 -7.590800578879E-06  1.414388498343E+00 -9.359135208387E-05  1.023996189178E-02  3.890323063564E-20 -3.805299039717E-21  3.050818424021E-20 -2.369529831252E-02
  1.200000000000E+01  1.400000000000E+01  1.363414008544E+01 -1.777937376678E-14 -1.836624152519E-02  1.873945043038E+02  2.000938176094E-01  4.243556519574E-01 -2.215484871416E-01 -3.253922028417E-04 -2.361454480420E-01  4.563971048500E+00  7.288825998040E-02 -1.946712495771E-01  1.217829895961E-01 -3.634046679297E-01  1.881996665913E-03  5.529290450472E-05 -1.419836224625E-05  4.159942182448E-09  1.175461973021E+00 -5.529290471696E-05  1.494588006479E-02  4.033812282254E-20  7.086031770060E-21  6.723121255751E-20 -2.004903203327E-02
  1.600000000000E+01  1.800000000000E+01  1.388297733830E+01 -1.481905030635E-14 -1.401463563165E-02  1.941796022400E+02  2.112521953401E-01  4.149349566818E-01 -2.208458400951E-01 -3.126964119044E-04 -1.773575785964E-01  4.305044182755E+00  6.048196372898E-02 -1.724228037269E-01  1.119408400002E-01 -2.720152583460E-01  5.273451949373E-05  2.993168962507E-05 -6.785752499596E-06 -5.053730216577E-06  9.370712801944E-01 -2.993168953834E-05  1.733063834962E-02  5.699884857442E-21  3.933855630993E-21  7.318507722065E-20 -1.583731447579E-02
  2.000000000000E+01  2.200000000000E+01  1.410271112240E+01 -9.337810707681E-15 -9.695798403094E-03  2.002981188327E+02  2.208869316268E-01  4.102073906697E-01 -2.246387523235E-01 -3.113626367936E-04 -1.167544326815E-01  4.123999591516E+00  5.364052703348E-02 -1.563098341533E-01  1.026693071211E-01 -2.374270272880E-01 -1.539990052356E-03  2.845067253623E-05 -2.370509620914E-06 -3.994931673429E-06  8.021509695936E-01 -2.845067282413E-05  1.614293408567E-02  1.544766780750E-20  3.659421414372E-21  1.301643426480E-19 -1.356580534026E-02
  2.400000000000E+01  2.600000000000E+01  1.428411466067E+01 -3.977740482194E-15 -5.974468734801E-03  2.054180974058E+02  2.290831736722E-01  4.062489760592E-01 -2.246148351920E-01 -3.352978984122E-04 -6.303364274751E-02  3.936535147290E+00  4.681076843851E-02 -1.424177786846E-01  9.560701024832E-02 -1.967284014561E-01 -1.465102537566E-03  6.783682954321E-06 -1.406367222391E-06  3.057975672502E-06  6.883061880776E-01 -6.783682815867E-06  1.347559091644E-02 -2.310484336697E-20 -9.069466207295E-21  1.001939890739E-19 -1.156083879934E-02
  2.800000000000E+01  3.000000000000E+01  1.444688209194E+01  2.394750594296E-15 -2.986409902645E-03  2.100755933337E+02  2.358083363108E-01  4.032943978277E-01 -2.257975245085E-01 -3.764695298214E-04 -1.930825971527E-02  3.787431822922E+00  4.194917051051E-02 -1.317706516762E-01  8.982148116563E-02 -1.742220284101E-01 -1.695632790329E-03  1.439687098573E-05 -7.935399352610E-07  4.190346541265E-06  6.101797781318E-01 -1.439687098607E-05  1.094584239579E-02 -3.797489142735E-21  1.434460272892E-20  9.586127985505E-20 -1.019949889511E-02
  3.200000000000E+01  3.400000000000E+01  1.458919720291E+01  1.016071088667E-14 -4.966773849250E-04  2.141905484872E+02  2.411249173410E-01  4.004386955925E-01 -2.256718338684E-01 -3.843341711297E-04  1.743460610908E-02  3.648985091129E+00  3.763071215615E-02 -1.225913743493E-01  8.496066219282E-02 -1.521539671592E-01 -1.450058503431E-03  9.043189515380E-06  8.984743978474E-07  4.227857593643E-06  5.449702663878E-01 -9.043189348338E-06  9.817068979302E-03 -2.936856259214E-21  1.480699768103E-20  1.222520820479E-19 -9.046375146737E-03
