                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  1.086935774818E+01 -3.043057212465E-14 -1.426292478099E-01  1.230801420855E+02  1.161242823941E-01  1.518995351719E+00 -3.507063510037E-01 -3.807488388582E-03 -1.533846903823E+00  2.114891327259E+00 -6.676510143556E-03  2.745378205560E-02 -2.077727191394E-02 -1.199318124987E+01  1.110166448989E-01 -2.217472783627E-03 -1.989813707492E-04 -2.567504775895E-05  4.903615095426E+01  2.217472782940E-03 -5.923789937201E-01 -2.929096974862E-20  3.065926432922E-21 -1.093778780517E-20 -4.323499977440E-02
  4.000000000000E+00  6.000000000000E+00  1.364876722456E+01 -8.105604757993E-14 -1.537975265665E-01  1.924544842262E+02  4.665341087377E-01  1.646864522844E+00 -7.593560386444E-01 -3.667632088997E-03 -2.074674682909E+00  8.720506843951E+00  7.066735564107E-01 -6.013434349457E-01 -1.053301214793E-01 -3.560218478458E+00 -1.455465466582E-01  5.142577474778E-04 -3.063951351163E-04  5.987675397252E-05  7.220024066121E+00 -5.142577481467E-04 -1.420869560772E-02 -8.179588461030E-21  1.210289078553E-20  6.719487476373E-20 -2.333396594263E-01
  8.000000000000E+00  1.000000000000E+01  1.447916617592E+01 -1.081114014140E-13 -1.493666270124E-01  2.148412777611E+02  5.923813080738E-01  1.554103456475E+00 -7.285324800511E-01 -3.835765411456E-03 -2.132272836912E+00  9.235786935886E+00  3.493442729857E-01 -7.986590500215E-01  4.493147770498E-01 -1.718650255650E+00 -6.101304573044E-02  4.942753456210E-04 -1.671851972386E-04  4.612296668985E-05  3.224600778703E+00 -4.942753459431E-04  2.081134043875E-02 -3.035386866952E-20  7.242714018144E-21  2.234000175057E-20 -1.043712702205E-01
  1.200000000000E+01  1.400000000000E+01  1.526141736637E+01 -1.132380067174E-13 -1.434381087844E-01  2.380594808395E+02  6.637580854449E-01  1.523612701589E+00 -7.926586778796E-01 -3.229974051800E-03 -2.152840543315E+00  9.111918478929E+00  3.324183764361E-01 -7.363934163363E-01  4.039750398991E-01 -1.651520473443E+00 -4.772746174603E-03  2.658162554543E-04 -9.466767086776E-05  3.629538047490E-06  2.662546978941E+00 -2.658162564765E-04  2.469570167201E-02 -4.559780273057E-20 -6.585546657236E-21  2.137780115454E-20 -8.904177050015E-02
  1.600000000000E+01  1.800000000000E+01  1.581013805310E+01 -1.011895259786E-13 -1.370969083850E-01  2.548740468435E+02  7.176455286216E-01  1.498886128168E+00 -7.899199760662E-01 -3.302180189939E-03 -2.125370568427E+00  8.590038225251E+00  2.742439558838E-01 -6.635030983931E-01  3.892591425036E-01 -1.171199932302E+00 -3.997384060530E-03  2.667339495895E-04 -5.023809734381E-05 -5.525375789465E-05  2.051315293573E+00 -2.667339491197E-04  2.315093566926E-02 -9.546596976937E-21 -6.006792503903E-21  6.951975127032E-20 -6.742623643001E-02
  2.000000000000E+01  2.200000000000E+01  1.628706498511E+01 -8.153881625342E-14 -1.319039754755E-01  2.700917326660E+02  7.614558467229E-01  1.485025091355E+00 -8.069681246604E-01 -3.160043181952E-03 -2.103482131343E+00  8.242298436144E+00  2.458830857452E-01 -6.076330234726E-01  3.617499377157E-01 -1.002161575434E+00 -5.858515639031E-03  1.547193748293E-04 -2.229394284497E-05 -4.696313973539E-05  1.722923572176E+00 -1.547193765313E-04  1.948302607038E-02  4.251376217978E-20 -1.508771602181E-20  1.057283003085E-20 -5.657084783924E-02
  2.400000000000E+01  2.600000000000E+01  1.667181557521E+01 -6.066974819665E-14 -1.274550233591E-01  2.826653159053E+02  7.971495717535E-01  1.472873366921E+00 -8.067656995278E-01 -3.188636387198E-03 -2.079728334667E+00  7.860640217704E+00  2.136045888251E-01 -5.547068071820E-01  3.411022183597E-01 -8.084648225400E-01 -5.076686363974E-03  6.541666051404E-05 -1.357497329666E-05  2.120809046341E-05  1.451823240915E+00 -6.541665973294E-05  1.486509037561E-02  4.843027269582E-20  1.241927388877E-21  1.895600150444E-20 -4.719374482254E-02
  2.800000000000E+01  3.000000000000E+01  1.701293991079E+01 -3.641951681638E-14 -1.244798419423E-01  2.940965193898E+02  8.254863803943E-01  1.464096492306E+00 -8.112734064005E-01 -3.255996401669E-03 -2.072820642398E+00  7.560138366711E+00  1.914002491589E-01 -5.133738252537E-01  3.219735760984E-01 -7.071757333197E-01 -3.612755727749E-03  1.033002253794E-04 -1.141484989214E-05  1.146916060704E-05  1.274397472953E+00 -1.033002253720E-04  8.252678193077E-03  6.096783749046E-22  2.744881667627E-20 -3.001021062892E-20 -4.115759335710E-02
  3.200000000000E+01  3.400000000000E+01  1.730896587012E+01 -1.117691403116E-14 -1.232656691379E-01  3.041993176364E+02  8.476464541113E-01  1.455649812297E+00 -8.101225402752E-01 -3.190472736255E-03 -2.089516914251E+00  7.272947409600E+00  1.722190389746E-01 -4.770581211497E-01  3.048390821689E-01 -6.107655241849E-01 -1.910181648435E-03  3.390811983812E-05 -1.069339765494E-05 -2.137296363037E-05  1.128196240981E+00 -3.390811922738E-05  1.751312155199E-03 -4.125655799528E-21 -1.226714160145E-21 -1.423511167863E-20 -3.612809099570E-02
