                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  1.014213156500E+01  5.252413521478E-15 -9.430415017248E-02  1.056221388248E+02  5.556250595210E-02  7.738800815287E-01 -1.657081545263E-01 -1.316718056873E-03 -9.615107874388E-01  1.023146419301E+00 -1.822390245318E-03  7.224851990859E-03 -5.402461744443E-03 -5.337108491374E+00  3.373358685998E-02 -1.116382372493E-03 -1.017637495845E-04  5.907156318779E-05  4.363932219492E+01  1.116382372633E-03 -4.136057311089E-01  4.481351953989E-20  5.254360414795E-22 -1.150760760783E-20 -1.139327700778E-02
  4.000000000000E+00  6.000000000000E+00  1.167780675021E+01  1.408136396837E-14 -1.123415512671E-01  1.391930850764E+02  2.215712612865E-01  7.791682160332E-01 -3.242673770790E-01 -1.218556529301E-04 -1.332274889272E+00  5.643377221470E+00  2.341189121968E-01 -2.544224339705E-01  2.030352177721E-02 -1.171854086874E+00 -7.765439571795E-02  3.413468163513E-04 -1.675069669722E-04 -3.012862454996E-05  4.075617458332E+00 -3.413468161993E-04 -3.378928048344E-02  2.778605530288E-20 -6.700414047847E-21  4.237046491079E-21 -8.291683818967E-02
  8.000000000000E+00  1.000000000000E+01  1.217954826546E+01  1.927064497559E-14 -1.111859664961E-01  1.507940815166E+02  2.685768408416E-01  7.243153774160E-01 -3.168345764999E-01 -5.566393141159E-04 -1.373103175183E+00  5.898835453900E+00  1.324016018073E-01 -3.329435055636E-01  2.005419037551E-01 -6.693335595709E-01 -1.426204074422E-02  3.032451665882E-04 -1.063750947927E-04 -4.037224691033E-05  1.937088730886E+00 -3.032451664811E-04  4.331869625749E-03  1.752229442252E-20 -1.418484636023E-21  8.329160449716E-20 -4.034823705529E-02
  1.200000000000E+01  1.400000000000E+01  1.264630782815E+01  2.071444274790E-14 -1.102611816771E-01  1.623585670557E+02  2.944678500456E-01  7.077297618940E-01 -3.419312164152E-01 -7.157003871712E-05 -1.412299593138E+00  5.793066988527E+00  1.251134763521E-01 -3.067561283319E-01  1.816426519669E-01 -6.299455847415E-01  4.061377551690E-03  1.330091087686E-04 -6.968307536579E-05 -6.370928909888E-05  1.595168017491E+00 -1.330091084965E-04  7.235964321987E-03  1.860503796609E-20  5.012310043923E-21  1.082591462322E-19 -3.409179578402E-02
  1.600000000000E+01  1.800000000000E+01  1.297720328196E+01  1.694029647823E-14 -1.076115978201E-01  1.707536101973E+02  3.154477163541E-01  6.941720736615E-01 -3.425719611546E-01 -1.745683467441E-04 -1.414250060474E+00  5.445748925049E+00  1.031981574381E-01 -2.725895165394E-01  1.693913591063E-01 -4.521439741806E-01  1.750408545622E-03  9.487726897741E-05 -5.145047009439E-05 -6.181482997545E-05  1.238511009936E+00 -9.487726906007E-05  1.319508470050E-02  2.031317453862E-20 -4.410493836686E-21  1.264382881079E-19 -2.604267236013E-02
  2.000000000000E+01  2.200000000000E+01  1.326547046694E+01  9.589340729400E-15 -1.038078918683E-01  1.782883362051E+02  3.333452897395E-01  6.872870213615E-01 -3.508691865162E-01  1.172296776548E-04 -1.393870523212E+00  5.212489046764E+00  9.200017235284E-02 -2.475187404487E-01  1.555185681047E-01 -3.873266456507E-01 -1.782027971550E-03  7.820939587069E-05 -3.577220769920E-05 -1.969935436839E-05  1.044387964245E+00 -7.820939556830E-05  1.728436701003E-02  5.473194765867E-21  3.384556249530E-20  1.414688394378E-19 -2.191756771346E-02
  2.400000000000E+01  2.600000000000E+01  1.349926906119E+01  2.382737019843E-15 -9.913667429068E-02  1.845083565687E+02  3.486578394503E-01  6.803908895940E-01 -3.526084949879E-01 -6.884795767090E-05 -1.355101784145E+00  4.972676817146E+00  8.003714558401E-02 -2.261335924519E-01  1.460964468639E-01 -3.144438653552E-01 -2.514591208462E-03  4.918608335591E-05 -1.926449183988E-05  1.459124955159E-05  8.784338465062E-01 -4.918608347984E-05  1.664519321633E-02  4.721130561852E-21 -2.211936028461E-20  1.690933144414E-19 -1.827954044360E-02
  2.800000000000E+01  3.000000000000E+01  1.370470197685E+01 -6.106568375963E-15 -9.542645303434E-02  1.900761033100E+02  3.614895392113E-01  6.744197824711E-01 -3.561243724316E-01 -7.689972436410E-05 -1.324423123981E+00  4.772076083501E+00  7.193560467286E-02 -2.089470238348E-01  1.370114191643E-01 -2.728207770689E-01 -2.173862271836E-03  6.885662178279E-05 -9.575521773873E-06  3.940017134870E-05  7.650691270410E-01 -6.885662180728E-05  1.440339194236E-02 -6.225481231647E-20  6.090974282229E-21  1.687167132232E-19 -1.585666273318E-02
  3.200000000000E+01  3.400000000000E+01  1.388184309607E+01 -1.645482448215E-14 -9.180166585200E-02  1.949416383997E+02  3.721683481595E-01  6.676408725042E-01 -3.574031445675E-01 -4.036278620076E-05 -1.292561811343E+00  4.590174790580E+00  6.444457246481E-02 -1.936575177284E-01  1.292129452646E-01 -2.348726139096E-01 -2.742414358298E-03  4.765702085070E-05 -5.359957210068E-06  2.971538009332E-05  6.766728083231E-01 -4.765702104598E-05  1.444979841317E-02 -2.939405869186E-21  3.251835136347E-21  1.103837270453E-19 -1.391717536368E-02
