                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  6.899587244797E+00 -2.442412663899E-15 -1.430793409944E-01  5.066785577420E+01  7.585638656060E-02  1.039287581731E+00 -2.348405870925E-01 -2.404796500071E-03 -9.908808381387E-01  2.635843986811E+00 -5.211036584483E-03  3.012386081594E-02 -2.491282423283E-02 -9.616444012970E+00  1.360968238880E-01 -1.836331714882E-03 -1.705826705516E-04 -1.047064539597E-06  3.334012743497E+01  1.836331714821E-03 -6.007829602949E-01  7.819557373037E-20 -1.029861116391E-21  1.820637073951E-20 -5.728410868875E-02
  4.000000000000E+00  6.000000000000E+00  9.771499576328E+00 -6.101449749087E-15 -1.572459255896E-01  1.004797016922E+02  3.168454358006E-01  1.357981232528E+00 -5.940522051495E-01 -1.774590508542E-03 -1.546165112629E+00  7.431148232550E+00  6.763119129606E-01 -4.637450772014E-01 -2.125668357394E-01 -3.556786302595E+00 -2.365754952956E-02  5.090275839633E-04 -2.921740031813E-04  8.805212896184E-05  7.337373266705E+00 -5.090275841043E-04 -2.371152755941E-02  1.652151496049E-21 -7.386847210442E-21  3.627951118871E-20 -2.110341184581E-01
  8.000000000000E+00  1.000000000000E+01  1.056743206481E+01 -8.587740472447E-15 -1.547696516826E-01  1.158121414973E+02  4.377345342218E-01  1.341752519744E+00 -5.670749197200E-01 -2.108574762896E-03 -1.635201851416E+00  8.213508326327E+00  2.986743638670E-01 -6.237570631878E-01  3.250826993154E-01 -1.466905982819E+00 -6.068342893930E-02  3.257189270096E-04 -1.818710898716E-04  1.678995982055E-05  3.081514118219E+00 -3.257189269929E-04  1.346699665840E-02  1.271967525487E-19  2.812816132296E-21  1.520529606828E-19 -8.938328174907E-02
  1.200000000000E+01  1.400000000000E+01  1.131134833580E+01 -1.070570035978E-14 -1.506173225996E-01  1.320763769503E+02  5.089565641293E-01  1.342180201596E+00 -6.255216268630E-01 -1.604402883296E-03 -1.696995883051E+00  8.151124284002E+00  2.801492240491E-01 -5.803711001943E-01  3.002218761418E-01 -1.412345381237E+00 -7.829612799097E-03  2.094702502494E-04 -8.276029806831E-05  3.093236497586E-05  2.513970289933E+00 -2.094702505593E-04  1.763369386857E-02  9.060457892740E-20 -3.967771463669E-21  1.665560762040E-19 -7.561035006426E-02
  1.600000000000E+01  1.800000000000E+01  1.182476152867E+01 -7.040696440216E-15 -1.459771842391E-01  1.437683909532E+02  5.594876486270E-01  1.337794632294E+00 -6.260355155898E-01 -1.974618604322E-03 -1.712982788516E+00  7.736614540395E+00  2.313080791238E-01 -5.338946281038E-01  3.025865489838E-01 -9.860768748977E-01 -7.195203406798E-03  2.132583487237E-04 -4.020426866422E-05 -5.874349599971E-05  1.907584370206E+00 -2.132583486305E-04  1.589466631402E-02  9.116338065801E-20 -1.314170695180E-20  2.090618794360E-19 -5.648907881003E-02
  2.000000000000E+01  2.200000000000E+01  1.226572222883E+01  2.659143883097E-15 -1.427200066857E-01  1.543228669584E+02  5.996854344629E-01  1.340796429665E+00 -6.434318635431E-01 -1.969233901187E-03 -1.731858084001E+00  7.432629705826E+00  2.050211271317E-01 -4.912129099762E-01  2.861917828391E-01 -8.344742944928E-01 -5.834620331146E-03  1.327740790524E-04 -3.906876580842E-05 -2.087380951678E-05  1.588481137271E+00 -1.327740792367E-04  1.074190569222E-02  9.227004379450E-21 -6.832662126409E-21  1.929179756885E-19 -4.693211285864E-02
  2.400000000000E+01  2.600000000000E+01  1.261894266675E+01  1.218094982519E-14 -1.407003121263E-01  1.630297888360E+02  6.323058482164E-01  1.340477226067E+00 -6.458082862590E-01 -2.145358102883E-03 -1.750037316504E+00  7.109221680744E+00  1.778568111172E-01 -4.507034350834E-01  2.728466239649E-01 -6.683499640293E-01 -4.282223005728E-03  1.207497304204E-04 -3.779255012360E-05  3.555743012954E-05  1.330567548881E+00 -1.207497302599E-04  4.443427651965E-03  1.088452407635E-20  1.060457754955E-20  2.393865174462E-19 -3.887529564630E-02
  2.800000000000E+01  3.000000000000E+01  1.293062642466E+01  2.314112555370E-14 -1.404765231659E-01  1.709520023785E+02  6.587252314899E-01  1.343001934609E+00 -6.525769088605E-01 -2.314559202031E-03 -1.783192946443E+00  6.837007572983E+00  1.576991437021E-01 -4.156545511583E-01  2.579554074625E-01 -5.802514080500E-01 -1.908576063779E-03  1.103926838659E-04 -2.250404304926E-05 -1.683991434112E-05  1.162038113160E+00 -1.103926840283E-04  8.507523204793E-04  7.328620572506E-21 -1.091804475572E-20  2.045777075083E-19 -3.374005020355E-02
  3.200000000000E+01  3.400000000000E+01  1.319993725307E+01  3.753852832961E-14 -1.402200072857E-01  1.779483067665E+02  6.801354037962E-01  1.344588581114E+00 -6.539429587585E-01 -2.144916978123E-03 -1.813524393516E+00  6.571798800315E+00  1.410316264021E-01 -3.846358015781E-01  2.436041751678E-01 -4.994346817176E-01 -1.221372287471E-03  3.368626114853E-05 -7.637003412581E-06 -9.652023757996E-05  1.026556333786E+00 -3.368626074602E-05  2.648522948288E-03 -7.936629325441E-21 -3.745891020521E-20  2.587259113995E-19 -2.955198494124E-02
  3.600000000000E+01  3.800000000000E+01  1.344411465023E+01  5.186706923330E-14 -1.393232783559E-01  1.844323926474E+02  6.972026971778E-01  1.346411876589E+00 -6.567932204730E-01 -2.266875147121E-03 -1.831020683164E+00  6.346276661283E+00  1.282767675137E-01 -3.593783795246E-01  2.311016120141E-01 -4.472984183806E-01 -1.570623194759E-03  1.674616999663E-05 -2.417843172892E-06 -1.480328042135E-05  9.267546285076E-01 -1.674617012194E-05  2.339319308040E-03  1.253962820498E-20 -3.165007394545E-20  2.097321278516E-19 -2.644269117425E-02
  4.000000000000E+01  4.200000000000E+01  1.366334174579E+01  6.306745237450E-14 -1.389312728630E-01  1.903548312652E+02  7.103840774109E-01  1.349908929822E+00 -6.574529154793E-01 -2.196227423756E-03 -1.853287826773E+00  6.145979754854E+00  1.170472508277E-01 -3.383806505604E-01  2.213333997345E-01 -3.996827591586E-01 -8.640897062772E-04 -8.964676976176E-06 -5.473954113467E-07  5.520183111872E-05  8.397663780386E-01  8.964677340404E-06  1.916836376032E-03  1.910619897804E-20 -2.195783046224E-20  1.767313484641E-19 -2.377631095978E-02
  4.400000000000E+01  4.600000000000E+01  1.386414687231E+01  6.909440568882E-14 -1.380055596657E-01  1.958690428882E+02  7.205402553302E-01  1.353171432866E+00 -6.586462096368E-01 -2.126561795743E-03 -1.863845316984E+00  5.951997479745E+00  1.070382614687E-01 -3.185461681724E-01  2.115079067072E-01 -3.617800980733E-01 -2.585597635860E-03  6.267710360673E-06 -1.871549337148E-06 -6.949453678929E-06  7.713873084119E-01 -6.267710404947E-06  4.168914903629E-03  9.999790034408E-21  3.678831702920E-20  2.114082738780E-19 -2.160781032708E-02
  4.800000000000E+01  5.000000000000E+01  1.404903076080E+01  7.659412485049E-14 -1.369273000733E-01  2.010163434799E+02  7.285092207732E-01  1.353870750907E+00 -6.589296947558E-01 -2.226905385259E-03 -1.869221399192E+00  5.773825930269E+00  9.805631813501E-02 -3.000616044011E-01  2.020052862668E-01 -3.299011496860E-01 -2.692380437844E-03 -4.348924004996E-05 -2.781867056128E-06 -3.576201879898E-05  7.147813558131E-01  4.348924006618E-05  5.401725811265E-03  2.648104078731E-21  1.335927731176E-20  2.405886910651E-19 -1.973558152556E-02
  5.200000000000E+01  5.400000000000E+01  1.422130417672E+01  8.993231304331E-14 -1.356155735254E-01  2.058735430451E+02  7.347272678905E-01  1.352512659483E+00 -6.593518766654E-01 -2.340212505585E-03 -1.868795047445E+00  5.608853053932E+00  9.083804160260E-02 -2.839519531998E-01  1.931139115861E-01 -3.032686892952E-01 -2.143101872550E-03 -4.509056441296E-06  3.142674503541E-06  1.312177918395E-05  6.645261329764E-01  4.509056812978E-06  4.930159386318E-03  1.601081838437E-20 -1.295381452602E-20  2.173359845894E-19 -1.818425319181E-02
  5.600000000000E+01  5.800000000000E+01  1.438141658300E+01  1.019081962914E-13 -1.346261679184E-01  2.104366985517E+02  7.393664561769E-01  1.350505998016E+00 -6.591140990009E-01 -2.409124014431E-03 -1.871686480084E+00  5.458307082633E+00  8.511803389909E-02 -2.702374922630E-01  1.851194583622E-01 -2.793884909018E-01 -1.520952209557E-03  5.422588271711E-05  5.719705109734E-06 -7.351475196891E-06  6.201217346474E-01 -5.422588275533E-05  3.207261147392E-03 -7.100854691548E-20 -1.656157269129E-20  2.314202795798E-19 -1.686539848308E-02
  6.000000000000E+01  6.200000000000E+01  1.453157591476E+01  1.056690551032E-13 -1.340746052122E-01  2.147610398572E+02  7.427900710675E-01  1.347772482901E+00 -6.590936603444E-01 -2.569387928676E-03 -1.882001745905E+00  5.329598321696E+00  8.085898147515E-02 -2.583472311731E-01  1.774882497020E-01 -2.601537699821E-01 -6.759031137891E-04  5.596006865691E-05  5.095567894397E-06 -8.046893033517E-06  5.832792532312E-01 -5.596006921004E-05  1.888750905592E-03 -3.535615697801E-21 -3.743460852328E-20  1.562578490478E-19 -1.571848246938E-02
  6.400000000000E+01  6.600000000000E+01  1.467298493549E+01  1.086744218920E-13 -1.337838835886E-01  2.188734924506E+02  7.454206100486E-01  1.342330354460E+00 -6.586923638905E-01 -2.577860606369E-03 -1.895839593839E+00  5.199829475820E+00  7.557529017413E-02 -2.464408639612E-01  1.708655737871E-01 -2.431445670599E-01 -6.082168996263E-04 -6.228742608669E-05  9.413880530622E-06 -2.742557790470E-05  5.495112415810E-01  6.228742597562E-05  3.116592923988E-03  3.969417148912E-21  2.912826113027E-20  1.450089722092E-19 -1.466574318250E-02
  6.800000000000E+01  7.000000000000E+01  1.480610749058E+01  1.152483236159E-13 -1.327279329916E-01  2.227816561153E+02  7.474429006454E-01  1.334458775246E+00 -6.584332576700E-01 -2.716914048965E-03 -1.897054522545E+00  5.073411917374E+00  6.987875449750E-02 -2.350320887324E-01  1.651533342314E-01 -2.266138940884E-01 -1.095585069432E-03 -5.900589813242E-05  1.928947756392E-05 -6.229154394138E-05  5.186842702670E-01  5.900589823590E-05  2.510779456466E-03  1.282189059494E-21 -2.726106798137E-20  1.752776911012E-19 -1.370895326436E-02
  7.200000000000E+01  7.400000000000E+01  1.493232934483E+01  1.263020284424E-13 -1.326406336408E-01  2.265185709926E+02  7.488991898209E-01  1.325540469323E+00 -6.578693085634E-01 -2.866099875247E-03 -1.914246533350E+00  4.957398587344E+00  6.577206659517E-02 -2.251364216463E-01  1.593643550516E-01 -2.119541399569E-01  2.295307278707E-04  9.272060389959E-06  2.897942328543E-05 -6.176519717235E-06  4.897230940889E-01 -9.272060397020E-06  1.790320529250E-04 -3.989910256676E-20 -5.461312690828E-20  1.518132129495E-19 -1.284572994853E-02
  7.600000000000E+01  7.800000000000E+01  1.505126627795E+01  1.451942738493E-13 -1.323802113249E-01  2.300659196531E+02  7.497970926505E-01  1.315006982738E+00 -6.575019851291E-01 -2.926737742714E-03 -1.929375153826E+00  4.842666307298E+00  6.244804006651E-02 -2.154735354731E-01  1.530254954069E-01 -1.988854150305E-01  6.531210391039E-04  3.500424593788E-06  2.825093841898E-05  8.375913289263E-05  4.631227661104E-01 -3.500424222993E-06  3.981409249247E-05 -5.944615076818E-21  3.424838275074E-21  1.406980631551E-19 -1.206683874995E-02
