                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  1.062417280094E+01 -1.636002097682E-15 -8.907851920237E-02  1.173166852038E+02  1.103175576865E-01  1.390886414433E+00 -3.339343638318E-01 -3.831226854001E-03 -9.274851707995E-01  2.064581992341E+00 -6.331258779872E-03  2.608921983601E-02 -1.975796105948E-02 -1.141585346022E+01  8.008078002577E-02 -2.067712180466E-03 -1.930432447030E-04 -2.524690107988E-05  4.789539899267E+01  2.067712180478E-03 -3.392703566241E-01 -2.005303793355E-20  3.450253780077E-21 -5.145925297539E-20 -4.086494789663E-02
  4.000000000000E+00  6.000000000000E+00  1.332398898945E+01 -3.906270272525E-15 -8.024549465532E-02  1.829398044631E+02  4.437675454563E-01  1.482691732043E+00 -7.199128441567E-01 -5.763127226298E-03 -1.042228047922E+00  8.506164519974E+00  6.689317867592E-01 -5.720232012011E-01 -9.690858557730E-02 -3.360500720477E+00 -1.608833978057E-01  5.074611772620E-04 -3.102436934022E-04 -3.095351032894E-05  7.011987860467E+00 -5.074611775774E-04  3.848014602026E-02  1.127937577989E-21 -2.084880384061E-20  6.454304238126E-20 -2.201865333769E-01
  8.000000000000E+00  1.000000000000E+01  1.412958091431E+01 -5.670754375335E-15 -7.004217735080E-02  2.040716819318E+02  5.647727625925E-01  1.390323199721E+00 -6.904997074917E-01 -5.747364784019E-03 -9.650485025935E-01  9.011519305970E+00  3.319315707361E-01 -7.589994315760E-01  4.270678608409E-01 -1.624404432695E+00 -6.564628061327E-02  4.603557951342E-04 -1.822866715443E-04 -3.579939183166E-06  3.128588278035E+00 -4.603557948985E-04  3.921342179641E-02 -3.308300468587E-20  6.279301310194E-21  3.139004830166E-20 -9.866170836148E-02
  1.200000000000E+01  1.400000000000E+01  1.488837632731E+01 -7.796360273228E-15 -6.057535072340E-02  2.259886423276E+02  6.340822859339E-01  1.357913148594E+00 -7.514041372860E-01 -6.004612592661E-03 -8.725962681566E-01  8.898446312526E+00  3.147858922585E-01 -6.996448257401E-01  3.848589334876E-01 -1.561540146478E+00 -1.008562997406E-02  2.863546853031E-04 -1.000754555414E-04 -1.412011491826E-05  2.578901302882E+00 -2.863546859135E-04  3.392669884020E-02  7.795130404318E-20  4.596843047212E-21 -1.069779467321E-20 -8.420742342042E-02
  1.600000000000E+01  1.800000000000E+01  1.541903522430E+01  3.338331492029E-16 -5.338354204583E-02  2.418131381504E+02  6.867684953476E-01  1.332670089860E+00 -7.482684741050E-01 -6.134390675713E-03 -7.925106867901E-01  8.385250324053E+00  2.601694326720E-01 -6.299743879470E-01  3.698049552722E-01 -1.106253270184E+00 -4.902102486521E-03  2.206523574903E-04 -5.017113812340E-05  1.474987783621E-05  1.983269477567E+00 -2.206523571978E-04  2.773595609348E-02 -2.240600177218E-20  2.879563473937E-20 -3.137564332369E-20 -6.364764184964E-02
  2.000000000000E+01  2.200000000000E+01  1.588009670727E+01  1.886874004843E-14 -4.694418530198E-02  2.561225308321E+02  7.297346885501E-01  1.317657498158E+00 -7.641004074613E-01 -6.001139499568E-03 -7.151550719148E-01  8.051461287339E+00  2.329791532179E-01 -5.768869132577E-01  3.439077600543E-01 -9.472063530814E-01 -7.350675780180E-03  1.161962522654E-04 -2.892141537758E-05 -1.564412905909E-05  1.668942753536E+00 -1.161962525241E-04  2.287812438887E-02 -1.640806545308E-20 -1.525308660259E-20  2.089377617802E-21 -5.351803228323E-02
  2.400000000000E+01  2.600000000000E+01  1.625346987627E+01  3.626451475630E-14 -4.173808658089E-02  2.679899113765E+02  7.647157905877E-01  1.304040916858E+00 -7.633447742250E-01 -6.035538220012E-03 -6.472996307294E-01  7.701274399800E+00  2.029437792691E-01 -5.290744263190E-01  3.261306470416E-01 -7.671927491619E-01 -6.063129023423E-03  3.575886509563E-05 -1.954121582697E-05 -8.517305158443E-05  1.411473497373E+00 -3.575886477307E-05  1.833088689865E-02 -6.944356562584E-21  1.286833654713E-20  2.684251181107E-20 -4.482358042210E-02
  2.800000000000E+01  3.000000000000E+01  1.658565725175E+01  5.618518678375E-14 -3.757362824292E-02  2.788117598440E+02  7.927449622768E-01  1.296146254198E+00 -7.671175766796E-01 -5.920060294907E-03 -5.896734936903E-01  7.423256239953E+00  1.819329718471E-01 -4.908779185021E-01  3.089449466617E-01 -6.730556375800E-01 -7.068968117659E-03 -2.645272175381E-05 -9.529941017540E-07 -5.862354603426E-05  1.240920154498E+00  2.645272147991E-05  1.571579388138E-02  3.738888744224E-20  2.245448925931E-22 -4.118280637528E-20 -3.921113866200E-02
  3.200000000000E+01  3.400000000000E+01  1.687417639037E+01  8.187550521825E-14 -3.398044556690E-02  2.883842804248E+02  8.148815038902E-01  1.287925445767E+00 -7.654199116208E-01 -5.878562258761E-03 -5.394609635733E-01  7.155655654592E+00  1.640575627357E-01 -4.580473163267E-01  2.939897535921E-01 -5.828772005550E-01 -6.020756690617E-03  1.011533414809E-04  7.563923222325E-06 -6.237910949956E-05  1.102441097502E+00 -1.011533407515E-04  1.367190323650E-02 -4.970719003539E-20 -9.531995914938E-21  4.895315104587E-20 -3.465917574298E-02
