                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  1.119540409492E+01 -1.726197049884E-14 -1.109759336300E-01  1.303293595634E+02  1.236545961304E-01  1.626835348476E+00 -3.729047471280E-01 -4.373660100615E-03 -1.228313870660E+00  2.181333564758E+00 -7.408280106389E-03  2.933211939779E-02 -2.192383929292E-02 -1.271633153859E+01  9.840202258028E-02 -2.336071977176E-03 -2.041203542247E-04  6.651948711798E-05  5.052111681000E+01  2.336071976865E-03 -4.323663454659E-01 -6.594049306828E-21  4.042712403540E-21  9.008219747980E-20 -4.592819400134E-02
  4.000000000000E+00  6.000000000000E+00  1.406487977729E+01 -4.577801737219E-14 -1.052600934935E-01  2.039611650180E+02  4.974005926317E-01  1.780690306157E+00 -8.087178048224E-01 -6.141521550597E-03 -1.442191226710E+00  9.010756565262E+00  7.523274316271E-01 -6.417606268445E-01 -1.105668047830E-01 -3.790407782622E+00 -1.740336440882E-01  6.461899974433E-04 -3.067811134581E-04  6.223942442025E-05  7.458421216425E+00 -6.461899976407E-04  3.210835724703E-02  1.731415426852E-20  7.974429694096E-21  4.722299099837E-20 -2.484617890006E-01
  8.000000000000E+00  1.000000000000E+01  1.492422119049E+01 -5.900434278903E-14 -9.470216993109E-02  2.277870291859E+02  6.322736687093E-01  1.690563516508E+00 -7.747888185066E-01 -6.598631798499E-03 -1.370143967698E+00  9.545092568367E+00  3.694354023416E-01 -8.509139499027E-01  4.814785475606E-01 -1.831960561401E+00 -7.494698389520E-02  5.580178171295E-04 -1.539474601288E-04  3.246815327188E-05  3.340175399534E+00 -5.580178171121E-04  3.982629422474E-02  4.416269093246E-20  1.082493073116E-20  1.509052096306E-20 -1.114575405541E-01
  1.200000000000E+01  1.400000000000E+01  1.573563215484E+01 -5.924331684948E-14 -8.558909034693E-02  2.525780094449E+02  7.085710564553E-01  1.663838664643E+00 -8.438475867005E-01 -6.384875326908E-03 -1.295482728558E+00  9.414875916564E+00  3.519232947668E-01 -7.837449875578E-01  4.318216928015E-01 -1.765340740712E+00 -1.162754488437E-02  2.377791707655E-04 -7.688235835193E-05  1.878357092713E-07  2.760774845551E+00 -2.377791708741E-04  3.512783912247E-02  8.213630592144E-20 -2.157944544702E-20 -5.661135134569E-20 -9.522076259890E-02
  1.600000000000E+01  1.800000000000E+01  1.630471027746E+01 -6.093264839450E-14 -7.705322440413E-02  2.705372006466E+02  7.661345813487E-01  1.642166874608E+00 -8.405701206911E-01 -6.856637776800E-03 -1.199182957095E+00  8.870944765970E+00  2.921481398778E-01 -7.065863391445E-01  4.144381992515E-01 -1.249424202181E+00 -7.395769216414E-03  2.132186619350E-04 -4.068126986953E-05 -2.874389299678E-05  2.126422614639E+00 -2.132186616922E-04  2.937580631847E-02 -3.071420935152E-20  9.557319622247E-21 -1.878481738520E-20 -7.197423664505E-02
  2.000000000000E+01  2.200000000000E+01  1.679868300663E+01 -6.919478155963E-14 -7.066609867254E-02  2.867660260610E+02  8.127454342232E-01  1.635353863403E+00 -8.590518725860E-01 -7.068399417396E-03 -1.128080439246E+00  8.509648734820E+00  2.611546233480E-01 -6.471513283159E-01  3.859967049658E-01 -1.069541483719E+00 -6.952043333325E-03  9.556769303662E-05 -1.637395834043E-05 -2.696648579164E-05  1.787258256228E+00 -9.556769388651E-05  2.222037676103E-02  2.561116052634E-20 -1.604652465744E-20 -1.012319176422E-21 -6.035959046293E-02
  2.400000000000E+01  2.600000000000E+01  1.719808853731E+01 -7.469390687562E-14 -6.620850445761E-02  3.002074309563E+02  8.505996056496E-01  1.626823484020E+00 -8.588985852266E-01 -7.240185080128E-03 -1.081317255901E+00  8.104473543370E+00  2.275114416208E-01 -5.904391099799E-01  3.629276683586E-01 -8.616228523922E-01 -5.084342741049E-03  1.334406422864E-04  4.266894787751E-06  5.913890044126E-06  1.500853258639E+00 -1.334406418677E-04  1.305421157733E-02  4.801007924784E-20 -7.896073600602E-21 -6.324801410904E-21 -5.015642384270E-02
  2.800000000000E+01  3.000000000000E+01  1.754917523582E+01 -8.273494852181E-14 -6.431036279465E-02  3.123178675940E+02  8.809391159626E-01  1.618833073402E+00 -8.643114576034E-01 -7.796259681893E-03 -1.073713613288E+00  7.777849811489E+00  2.030407895001E-01 -5.456903686359E-01  3.426495791403E-01 -7.474168054822E-01 -1.282885961398E-03  1.374214308909E-04  1.065820658264E-05 -2.773939656368E-05  1.307670079289E+00 -1.374214309185E-04  3.895845701952E-03 -5.167384360349E-20 -2.293048516826E-20  2.583214888701E-20 -4.343115406907E-02
  3.200000000000E+01  3.400000000000E+01  1.785203126436E+01 -9.966154088335E-14 -6.416376245628E-02  3.229552729547E+02  9.051546917048E-01  1.608244820545E+00 -8.628280849074E-01 -7.727818340300E-03 -1.094796003845E+00  7.481238715277E+00  1.818656570384E-01 -5.066767137572E-01  3.248110567202E-01 -6.432928734038E-01  1.148518340424E-03  3.557643735965E-05  7.842442055098E-06 -4.585853185071E-07  1.154183622626E+00 -3.557643755537E-05 -1.718232470888E-03 -8.195758163574E-20  4.105602215585E-20  8.576937368232E-20 -3.802314544177E-02
  3.600000000000E+01  3.800000000000E+01  1.812627067775E+01 -1.259367881969E-13 -6.499568595160E-02  3.327563168297E+02  9.244884724252E-01  1.599222316348E+00 -8.629356045132E-01 -7.856800972596E-03 -1.130976160778E+00  7.219593704778E+00  1.653510554645E-01 -4.728258820086E-01  3.074748265401E-01 -5.760664554255E-01  1.355186792617E-03  7.409961595603E-05  5.241137402551E-06  6.988769390843E-06  1.045031148281E+00 -7.409961622806E-05 -2.713397546489E-03 -3.906013541471E-21 -2.798300751724E-20 -6.140471427751E-20 -3.414403405549E-02
  4.000000000000E+01  4.200000000000E+01  1.837446809121E+01 -1.605312879155E-13 -6.544701974262E-02  3.417573174733E+02  9.398974602728E-01  1.590379326104E+00 -8.602723423957E-01 -7.779854184279E-03 -1.156747693604E+00  6.967532782957E+00  1.507297182361E-01 -4.416539113849E-01  2.909241931439E-01 -5.167174877273E-01  2.329960624821E-04  7.427860402287E-05  6.693920357617E-06 -4.616723936471E-06  9.509523195580E-01 -7.427860475627E-05  3.806291203313E-04  3.349501504584E-20  2.204447838640E-20 -6.038832460132E-20 -3.080753024847E-02
  4.400000000000E+01  4.600000000000E+01  1.860176456761E+01 -1.925342324807E-13 -6.493087217271E-02  3.501184925120E+02  9.519785905728E-01  1.581919968006E+00 -8.582287056939E-01 -7.739848065105E-03 -1.161523914096E+00  6.749095944859E+00  1.391954911732E-01 -4.155031882163E-01  2.763076970442E-01 -4.704095672810E-01 -1.782618741946E-03 -9.880630773572E-06  8.445408918112E-06  1.915704196868E-05  8.737660710276E-01  9.880630646609E-06  2.699857496357E-03  2.194950980423E-20  1.354495854332E-21 -3.264335181993E-20 -2.811230681713E-02
  4.800000000000E+01  5.000000000000E+01  1.881146666230E+01 -2.212342132407E-13 -6.397677784683E-02  3.579219767317E+02  9.614254008153E-01  1.574278241536E+00 -8.549865861682E-01 -7.651958111884E-03 -1.154042967214E+00  6.548622843855E+00  1.285506438401E-01 -3.929685689903E-01  2.644179251438E-01 -4.290060452022E-01 -2.178754103429E-03 -4.075947151455E-05  4.203422838983E-06  4.186254484266E-05  8.080794905261E-01  4.075947098883E-05  3.003959712211E-03 -3.434768224171E-20 -2.488840137425E-20  5.508369336952E-21 -2.569234432970E-02
  5.200000000000E+01  5.400000000000E+01  1.900571098170E+01 -2.436963825181E-13 -6.318986410848E-02  3.652325985447E+02  9.689572537440E-01  1.565384552808E+00 -8.518833267942E-01 -7.644600007264E-03 -1.147974768229E+00  6.362204939422E+00  1.188065196362E-01 -3.718497766081E-01  2.530432569634E-01 -3.938104468849E-01 -2.339640193727E-03  2.647622537530E-05  1.657782133534E-07  1.989100933447E-05  7.487144665141E-01 -2.647622546984E-05  2.360291434811E-03  2.122221917729E-20  4.040144482852E-20  5.303673307151E-20 -2.361784548686E-02
