                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  1.052215821121E+01 -1.749342677370E-15 -9.717851383665E-02  1.131889596567E+02  5.292605247192E-02  7.508899585335E-01 -1.581454167772E-01 -1.812451294063E-03 -1.034345551143E+00  8.923010436747E-01 -1.550717397196E-03  6.197153926391E-03 -4.646436529014E-03 -4.814880127843E+00  3.013563746447E-02 -9.342332817840E-04 -7.580580202670E-05 -4.120173026732E-06  4.502846691686E+01  9.342332817410E-04 -4.013283238134E-01 -4.203741189820E-20 -2.294035863466E-22  2.015649922084E-20 -9.485914485838E-03
  4.000000000000E+00  6.000000000000E+00  1.199227642638E+01 -4.538391074986E-15 -1.034893577310E-01  1.463120747762E+02  2.109398744343E-01  7.315204768675E-01 -3.075341534808E-01 -1.743187810644E-03 -1.259699069462E+00  5.508764738347E+00  2.148132127226E-01 -2.404319027559E-01  2.561869002947E-02 -1.072601394940E+00 -8.540956992356E-02  2.408160317835E-04 -1.177924043442E-04  7.227719209709E-06  3.891104269089E+00 -2.408160318468E-04 -2.735248446558E-03 -8.224543901198E-20 -4.995001266386E-21 -3.636373043442E-21 -7.699495278881E-02
  8.000000000000E+00  1.000000000000E+01  1.246757393440E+01 -6.314427532644E-15 -9.848679137641E-02  1.575701895908E+02  2.543341081683E-01  6.789656832687E-01 -2.980161026307E-01 -2.029847761889E-03 -1.247776406241E+00  5.736044839099E+00  1.219136812968E-01 -3.147522029662E-01  1.928385216734E-01 -6.172652093296E-01 -1.709938056991E-02  2.236206206580E-04 -6.641401661126E-05  1.615154982972E-05  1.849971740604E+00 -2.236206206700E-04  2.098964087271E-02 -1.098709860196E-19 -6.700254883307E-21  2.395251704704E-21 -3.744380985767E-02
  1.200000000000E+01  1.400000000000E+01  1.291726264902E+01 -7.435869032058E-15 -9.302301907279E-02  1.689522258647E+02  2.775335218902E-01  6.654462376816E-01 -3.205366446917E-01 -1.938163457815E-03 -1.220530127188E+00  5.640477852378E+00  1.163067541817E-01 -2.891871290460E-01  1.728803748628E-01 -5.883953172671E-01 -1.211712367270E-03  1.064110687170E-04 -3.822518821116E-05  2.190318659284E-06  1.542201964853E+00 -1.064110688471E-04  2.181596720803E-02 -8.371524828355E-20 -1.786742029644E-20  4.436672186964E-20 -3.203141575857E-02
  1.600000000000E+01  1.800000000000E+01  1.323857820133E+01 -6.163601611519E-15 -8.760985206064E-02  1.772724507104E+02  2.959472000526E-01  6.557594348265E-01 -3.191303769982E-01 -2.154028835384E-03 -1.176628710170E+00  5.302113235974E+00  9.647586613158E-02 -2.566564647827E-01  1.601805986538E-01 -4.268360946053E-01 -1.021386844978E-03  5.060930229341E-05 -2.231450620688E-05 -7.796487611498E-06  1.211007406572E+00 -5.060930225367E-05  2.007093321416E-02 -1.224606470928E-19  3.133314432939E-21  7.441781715895E-20 -2.476365802651E-02
  2.000000000000E+01  2.200000000000E+01  1.352273722585E+01 -2.558980660474E-15 -8.300838729199E-02  1.848429856109E+02  3.112143822581E-01  6.536771663124E-01 -3.254707734242E-01 -2.234648482941E-03 -1.138668529706E+00  5.073612497020E+00  8.573177960323E-02 -2.326499157976E-01  1.469181361937E-01 -3.709200695175E-01 -2.129858103664E-03  4.937831014718E-05 -1.250919600288E-05 -9.751701930044E-06  1.033411742809E+00 -4.937831025347E-05  1.819297741295E-02 -6.881609344020E-20 -2.315029660038E-21  5.382283788868E-20 -2.107870054430E-02
  2.400000000000E+01  2.600000000000E+01  1.375527939822E+01  1.110336576733E-15 -7.849575129443E-02  1.911440321963E+02  3.235878689495E-01  6.514464553115E-01 -3.253044673167E-01 -2.351941793076E-03 -1.095014278326E+00  4.832840819304E+00  7.489018947277E-02 -2.119719971518E-01  1.370818076840E-01 -3.035619490589E-01 -2.843604783945E-03  6.641237525342E-05 -5.450590484829E-06 -9.942228162319E-07  8.795541051397E-01 -6.641237518178E-05  1.635979609222E-02 -1.071729345068E-19 -1.142798105791E-21  9.108392447422E-20 -1.778167845037E-02
  2.800000000000E+01  3.000000000000E+01  1.396255691890E+01  5.290194859143E-15 -7.480186726349E-02  1.968624055989E+02  3.333553539678E-01  6.508057743419E-01 -3.271726404556E-01 -2.458751742962E-03 -1.058378710733E+00  4.644010168513E+00  6.747212932187E-02 -1.961264076298E-01  1.286542783079E-01 -2.672429362669E-01 -2.674884886467E-03  3.353495532896E-05 -2.407810364420E-06  9.967960521160E-06  7.753145249233E-01 -3.353495538711E-05  1.552259351697E-02 -1.073382687039E-19  6.682068973880E-21  1.394543142569E-19 -1.556742845439E-02
  3.200000000000E+01  3.400000000000E+01  1.414295425392E+01  1.065196766151E-14 -7.069613577832E-02  2.019061439028E+02  3.410222726736E-01  6.502061383712E-01 -3.267564088896E-01 -2.499841171380E-03 -1.013056838447E+00  4.463996859054E+00  6.045454660732E-02 -1.818632712726E-01  1.214087246651E-01 -2.314238299426E-01 -3.223431723345E-03  2.294564296460E-05 -1.137187243514E-06  1.282607849445E-05  6.905440935817E-01 -2.294564281385E-05  1.710201135705E-02 -5.442596440865E-20  2.534387650447E-21  1.518893611899E-19 -1.373701951664E-02
