                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  1.178259481341E+01 -1.721973592724E-15 -2.833680065259E-02  1.407403992010E+02  3.717372494844E-02  4.982839292987E-01 -1.072328964038E-01 -5.096132065849E-04 -3.306780301376E-01  5.477881297593E-01 -1.136100103862E-04  1.867238098077E-03 -1.753628087712E-03 -3.270096398259E+00  6.726428834818E-03 -4.031283366786E-05 -4.989490035065E-06  1.218810484103E-05  4.909150770055E+01  4.031283359813E-05 -1.216835621391E-01  5.501940533440E-20  3.340156316062E-22 -1.671222724633E-20 -3.918301308359E-03
  4.000000000000E+00  6.000000000000E+00  1.276331883789E+01 -4.543847286279E-15 -3.258162293351E-02  1.644649768696E+02  1.485715397295E-01  4.345024204271E-01 -1.954072238593E-01 -5.184723470736E-04 -4.113224099541E-01  4.229867185769E+00  1.070091060465E-01 -1.499617394228E-01  4.295263337708E-02 -5.295728537903E-01 -5.734131738873E-02  3.086586455534E-06 -8.123447837199E-06  1.022550253623E-05  2.655566361800E+00 -3.086586501942E-06 -7.607680773517E-03  7.241812270164E-20  2.428197610561E-21  5.190600928211E-20 -4.014563424123E-02
  8.000000000000E+00  1.000000000000E+01  1.311031109164E+01 -7.077959962923E-15 -3.211509689053E-02  1.731964617634E+02  1.747087324776E-01  3.919420134933E-01 -1.918027154067E-01 -5.208879256145E-04 -4.170139979281E-01  4.443360956420E+00  7.039176173775E-02 -1.934447584598E-01  1.230529967173E-01 -3.550158593043E-01 -2.309157995697E-03  1.368973536300E-05 -4.376195029969E-06 -9.299987216187E-06  1.335643675006E+00 -1.368973537808E-05  3.280657175951E-03  5.602889344434E-20 -9.281422052876E-22  1.490538822598E-20 -2.149283678316E-02
  1.200000000000E+01  1.400000000000E+01  1.343113084799E+01 -9.654660895984E-15 -3.088904725145E-02  1.816607962761E+02  1.875258234718E-01  3.797916237860E-01 -2.031125911561E-01 -3.796608960326E-04 -4.104722638332E-01  4.378303938269E+00  6.565877052978E-02 -1.792542566676E-01  1.135954861336E-01 -3.297415882208E-01  3.349321124552E-03  1.962164996947E-05 -1.815543396539E-06 -5.351940394367E-06  1.112202065806E+00 -1.962165009181E-05  6.934350865789E-03  5.680062003014E-20 -2.430594910491E-20  4.656276119355E-20 -1.821832237559E-02
  1.600000000000E+01  1.800000000000E+01  1.366639583307E+01 -9.976831535398E-15 -2.866353807022E-02  1.879739626688E+02  1.979185267575E-01  3.704082616945E-01 -2.019129287971E-01 -3.358124617000E-04 -3.875558182502E-01  4.136626329643E+00  5.486563898450E-02 -1.592899835305E-01  1.044243445482E-01 -2.475236256258E-01  1.704779615567E-03  9.032889328799E-06 -1.066983658482E-06 -8.620496000532E-06  8.876158293519E-01 -9.032889321179E-06  9.123321948158E-03 -6.298102048709E-21 -6.197190025577E-22  5.627345087103E-20 -1.443211364684E-02
  2.000000000000E+01  2.200000000000E+01  1.387492103093E+01 -7.506993146324E-15 -2.634672041586E-02  1.936850819648E+02  2.069895280142E-01  3.653159250999E-01 -2.049392973034E-01 -3.071722509722E-04 -3.616055870013E-01  3.966098550523E+00  4.862413639283E-02 -1.444771850545E-01  9.585304866072E-02 -2.169867531978E-01  4.332105398434E-04  1.437189334757E-05 -1.840803588000E-06 -3.334341121154E-06  7.625924492335E-01 -1.437189338765E-05  9.040155887753E-03  3.522951870979E-20  5.428388537283E-21  5.974219973457E-20 -1.243345566864E-02
  2.400000000000E+01  2.600000000000E+01  1.404770598391E+01 -4.221694897601E-15 -2.415063642927E-02  1.984786948570E+02  2.148056015910E-01  3.606700989913E-01 -2.044088999783E-01 -2.743719017172E-04 -3.358841293286E-01  3.788608727389E+00  4.224281647301E-02 -1.317254938871E-01  8.948267741371E-02 -1.806493852537E-01 -1.687077743532E-04  1.398959667551E-05 -3.406526640505E-06 -6.608386565303E-06  6.567150415300E-01 -1.398959662596E-05  7.635262909423E-03  5.042255744825E-21  5.950937038185E-21  7.301637078927E-20 -1.064208586541E-02
  2.800000000000E+01  3.000000000000E+01  1.420327899796E+01 -1.004410891843E-15 -2.252100136332E-02  2.028542442573E+02  2.214336753641E-01  3.570710310547E-01 -2.051294068628E-01 -2.872929321367E-04 -3.165326089701E-01  3.645769200283E+00  3.782319277333E-02 -1.218901382401E-01  8.406694546780E-02 -1.607950646208E-01 -4.379149908822E-04  7.654633783201E-06 -5.292246610897E-06 -4.992924538206E-06  5.840098985317E-01 -7.654633912895E-06  6.619444093348E-03  7.534918046440E-20 -7.813632105437E-22  8.758011062983E-20 -9.422606196839E-03
  3.200000000000E+01  3.400000000000E+01  1.433968504428E+01  2.682720293019E-15 -2.081850715806E-02  2.067291582204E+02  2.269454859771E-01  3.543642311617E-01 -2.044692596527E-01 -2.850459778205E-04 -2.949454853712E-01  3.513560466648E+00  3.371026715373E-02 -1.135610312429E-01  7.985076408913E-02 -1.407816255081E-01 -2.784084503448E-04  7.178744774491E-06 -6.607672316455E-06 -5.170597295891E-07  5.217246019527E-01 -7.178744602356E-06  6.055446649992E-03  4.601582756245E-20  1.247017276816E-21  1.119802924233E-19 -8.357061817000E-03
  3.600000000000E+01  3.800000000000E+01  1.446412773988E+01  7.792016525644E-15 -1.947484914567E-02  2.103009904917E+02  2.314164437674E-01  3.523150316058E-01 -2.043520929597E-01 -3.238520484364E-04 -2.780253872326E-01  3.403435388253E+00  3.051792147988E-02 -1.066015387099E-01  7.608361723120E-02 -1.273213265181E-01 -4.114119653165E-04 -2.734723564711E-06 -7.556810699383E-06 -5.273082038692E-06  4.749811587486E-01  2.734723543416E-06  3.952272760824E-03 -1.430939108006E-21  7.018110637532E-21  6.323542137126E-20 -7.572485382733E-03
  4.000000000000E+01  4.200000000000E+01  1.457717474147E+01  1.100781878843E-14 -1.883059781552E-02  2.135723128541E+02  2.350518474829E-01  3.504554118710E-01 -2.035824567362E-01 -3.254867917287E-04 -2.705041532326E-01  3.306216569609E+00  2.791679996089E-02 -1.005556425556E-01  7.263884259358E-02 -1.151338865351E-01 -1.413961110071E-04 -7.762597902578E-06 -9.112914518215E-06 -2.035011068186E-06  4.364299329361E-01  7.762598083119E-06  2.327239785254E-03  7.260562328123E-21  1.115080531326E-20  6.520455459081E-20 -6.917365062098E-03
  4.400000000000E+01  4.600000000000E+01  1.468230714181E+01  1.004064304934E-14 -1.829360540060E-02  2.166381620637E+02  2.379975585314E-01  3.484355766069E-01 -2.029875287714E-01 -3.476821641686E-04 -2.640943506235E-01  3.219649024701E+00  2.586023804235E-02 -9.544527178386E-02  6.958503374053E-02 -1.064615809432E-01 -5.303197008947E-05  1.979551857899E-06 -8.962076488446E-06 -3.769664556392E-06  4.049453124859E-01 -1.979551840240E-06 -2.601297070767E-04 -9.675206785866E-21  1.377705915502E-21  5.144153305896E-20 -6.404200433360E-03
  4.800000000000E+01  5.000000000000E+01  1.477963070847E+01  8.361931354949E-15 -1.894873527113E-02  2.194957106710E+02  2.403390310717E-01  3.466708674468E-01 -2.021588893333E-01 -4.055202390608E-04 -2.752961794056E-01  3.138470683990E+00  2.379171330635E-02 -9.070314822751E-02  6.691143492180E-02 -9.849218605454E-02  7.860149238143E-04  7.800466209720E-07 -8.342612738843E-06 -5.171212689130E-06  3.778291120491E-01 -7.800466850003E-07 -3.901486513743E-03 -7.033565513807E-21  1.961944923456E-21  9.272712622634E-20 -5.957754770951E-03
  5.200000000000E+01  5.400000000000E+01  1.487124387491E+01  7.599912470903E-15 -2.024895035025E-02  2.222031578996E+02  2.421923937631E-01  3.453964338649E-01 -2.013604944865E-01 -3.881950919557E-04 -2.964599399784E-01  3.070092284877E+00  2.237575869574E-02 -8.685203165757E-02  6.447627296226E-02 -9.227934274351E-02  1.221460807241E-03  4.566489106357E-06 -9.214122305204E-06 -8.122967147069E-06  3.564994069194E-01 -4.566488845991E-06 -5.606744519549E-03 -2.195251619195E-20 -6.314229763755E-21  9.590030437875E-20 -5.595685666862E-03
  5.600000000000E+01  5.800000000000E+01  1.495789388336E+01  5.657889991297E-15 -2.174887820137E-02  2.247800677683E+02  2.436399852043E-01  3.441032178898E-01 -2.003805140349E-01 -4.116123232670E-04 -3.210168309108E-01  3.004037440113E+00  2.100307264583E-02 -8.320204553332E-02  6.219897288652E-02 -8.671696991629E-02  1.437967988364E-03  4.629884343252E-06 -9.993847917325E-06 -9.422760981824E-06  3.386296478561E-01 -4.629884493818E-06 -6.004258306767E-03 -3.031938982036E-20  9.767226927462E-21  7.462255949404E-20 -5.265747022502E-03
  6.000000000000E+01  6.200000000000E+01  1.504057242447E+01  1.392636223355E-15 -2.324783127141E-02  2.272543181950E+02  2.446681305385E-01  3.429993637153E-01 -1.995555815068E-01 -3.834074925701E-04 -3.458641757725E-01  2.947463015849E+00  1.963015557803E-02 -8.011024714839E-02  6.048009157003E-02 -8.188107701699E-02  1.206981939092E-03 -4.122177104059E-06 -1.057879209852E-05 -1.422381468995E-05  3.233221400943E-01  4.122176792428E-06 -5.769532584384E-03 -1.984063022175E-21  6.299270824699E-22  5.785298388047E-20 -4.975475547058E-03
  6.400000000000E+01  6.600000000000E+01  1.511954573576E+01 -4.711332886320E-15 -2.464549819871E-02  2.296315539577E+02  2.453874135784E-01  3.410838611652E-01 -1.985903718943E-01 -3.780653572429E-04 -3.688605349875E-01  2.889895342727E+00  1.857613195125E-02 -7.715251961983E-02  5.857638766907E-02 -7.735084225801E-02  1.083240592828E-03  2.683845134583E-06 -1.015731871339E-05 -1.760725465397E-05  3.079278910576E-01 -2.683845305968E-06 -7.152557840819E-03  9.651023447188E-21 -1.328932747391E-20  7.879056036363E-20 -4.698622491968E-03
  6.800000000000E+01  7.000000000000E+01  1.519450715997E+01 -1.008504629633E-14 -2.684216624593E-02  2.319003815598E+02  2.458476545277E-01  3.387224113474E-01 -1.977124570349E-01 -3.591579792935E-04 -4.042753453849E-01  2.833047269377E+00  1.755757702263E-02 -7.443440838011E-02  5.687683135715E-02 -7.293842599681E-02  1.566937792548E-03  5.914550811825E-06 -8.567379778170E-06 -1.869636046680E-05  2.921607912560E-01 -5.914550854533E-06 -8.564273743006E-03 -2.488863356790E-20  1.384426773786E-21  7.632278510904E-20 -4.432323223801E-03
  7.200000000000E+01  7.400000000000E+01  1.526562227317E+01 -9.399857989779E-15 -2.895733262332E-02  2.340629762406E+02  2.460804596141E-01  3.363410224327E-01 -1.966965062788E-01 -2.986249217664E-04 -4.394470194319E-01  2.781665964856E+00  1.659737011376E-02 -7.190939574300E-02  5.531202562959E-02 -6.896458556674E-02  1.455166197961E-03  4.438294603502E-06 -7.477200768130E-06 -1.944857422638E-05  2.804496562834E-01 -4.438294593744E-06 -7.612730010791E-03 -3.739461681498E-20 -1.131372704857E-20  7.203115448691E-20 -4.221303964625E-03
  7.600000000000E+01  7.800000000000E+01  1.533472372525E+01 -4.015138843511E-15 -3.069172734876E-02  2.361748362390E+02  2.462120297301E-01  3.339398380708E-01 -1.957549516896E-01 -2.548162256235E-04 -4.694136743393E-01  2.734833759709E+00  1.554893320744E-02 -6.944393058663E-02  5.389499737925E-02 -6.614285915891E-02  1.167801148538E-03  5.002858626113E-06 -6.016348723097E-06 -1.782933488416E-05  2.714952962421E-01 -5.002858451728E-06 -6.062919781388E-03 -3.924088378292E-20 -7.105513287003E-22  9.699300940317E-20 -4.039841259313E-03
