                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  8.252892208897E+00  9.826962738916E-17 -4.943873654967E-02  7.088820771259E+01  6.381981527418E-02  8.352833852474E-01 -1.930666323830E-01 -1.746383805087E-03 -4.127304438285E-01  1.598815540893E+00 -3.054389124885E-03  1.410427996129E-02 -1.104989083734E-02 -6.856040713515E+00  3.933026946838E-02 -1.676104612328E-03 -1.546242839353E-04  8.218012920240E-06  3.711336694539E+01  1.676104612341E-03 -1.828323570981E-01  5.406945579403E-20 -7.441170126490E-22 -1.008075163483E-20 -2.418064347974E-02
  4.000000000000E+00  6.000000000000E+00  1.030424664504E+01  4.614915220802E-16 -4.198047707020E-02  1.095863883061E+02  2.568085980739E-01  9.113708151356E-01 -4.167204699626E-01 -2.898556149635E-03 -4.351334393884E-01  6.464640437699E+00  3.852618917783E-01 -3.328241474136E-01 -5.243774436553E-02 -1.945891705609E+00 -9.274551117132E-02  4.131528324063E-04 -2.499886723635E-04  4.781927406062E-06  5.339021030591E+00 -4.131528324338E-04  2.536173588992E-02  1.869407731481E-20  5.865383260066E-21 -1.125918720354E-21 -1.275691008267E-01
  8.000000000000E+00  1.000000000000E+01  1.092179520481E+01  7.839205268719E-16 -3.679887694915E-02  1.221513250678E+02  3.267581783152E-01  8.629046262601E-01 -4.014357350533E-01 -2.940043572040E-03 -4.042571775435E-01  6.843377723497E+00  1.906071393723E-01 -4.396833230581E-01  2.490761836851E-01 -9.500683133715E-01 -3.637167132391E-02  3.272692479365E-04 -1.477154045077E-04  5.836348201530E-06  2.392822942536E+00 -3.272692479144E-04  2.065792576457E-02  2.103521009905E-20 -8.135167142894E-21  2.219527693876E-20 -5.736044259657E-02
  1.200000000000E+01  1.400000000000E+01  1.150062567048E+01  6.772329008350E-16 -3.168494945109E-02  1.350998553072E+02  3.674691859407E-01  8.490625979529E-01 -4.376518440381E-01 -3.032575066789E-03 -3.664797446771E-01  6.755987537116E+00  1.806468461068E-01 -4.053914636822E-01  2.247446175739E-01 -9.057533912051E-01 -5.858284049275E-03  2.266162330421E-04 -8.099646635008E-05 -1.801875389959E-05  1.966080358793E+00 -2.266162331024E-04  1.894879971060E-02 -1.872208362349E-21  1.052009901123E-21  6.307067803141E-20 -4.877984024561E-02
  1.600000000000E+01  1.800000000000E+01  1.190490229296E+01  1.637188142579E-15 -2.732173619311E-02  1.444332618612E+02  3.988758004352E-01  8.390658270110E-01 -4.368811480539E-01 -3.096762696418E-03 -3.278396511702E-01  6.380137110440E+00  1.488380294970E-01 -3.656922572286E-01  2.168542277307E-01 -6.412941242207E-01 -3.396454587266E-03  1.842989187523E-04 -4.427117900770E-05  1.787189000793E-06  1.512803528672E+00 -1.842989187283E-04  1.587569298018E-02  2.120625368419E-20 -1.409658108488E-20  6.228051540835E-20 -3.694745896698E-02
  2.000000000000E+01  2.200000000000E+01  1.225717260401E+01  4.053413990091E-15 -2.372919120372E-02  1.528923138910E+02  4.248527348276E-01  8.352295017465E-01 -4.474167576983E-01 -3.169034906034E-03 -2.931529463979E-01  6.126839045384E+00  1.333708450546E-01 -3.348364411385E-01  2.014655960843E-01 -5.502183008960E-01 -4.263582362252E-03  1.129407323949E-04 -2.630035335973E-05  1.588352036660E-05  1.274102488251E+00 -1.129407324165E-04  1.294480497261E-02  8.048040670220E-21 -8.101147198152E-21  6.415165882450E-20 -3.110840033177E-02
  2.400000000000E+01  2.600000000000E+01  1.254204562574E+01  6.253989802881E-15 -2.080358579096E-02  1.598944868168E+02  4.463829739508E-01  8.303875126999E-01 -4.481757295179E-01 -3.213607763485E-03 -2.630812061082E-01  5.851908790903E+00  1.159903756203E-01 -3.068974086074E-01  1.909070329882E-01 -4.449984976445E-01 -3.541691455977E-03  8.848816570005E-05 -1.905462159344E-05 -5.346017085825E-06  1.073840712968E+00 -8.848816566826E-05  1.084967635778E-02  2.604441802314E-20 -8.579209752653E-21  7.737481645307E-20 -2.593446965273E-02
  2.800000000000E+01  3.000000000000E+01  1.279403642402E+01  8.759672602438E-15 -1.832610498407E-02  1.662391940757E+02  4.639695951240E-01  8.267727148354E-01 -4.518003414013E-01 -3.241755792878E-03 -2.357597466932E-01  5.629661745830E+00  1.034360665304E-01 -2.839737825531E-01  1.805377160226E-01 -3.883706255910E-01 -3.665875880783E-03  5.544065425067E-05 -1.328372551937E-05 -9.156901409570E-06  9.406269068337E-01 -5.544065428168E-05  9.327252019557E-03  2.776292861446E-20 -1.473887330544E-21  1.024489471374E-19 -2.259503227106E-02
  3.200000000000E+01  3.400000000000E+01  1.301233118002E+01  1.225504738199E-14 -1.614454555455E-02  1.718330128324E+02  4.782713923890E-01  8.226936572945E-01 -4.520704385553E-01 -3.264641139499E-03 -2.099061467627E-01  5.422085942802E+00  9.279039683188E-02 -2.641223317252E-01  1.713319348937E-01 -3.356263622465E-01 -3.343279691359E-03  6.026256484317E-05 -8.783228520187E-06 -1.321776810871E-05  8.317212959472E-01 -6.026256475611E-05  7.911757338569E-03  3.103326208716E-20  2.113231451345E-21  1.085837266731E-19 -1.986140289808E-02
