                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -5.000000000000E+00 -2.500000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.500000000000E+00  8.583398225183E+00  1.639186471743E-16 -7.876354263915E-02  7.650728413902E+01  7.882085659498E-02  9.039224630692E-01 -2.088906810774E-01 -1.898150908003E-03 -6.907775721860E-01  2.073909365670E+00 -2.803119625472E-03  1.539148003267E-02 -1.258836040822E-02 -7.390688354450E+00  5.004117680534E-02 -1.251314110164E-03 -1.343782036789E-04  3.262202258081E-05  3.081331783458E+01  1.251314110193E-03 -2.582557836006E-01  2.686384473895E-20  3.603097081324E-21 -1.224926508651E-20 -2.568589463342E-02
  5.000000000000E+00  7.500000000000E+00  1.067504970304E+01  1.045529259234E-15 -8.267315688777E-02  1.175756173902E+02  2.981657950311E-01  1.015667246713E+00 -4.556746774853E-01 -1.984954411395E-03 -9.080500549305E-01  7.403693995904E+00  4.152607812080E-01 -2.744461671760E-01 -1.408146140315E-01 -1.987692385972E+00 -2.802308102044E-02  3.415246336899E-04 -2.057034328476E-04  9.779837995544E-06  4.435436881321E+00 -3.415246337191E-04 -3.431192816790E-04  1.503846584087E-20 -3.507627257703E-21  3.762143049219E-20 -1.310437982180E-01
  1.000000000000E+01  1.250000000000E+01  1.135525838284E+01  3.110626050721E-15 -7.891567624330E-02  1.321234789054E+02  3.600773404873E-01  9.661061226746E-01 -4.390243431117E-01 -2.175965744595E-03 -9.244103943062E-01  7.193505459059E+00  1.778997033609E-01 -3.428385636467E-01  1.649388602869E-01 -1.011472521025E+00 -3.655062852015E-02  3.048554852325E-04 -1.090831004464E-04  9.729340065836E-06  2.134227003471E+00 -3.048554852090E-04  1.175419163192E-02 -9.471787762204E-21 -8.811877811987E-21  6.821045997983E-20 -6.048497729066E-02
  1.500000000000E+01  1.750000000000E+01  1.200907397439E+01  4.848979001891E-15 -7.540921620911E-02  1.474395541829E+02  3.981853054713E-01  9.572688810130E-01 -4.748536002425E-01 -1.898650123789E-03 -9.358754175189E-01  6.957163495533E+00  1.694942980144E-01 -3.160959276241E-01  1.466016296079E-01 -9.537846409387E-01 -1.197076739517E-03  1.456933854023E-04 -6.060426027597E-05 -1.719722076918E-05  1.774623307632E+00 -1.456933854366E-04  1.089076698375E-02  1.718217924284E-20 -2.981680728747E-21  8.555811134809E-20 -5.100025835198E-02
  2.000000000000E+01  2.250000000000E+01  1.246441081138E+01  5.527877851644E-15 -7.209708409586E-02  1.584903808053E+02  4.314311103306E-01  9.526971899377E-01 -4.749185350424E-01 -1.853838237587E-03 -9.286128809898E-01  6.472639816163E+00  1.310665036021E-01 -2.856459383970E-01  1.545794347932E-01 -6.658957858874E-01 -1.966622676302E-03  1.084596360527E-04 -3.654798975319E-05 -2.088795527577E-06  1.356159284668E+00 -1.084596360340E-04  1.020702951633E-02  2.378764612200E-20 -9.530771820246E-21  1.032355159811E-19 -3.789979257234E-02
  2.500000000000E+01  2.750000000000E+01  1.285667610899E+01  6.557460376204E-15 -6.899087645492E-02  1.683960531663E+02  4.596912683858E-01  9.518785041859E-01 -4.854009433314E-01 -1.751835154173E-03 -9.180327715340E-01  6.153299692454E+00  1.123451441388E-01 -2.626703214930E-01  1.503251773548E-01 -5.569286272772E-01 -2.295201316590E-03  8.843288112285E-05 -2.147618157584E-05  3.858848175215E-06  1.131153249634E+00 -8.843288113569E-05  1.084386549152E-02  2.518690212012E-20 -2.326890965263E-22  1.092734934888E-19 -3.118284981165E-02
  3.000000000000E+01  3.250000000000E+01  1.317140176107E+01  7.821991029426E-15 -6.531706709910E-02  1.765435689333E+02  4.825290421512E-01  9.472943088506E-01 -4.863578854784E-01 -1.708487499950E-03 -8.921728804559E-01  5.833966517546E+00  9.378323036708E-02 -2.407856384027E-01  1.470024080342E-01 -4.430928973460E-01 -2.701440993484E-03  5.131489545939E-05 -1.211356700959E-05  2.332857902233E-06  9.457761653004E-01 -5.131489540082E-05  1.131445976073E-02  1.144112035781E-20 -5.324922306814E-21  1.263053814535E-19 -2.562539880397E-02
  3.500000000000E+01  3.750000000000E+01  1.344777580043E+01  8.352507126335E-15 -6.192925216722E-02  1.838790055057E+02  5.002228696126E-01  9.420247625814E-01 -4.897691967975E-01 -1.566957212864E-03 -8.667132324306E-01  5.579378700349E+00  8.133059995729E-02 -2.228871692130E-01  1.415565692566E-01 -3.809090490567E-01 -2.794570765911E-03  2.565966447751E-05 -6.493742944966E-06  2.408886172547E-06  8.238827397538E-01 -2.565966448462E-05  1.007103323910E-02  4.326686537700E-20 -7.807525470012E-21  1.340658821176E-19 -2.203963433691E-02
  4.000000000000E+01  4.250000000000E+01  1.368632895798E+01  8.614232410431E-15 -5.902349551547E-02  1.903268615938E+02  5.135946004342E-01  9.356298306977E-01 -4.897318420730E-01 -1.588050282116E-03 -8.430153718445E-01  5.346551446462E+00  7.068015371230E-02 -2.060761242733E-01  1.353959705612E-01 -3.260073348520E-01 -2.410855975228E-03  3.772639162885E-05 -2.919263507727E-06  4.489894875983E-07  7.272439488710E-01 -3.772639158671E-05  7.557968031613E-03  5.901274141535E-20 -7.659573838095E-21  1.403211536036E-19 -1.922575505143E-02
  4.500000000000E+01  4.750000000000E+01  1.390231885098E+01  8.318320876584E-15 -5.719039379370E-02  1.962683850437E+02  5.232367330762E-01  9.286497910886E-01 -4.904779846131E-01 -1.463800648205E-03 -8.324994583183E-01  5.148446742699E+00  6.257838629895E-02 -1.922902645291E-01  1.297118782309E-01 -2.904756614600E-01 -1.750067288882E-03  3.662030209693E-05 -9.749656954691E-07  1.133699616921E-05  6.560643466123E-01 -3.662030213348E-05  4.755315372569E-03 -1.910832029191E-21 -2.602874112759E-21  1.224384338873E-19 -1.715220836144E-02
  5.000000000000E+01  5.250000000000E+01  1.409637833083E+01  7.521064281825E-15 -5.602252495934E-02  2.016869084950E+02  5.300306958129E-01  9.205533061243E-01 -4.897711853337E-01 -1.452246733455E-03 -8.288023361647E-01  4.965734056007E+00  5.565318843214E-02 -1.798063788526E-01  1.241531904205E-01 -2.590338824728E-01 -1.417739031601E-03  1.653623455645E-05 -3.950261980925E-07  5.571705816702E-06  5.964291055742E-01 -1.653623455840E-05  2.953768607019E-03  5.596125237700E-20 -1.247718465086E-20  1.214000211778E-19 -1.540135537274E-02
  5.500000000000E+01  5.750000000000E+01  1.427505134282E+01  7.311341353940E-15 -5.532334819118E-02  2.067438897540E+02  5.345959096623E-01  9.106321757857E-01 -4.894808055234E-01 -1.384993287709E-03 -8.301703584899E-01  4.802940429991E+00  5.010804762328E-02 -1.688646715720E-01  1.187566239496E-01 -2.345633112275E-01 -9.150908395339E-04  7.645977273376E-06  9.066591203474E-07 -1.460429984090E-06  5.497786125299E-01 -7.645977300124E-06  1.868483664346E-03  7.093721318776E-20 -7.077372538569E-21  1.184811124837E-19 -1.398779706791E-02
  6.000000000000E+01  6.250000000000E+01  1.443996220138E+01  7.660707165196E-15 -5.486089820531E-02  2.114646530406E+02  5.373820237288E-01  8.994407981323E-01 -4.884009630600E-01 -1.303298210699E-03 -8.327567990552E-01  4.651206903147E+00  4.545006699090E-02 -1.591614102883E-01  1.137113432971E-01 -2.136033534059E-01 -9.318182404088E-04  2.115470612771E-05  2.601470183925E-06  3.889972718749E-06  5.090309792241E-01 -2.115470614578E-05  1.278617935784E-03  2.991169699711E-20  2.249124836319E-21  1.558822089770E-19 -1.278966590614E-02
