                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  6.160500370825E+00 -3.344375702300E-15 -9.692240508822E-02  3.952336796641E+01  3.574930494533E-02  4.720656128614E-01 -1.078258958643E-01 -6.114262199422E-04 -5.986972457723E-01  1.252190479934E+00 -1.454751727740E-03  6.528183482770E-03 -5.073431755725E-03 -3.981898050955E+00  3.923680387338E-02 -9.333353509381E-04 -6.780413112252E-05 -2.038257381833E-05  2.766110984759E+01  9.333353508927E-04 -4.442325328625E-01  4.439652274879E-20 -3.298532741645E-22  3.822327051793E-20 -1.407140781203E-02
  4.000000000000E+00  6.000000000000E+00  7.669905319412E+00 -8.844947922230E-15 -1.251678173779E-01  6.062169256815E+01  1.428622918388E-01  5.220286822077E-01 -2.282628630729E-01  8.790926123979E-04 -9.729535887166E-01  4.816874162205E+00  2.119788995565E-01 -1.846734044477E-01 -2.730549510786E-02 -1.070538197044E+00 -2.793466375761E-02  2.596024902617E-04 -1.028682578700E-04 -2.778838702675E-05  3.973433119161E+00 -2.596024903322E-04 -7.008886781497E-02  8.512099664177E-20  9.161558605424E-21 -5.005863192551E-21 -7.036867197145E-02
  8.000000000000E+00  1.000000000000E+01  8.147182907373E+00 -1.072829881934E-14 -1.320058902314E-01  6.787060667961E+01  1.798135848681E-01  4.976626035557E-01 -2.220263026549E-01  8.085234769039E-04 -1.086308826570E+00  5.106690314550E+00  1.066439913742E-01 -2.429918383406E-01  1.363478469652E-01 -5.466049535883E-01 -1.115427591875E-02  1.691592101221E-04 -5.076333487247E-05  6.571512965352E-06  1.829462633763E+00 -1.691592101883E-04 -1.958423817330E-02  2.611124092086E-20 -1.682934851529E-20  3.555732439776E-20 -3.259323998965E-02
  1.200000000000E+01  1.400000000000E+01  8.584773134257E+00 -9.066678795186E-15 -1.350327436860E-01  7.515722475010E+01  2.012996649662E-01  4.904304353173E-01 -2.411904126746E-01  1.245070742766E-03 -1.170427932227E+00  5.033492022838E+00  1.010926984410E-01 -2.251336717757E-01  1.240409733370E-01 -5.078646132926E-01  2.573621085085E-03  1.611586125523E-04 -2.242291115692E-05  1.172923893057E-05  1.489384923799E+00 -1.611586126242E-04 -8.429632203124E-03  5.053489240376E-20  1.387905772112E-20  4.451162728299E-20 -2.735815769378E-02
  1.600000000000E+01  1.800000000000E+01  8.891892637963E+00 -6.039342275698E-15 -1.360731952571E-01  8.044145394192E+01  2.181329068581E-01  4.854829259219E-01 -2.415236887527E-01  1.267236157281E-03 -1.221086533875E+00  4.743607482903E+00  8.340953967249E-02 -2.025654143538E-01  1.191558746822E-01 -3.606169097255E-01  2.351288812855E-03  2.172610818928E-05 -1.446034333633E-05 -1.130844130917E-05  1.141359839644E+00 -2.172610811892E-05 -5.129430306841E-03  2.851052680388E-20 -6.154745798932E-21  3.668474748616E-20 -2.064127139293E-02
  2.000000000000E+01  2.200000000000E+01  9.155350490970E+00 -3.645671149225E-15 -1.375447571175E-01  8.515334593887E+01  2.322132246308E-01  4.851802013524E-01 -2.471067312423E-01  1.448544985979E-03 -1.270223964795E+00  4.556264183973E+00  7.378746786552E-02 -1.859627527862E-01  1.121752849200E-01 -3.053300988149E-01  1.437533170694E-03  5.462611781327E-05 -1.377540681227E-05 -2.758101440811E-05  9.537097526127E-01 -5.462611806388E-05 -5.413102798494E-03 -1.116504692122E-20 -8.448561020204E-21  9.043121896032E-20 -1.726362748396E-02
  2.400000000000E+01  2.600000000000E+01  9.368709597715E+00 -2.158866803678E-15 -1.388066344763E-01  8.906086261738E+01  2.440853801116E-01  4.845673258378E-01 -2.477214146735E-01  1.563468654192E-03 -1.311290998298E+00  4.356248342186E+00  6.441484432878E-02 -1.706349075942E-01  1.062200632661E-01 -2.475253442025E-01  1.137136763398E-03  1.342214075746E-04 -6.793971777163E-06 -2.583353463178E-05  8.013122511624E-01 -1.342214074955E-04 -5.105583095388E-03  1.003199789997E-20 -7.787074876535E-22  7.395538264936E-20 -1.440299680422E-02
  2.800000000000E+01  3.000000000000E+01  9.556288325038E+00  3.433939692205E-16 -1.400886963589E-01  9.258143919801E+01  2.539585541769E-01  4.838695742876E-01 -2.496989514150E-01  1.713713738731E-03 -1.349816450160E+00  4.196342065665E+00  5.811085910126E-02 -1.585405195512E-01  1.004296604492E-01 -2.149665307227E-01  8.138087038154E-04  7.867290889014E-05 -6.576019339078E-06 -1.148064941086E-05  6.979396573217E-01 -7.867290874853E-05 -5.726378540905E-03  1.482083453835E-21 -4.101465407584E-20  8.627203108108E-20 -1.248783625364E-02
  3.200000000000E+01  3.400000000000E+01  9.717735238984E+00  3.594352530997E-15 -1.416731771373E-01  9.566556950684E+01  2.621432114496E-01  4.830088482266E-01 -2.498728686235E-01  1.828364973021E-03 -1.387603174070E+00  4.038509137252E+00  5.193221405369E-02 -1.474709814326E-01  9.553876737929E-02 -1.851875160499E-01  1.200602191086E-03 -2.326259567931E-05 -1.282639852188E-05  3.818388526424E-05  6.145757081415E-01  2.326259564843E-05 -7.166977538652E-03  3.291953519518E-20  8.112674907557E-21  1.167878400896E-19 -1.093865512866E-02
