ID Time Lat Lon Fetch U10 ustar thetaw thetap ustar_eff fa_ustar kp eta_sq
RF05_1 1513:43 16.12 295.14 7 18.14 0.747 8 7 0.746 0.746 0.265 0.056 
RF05_2 1514:02 16.07 295.14 12 18.13 0.747 9 12 0.746 0.746 0.191 0.119 
RF05_3 1514:57 16.03 295.13 17 18.11 0.748 10 17 0.742 0.745 0.142 0.201 
RF05_4 1515:53 15.96 295.13 24 18.09 0.748 11 21 0.736 0.743 0.133 0.235 
RF05_5 1517:01 15.87 295.14 33 18.06 0.749 13 27 0.726 0.738 0.118 0.337 
RF05_6 1518:07 15.82 295.18 40 18.04 0.75 14 40 0.674 0.727 0.098 0.352 
RF05_7 1519:27 15.74 295.23 51 18.01 0.751 16 41 0.68 0.717 0.088 0.369 
RF05_8 1521:12 15.63 295.3 63 17.97 0.753 18 61 0.556 0.686 0.079 0.425 
RF05_9 1539:03 14.48 295.98 198 17.3 0.647 41 53 0.633 0.649 0.054 0.778 
RF05_10 1541:53 14.33 296.08 217 17.18 0.659 42 53 0.646 0.649 0.059 0.784 
RF05_11 1558:25 13.34 296.69 336 15.44 0.723 49 53 0.721 0.675 0.069 0.967 
RF05_12 1600:05 13.19 296.79 354 15.16 0.681 50 56 0.677 0.675 0.044 0.881 
RF05_13 1604:01 13.02 296.93 378 14.8 0.625 52 47 0.623 0.671 0.049 0.923 
RF05_14 1607:08 12.85 297.08 402 14.45 0.571 54 56 0.571 0.665 0.054 0.979 
RF05_15 1734:27 12.41 297.55 473 14.8 0.515 54 48 0.513 0.642 0.059 0.82 
RF05_16 1754:01 13.21 296.97 358 17.53 0.644 48 65 0.617 0.707 0.044 0.898 
RF05_17 1757:08 13.32 296.89 346 17.34 0.633 48 54 0.63 0.71 0.064 0.79 
RF05_18 1917:21 14.23 296.27 231 16.68 0.84 44 63 0.799 0.748 0.064 0.757 
RF05_19 1935:34 14.96 295.85 154 17.86 0.721 38 55 0.688 0.724 0.069 0.64 
RF05_20 1938:25 15.07 295.79 141 17.99 0.773 35 58 0.711 0.727 0.064 0.606 
RF05_21 1955:51 15.75 295.39 65 19.75 0.892 18 52 0.741 0.744 0.088 0.406 
RF05_22 1959:02 15.88 295.31 50 19.88 0.862 13 46 0.72 0.744 0.118 0.276 
RF05_23 2000:08 15.92 295.28 45 19.92 0.852 11 47 0.688 0.747 0.147 0.238 
RF05_24 2001:58 15.99 295.24 35 19.99 0.834 8 30 0.772 0.772 0.157 0.195 
RF05_25 2011:01 16.12 295 9 20.35 0.747 353 11 0.71 0.71 0.187 0.141
RF07_1 1459:33 16.13 295.13 6 15.98 0.612 3 25 0.57 0.57 0.287 0.012 
RF07_2 1500:12 16.09 295.13 11 16.07 0.602 4 22 0.572 0.57 0.251 0.038 
RF07_3 1500:51 16.04 295.13 15 16.1 0.552 4 19 0.533 0.559 0.191 0.056 
RF07_4 1501:03 16 295.13 20 15.74 0.582 6 22 0.559 0.559 0.166 0.089 
RF07_5 1502:09 15.95 295.13 25 15.57 0.586 7 20 0.569 0.561 0.147 0.107 
RF07_6 1502:47 15.91 295.13 29 15.44 0.585 7 29 0.545 0.558 0.145 0.13 
RF07_7 1503:49 15.84 295.14 37 15.27 0.581 9 28 0.549 0.557 0.124 0.171 
RF07_8 1505:06 15.75 295.17 47 15.06 0.572 11 29 0.545 0.554 0.104 0.212 
RF07_9 1506:41 15.64 295.21 59 14.84 0.561 13 27 0.544 0.552 0.092 0.265 
RF07_10 1524:12 14.5 295.5 189 13.35 0.464 28 17 0.455 0.485 0.064 0.445 
RF07_11 1526:46 14.33 295.54 209 13.08 0.468 30 27 0.468 0.483 0.062 0.515 
RF07_12 1546:03 13.46 296.42 343 11.78 0.431 41 42 0.431 0.463 0.057 0.494 
RF07_13 1610:12 12.44 297.56 509 11.41 0.41 53 56 0.409 0.445 0.051 0.41
RF09_1 1527:08 15.79 295.26 65 18.01 0.718 17 44 0.642 0.642 0.113 0.249 
RF09_2 1528:25 15.72 295.31 75 18.1 0.691 24 47 0.635 0.641 0.103 0.215 
