                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -5.844822281166E-01 -2.922411140583E-01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.922411140583E-01  3.945914523676E+00 -1.033873507639E-14 -1.893728038762E-01  1.634239146201E+01  2.537780378348E-02  3.013689694053E-01 -6.667497533331E-02 -2.219567280170E-03 -7.585728468465E-01  1.686632067097E-01  1.279717239620E-03  7.052516538250E-03 -8.332233777674E-03 -2.373905154003E+00  6.492395110091E-02  3.415247255476E-02 -6.149722729012E-04  3.339728588885E-06  1.291200320657E+02 -3.415247255533E-02 -5.245008434104E+00 -1.878002414683E-19 -4.233575797155E-21  3.678176931896E-20 -1.345230333663E-02
  5.844822281166E-01  8.767233554515E-01  5.487658941897E+00  1.521786169301E-15 -1.937408174507E-01  3.119964101409E+01  9.748977373587E-02  3.326975882348E-01 -1.641795534858E-01 -2.794403589594E-03 -1.061827705503E+00  4.832488679732E-01  2.078969186749E-01 -7.867661339114E-02 -1.292203052829E-01 -8.757764248415E-01  2.428749975678E-02 -9.301833693122E-03 -8.862696433368E-04  4.531751083461E-05  2.767136116440E+01  9.301833695010E-03  1.066346700136E-01 -9.739509006294E-20  4.201651912028E-20  8.956605423100E-20 -5.504230594918E-02
  1.168964482786E+00  1.461205623082E+00  5.967512906576E+00  5.499615519933E-15 -1.816934890364E-01  3.649353968901E+01  1.213270295248E-01  3.119487163863E-01 -1.519079970486E-01 -2.466478819129E-03 -1.079272099868E+00  4.547907367026E-01  9.427991627413E-02 -9.967063436197E-02  5.390718086055E-03 -4.189816572940E-01 -2.178119992158E-02 -1.123359920776E-02 -3.904479980852E-04  2.426415464856E-05  1.259726145564E+01  1.123359920699E-02  3.579649969569E-01  1.292238542819E-20 -1.397079975481E-19 -9.924756036215E-20 -2.480691877604E-02
  1.753446763377E+00  2.045687167303E+00  6.408046511472E+00 -8.981097116001E-15 -1.676515367607E-01  4.191852002996E+01  1.356550107340E-01  2.995658691641E-01 -1.623180949618E-01 -2.332813919058E-03 -1.070798560956E+00  4.352171489465E-01  8.411310328290E-02 -9.196020805386E-02  7.847104771819E-03 -3.852215786306E-01 -9.121885268300E-03 -5.873899426601E-03 -1.668498871886E-04  8.012863966782E-06  1.028235069783E+01  5.873899427691E-03  3.646194120326E-01 -1.106761614902E-19 -7.544787289991E-20  1.460893014790E-20 -2.059646252228E-02
  2.337927571228E+00  2.630168736496E+00  6.718755645674E+00  1.022809224469E-15 -1.550479457186E-01  4.592849397698E+01  1.468780060913E-01  2.891061902867E-01 -1.593461155718E-01 -2.385811504104E-03 -1.040341500086E+00  4.021583632002E-01  6.612277138045E-02 -8.438349509220E-02  1.826072371152E-02 -2.707747438738E-01 -8.107466127403E-03 -3.399855895515E-03 -7.092744358788E-05 -1.033269639580E-05  7.854799864672E+00  3.399855896356E-03  3.132620226597E-01 -4.423724499174E-20  2.070905449555E-20  6.220659260462E-20 -1.526184339765E-02
  2.922409901764E+00  3.214651079044E+00  6.981926669624E+00  6.516068609165E-15 -1.447427085859E-01  4.949183970376E+01  1.554779454943E-01  2.805260555724E-01 -1.596509612002E-01 -2.434345282161E-03 -1.010289980489E+00  3.798899878348E-01  5.691176274009E-02 -7.881872615293E-02  2.190696341314E-02 -2.210813731624E-01 -6.426538843263E-03 -1.534173195839E-03 -3.508198661479E-05 -1.731792863923E-05  6.484257918420E+00  1.534173196683E-03  2.538617690585E-01 -2.867951730964E-20 -9.609162419788E-20 -9.159931701446E-20 -1.233334678793E-02
  3.506892256323E+00  3.799133445299E+00  7.192498845164E+00  2.182451539368E-15 -1.364805170802E-01  5.242958882003E+01  1.615520430628E-01  2.703928799064E-01 -1.566191733211E-01 -2.391122907629E-03 -9.809836375828E-01  3.576361641208E-01  4.822295735283E-02 -7.216320452180E-02  2.394024716895E-02 -1.745757900153E-01 -4.841651772906E-03 -1.277094532333E-03 -1.289329754449E-05 -1.093719739510E-05  5.385147765096E+00  1.277094532943E-03  1.964635217784E-01  2.435014392037E-19 -1.130555355261E-19 -9.772036480274E-20 -1.001781977617E-02
  4.091374634275E+00  4.383615834630E+00  7.375368091083E+00 -3.700016096460E-15 -1.303772081576E-01  5.505742678536E+01  1.653277741945E-01  2.610732095295E-01 -1.542383563600E-01 -2.349387624479E-03 -9.593865567643E-01  3.393782744324E-01  4.191479910875E-02 -6.610394485634E-02  2.418914574747E-02 -1.475805223496E-01 -3.651753225850E-03 -9.262734215657E-04  3.200353563315E-07  1.995124182149E-06  4.660531246221E+00  9.262734223289E-04  1.548872257920E-01  9.689817629476E-20 -5.475036688555E-21  2.716417146743E-20 -8.499933011086E-03
  4.675857034986E+00  4.968097497391E+00  7.532999708907E+00 -2.771390159462E-16 -1.251562657993E-01  5.737449405626E+01  1.672485803994E-01  2.512627839159E-01 -1.507398536060E-01 -2.336192023726E-03 -9.398115091017E-01  3.234114593272E-01  3.705783957255E-02 -6.060011810560E-02  2.354227853321E-02 -1.252131297164E-01 -3.214686049614E-03  1.531749865525E-04  3.323016063788E-06  5.148062673788E-06  4.109937052492E+00 -1.531749854227E-04  1.343862392934E-01 -2.808688958367E-19  4.986607318867E-20  1.804034248481E-20 -7.361126189581E-03
