                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -5.844822281166E-01 -2.922411140583E-01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
 -4.247486258811E-17  2.922411140583E-01  3.297461701889E+00 -1.425441938740E-14 -2.409815312606E-01  1.137744873503E+01  2.624549348893E-02  3.243002714403E-01 -5.841224700360E-02 -1.446869597355E-03 -7.991894366244E-01  1.760675513359E-01  1.926525790548E-03  8.919928777817E-03 -1.084645456864E-02 -2.085342354096E+00  7.933847188038E-02 -2.208981284102E-03 -7.389959876727E-04  3.711494009154E-04  1.130200899471E+02  2.208981285672E-03 -6.866856691869E+00 -2.535978768522E-19 -3.324225365628E-22  1.191383396340E-19 -1.531496437342E-02
  5.844822281166E-01  8.767233554515E-01  4.959747063394E+00 -1.864959549733E-14 -2.607648419952E-01  2.573421204314E+01  9.952293992263E-02  4.089396319623E-01 -1.676192350706E-01 -8.399305741780E-04 -1.302553567828E+00  4.072734140880E-01  2.389153529419E-01 -2.847010325741E-02 -2.104452496850E-01 -9.156995185361E-01  5.101914697765E-02  1.020467120179E-03 -1.072431662444E-03 -1.322210667157E-04  2.842832039700E+01 -1.020467119641E-03 -1.525069761908E-01  2.109305347997E-19 -4.209822386624E-20  4.392728851167E-20 -5.382427065123E-02
  1.168964482786E+00  1.461205623082E+00  5.374233844867E+00 -6.360839583530E-15 -2.521801623286E-01  2.977868314267E+01  1.308625136793E-01  3.900350799761E-01 -1.518060979973E-01 -8.272561224189E-04 -1.359834298322E+00  3.474978600157E-01  8.314123437310E-02 -2.884481269305E-02 -5.429642167933E-02 -3.669831153277E-01 -1.864452101294E-02  7.996857893014E-04 -4.216851411093E-04  2.496463710788E-05  1.206543943493E+01 -7.996857897937E-04  1.893885892633E-01  2.772796972445E-19 -6.056434607463E-20  3.680153567953E-19 -2.230992778703E-02
  1.753446763377E+00  2.045687167303E+00  5.841328510645E+00 -1.687323147426E-15 -2.467678799785E-01  3.499693787750E+01  1.495020055539E-01  3.799963703862E-01 -1.627725652926E-01 -9.216198701388E-04 -1.445217873487E+00  3.317734523405E-01  7.264973779249E-02 -2.847800042944E-02 -4.417173736309E-02 -3.624564034447E-01 -1.533828128598E-03  3.341489322183E-04 -9.925333286290E-05  1.749387520257E-04  1.078057065561E+01 -3.341489326835E-04  1.194738002638E-01 -5.475249010825E-20  1.221555319131E-19 -2.813729392285E-21 -1.936231783537E-02
  2.337927571228E+00  2.630168736496E+00  6.162150278494E+00  7.708547813503E-16 -2.434076789745E-01  3.877201849411E+01  1.635912058289E-01  3.716153611883E-01 -1.593179121784E-01 -7.000676763380E-04 -1.505149000589E+00  3.021866164398E-01  5.121145538340E-02 -2.784516327832E-02 -2.336629210531E-02 -2.513595215807E-01 -1.145168881613E-03  2.522881433807E-04  4.180347928794E-06 -3.800535911442E-05  8.197345910526E+00 -2.522881430803E-04  7.583460280817E-02 -2.482771358121E-19 -3.609214376803E-20 -1.295091454557E-19 -1.414983130530E-02
  2.922409901764E+00  3.214651079044E+00  6.440397885834E+00 -3.299931353045E-16 -2.412868585094E-01  4.223515590054E+01  1.736572732757E-01  3.656327883773E-01 -1.595763126569E-01 -8.092963657071E-04 -1.557222652649E+00  2.828306522512E-01  4.041885369121E-02 -2.684252424489E-02 -1.357632944672E-02 -2.048680241418E-01 -6.335221749203E-04  7.108017741285E-05  8.123464023783E-06 -1.185096020127E-05  6.865560945870E+00 -7.108017717885E-05  5.817012955257E-02  2.553034076438E-19 -1.227577248797E-19 -9.942989085810E-20 -1.144275544582E-02
  3.506892256323E+00  3.799133445299E+00  6.663646887474E+00 -1.794693408642E-16 -2.392004002696E-01  4.511822151025E+01  1.807513641984E-01  3.555669902811E-01 -1.567357908238E-01 -5.924642391590E-04 -1.595159926243E+00  2.647136312400E-01  3.097243717908E-02 -2.409102928984E-02 -6.881407889135E-03 -1.623124208490E-01  1.531743208138E-04 -2.271290355492E-04 -2.383271588706E-05 -2.471209694639E-05  5.714052440386E+00  2.271290358956E-04  7.998312891291E-02  1.033575943935E-19 -9.627297455094E-20 -1.938349266479E-19 -9.283255162779E-03
  4.091374634275E+00  4.383615834630E+00  6.857703460407E+00 -2.820347043403E-15 -2.355145471952E-01  4.771065363247E+01  1.848068218899E-01  3.449611979752E-01 -1.543621611585E-01 -5.632860477048E-04 -1.615366955013E+00  2.511632452684E-01  2.459020228894E-02 -2.189702032709E-02 -2.693181961544E-03 -1.361363499003E-01 -9.772814236145E-04 -1.639259694313E-04 -3.325001920464E-05  1.071433062337E-04  4.934379891220E+00  1.639259693762E-04  1.081933908085E-01 -2.264936936971E-19 -1.026652968600E-19 -7.577330285832E-20 -7.808617666719E-03
  4.675857034986E+00  4.968097497391E+00  7.024080492146E+00 -7.065094447544E-16 -2.313540358980E-01  4.998991657766E+01  1.861326854831E-01  3.328234169022E-01 -1.509897168154E-01 -5.260986412421E-04 -1.625370131335E+00  2.384873924289E-01  1.995149482143E-02 -2.017781808762E-02  2.263232660268E-04 -1.144968498591E-01 -1.448960417264E-03 -2.681768747321E-05 -3.141896029925E-05  8.617807115493E-05  4.307606770015E+00  2.681768805017E-05  1.145637833331E-01 -2.081360561451E-19  1.439652088824E-20  1.111653390389E-19 -6.665221681330E-03
