                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -5.844822281166E-01 -2.922411140583E-01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
 -4.247486258811E-17  2.922411140583E-01  3.758476425887E+00 -1.654471466444E-14 -2.813875462518E-01  1.473596703359E+01  2.502353022000E-02  3.546809161565E-01 -6.557435050768E-02 -2.333953769148E-03 -1.055605282057E+00  1.436046798448E-01  1.228732669407E-03  9.045835173251E-03 -1.027456784255E-02 -1.939014501989E+00  7.833174706606E-02 -3.487722391651E-03 -5.355866750366E-04  2.805048334459E-04  1.227821544592E+02  3.487722391081E-03 -8.139692216066E+00  3.749143735060E-20  6.786433730889E-21 -3.223148132352E-20 -1.096897548858E-02
  5.844822281166E-01  8.767233554515E-01  5.212053437844E+00  6.820597282494E-16 -3.133473036239E-01  2.824811731794E+01  9.672366003619E-02  3.842397458577E-01 -1.689605023991E-01 -1.563928405307E-03 -1.639183790675E+00  4.933938991753E-01  2.093712061348E-01 -8.240374637286E-02 -1.269674597610E-01 -8.434788861622E-01  3.637604550402E-02  1.363880090881E-03 -8.408558713429E-04 -2.182897721786E-05  2.526643942347E+01 -1.363880088573E-03 -3.355225994741E-01 -7.894396333249E-20 -4.689057110102E-20 -2.584223116584E-19 -5.362910111538E-02
  1.168964482786E+00  1.461205623082E+00  5.604376876925E+00  6.255209566465E-15 -3.058702240425E-01  3.225679033617E+01  1.220139442550E-01  3.594606823563E-01 -1.533270966573E-01 -1.356873939152E-03 -1.716201979549E+00  4.606760251132E-01  9.000118127723E-02 -1.015820004202E-01  1.158081914218E-02 -3.653960554135E-01 -1.878359937040E-02  1.039040904769E-03 -4.404077669825E-04 -1.425392464834E-05  1.094701495976E+01 -1.039040905494E-03  3.320481575899E-01  1.996503602204E-20  1.130797888704E-19 -2.554369533951E-19 -2.233989899605E-02
  1.753446763377E+00  2.045687167303E+00  6.011860587703E+00 -1.481434874946E-14 -2.890805313974E-01  3.696695622237E+01  1.375148226280E-01  3.410622055509E-01 -1.642521783236E-01 -9.869251776877E-04 -1.737126214204E+00  4.427867811913E-01  8.175345989614E-02 -9.155621392054E-02  9.802754024409E-03 -3.614753431911E-01 -8.771282596845E-03  5.148199063876E-04 -1.866276313302E-04  8.970890233237E-05  9.481645554501E+00 -5.148199054115E-04  3.904992435296E-01 -2.727908327715E-19 -1.814324206030E-20  2.315786360366E-20 -1.935430521508E-02
  2.337927571228E+00  2.630168736496E+00  6.297123407490E+00  2.526174968265E-15 -2.773344690051E-01  4.040820280038E+01  1.493064811869E-01  3.284348212949E-01 -1.606889447249E-01 -1.359240201501E-03 -1.744519556078E+00  4.085970774841E-01  6.522802880453E-02 -8.403883086800E-02  1.881080206245E-02 -2.542934326156E-01 -6.201111326857E-03  2.694622038785E-04 -9.341621520696E-05  6.305845564066E-05  7.256910317006E+00 -2.694622025039E-04  2.590901230100E-01 -2.035849151154E-19 -1.536013397222E-20 -2.015829522463E-19 -1.435014214839E-02
  2.922409901764E+00  3.214651079044E+00  6.542059611227E+00  1.038002454443E-14 -2.701429803029E-01  4.350969119010E+01  1.582580616257E-01  3.197006817883E-01 -1.608218238196E-01 -1.136467886357E-03 -1.765302444382E+00  3.877028348046E-01  5.553439034348E-02 -7.822059339583E-02  2.268620305137E-02 -2.084002755867E-01 -3.681904739654E-03  1.465378234622E-04 -6.852805881230E-05  1.149526109145E-06  6.045603361232E+00 -1.465378230335E-04  2.147477471252E-01  2.840800013417E-20  9.654764997780E-20 -3.734763483626E-19 -1.167941452713E-02
  3.506892256323E+00  3.799133445299E+00  6.738817368196E+00  1.419053341542E-15 -2.616449905427E-01  4.607961063239E+01  1.645125272524E-01  3.080517712064E-01 -1.577898364910E-01 -1.178892842048E-03 -1.761222590775E+00  3.663542295318E-01  4.731869103801E-02 -7.121587457149E-02  2.389718353314E-02 -1.669590581553E-01 -4.123562077780E-03  4.414917018909E-05 -4.751896385781E-05 -2.429913840501E-05  5.048075893534E+00 -4.414916988957E-05  1.850412740452E-01 -5.081163975389E-20 -1.475412459985E-19 -8.196560990769E-20 -9.635568636877E-03
  4.091374634275E+00  4.383615834630E+00  6.910873397898E+00 -7.366824980907E-15 -2.566267071642E-01  4.839596187929E+01  1.681958066984E-01  2.979192505635E-01 -1.552734182125E-01 -1.179535791473E-03 -1.771698997427E+00  3.496694730973E-01  4.121205649496E-02 -6.593574753713E-02  2.472369104376E-02 -1.424796712318E-01 -2.091285500207E-03  3.134692268628E-05 -2.516487193160E-05 -4.935304160975E-08  4.383216893864E+00 -3.134692157471E-05  1.016960383075E-01 -2.094972561010E-19 -2.128756937993E-19  6.181212267698E-21 -8.219974694471E-03
  4.675857034986E+00  4.968097497391E+00  7.059057021651E+00 -1.072218773864E-16 -2.542152561638E-01  5.043493721415E+01  1.700925672082E-01  2.914049421240E-01 -1.516173671713E-01 -1.028308779290E-03 -1.793048195768E+00  3.342532646705E-01  3.625359048976E-02 -6.158122347951E-02  2.532763298908E-02 -1.209396643561E-01 -1.085335551849E-03  4.753693884606E-05 -7.776960018354E-06 -2.677389751209E-06  3.858826190830E+00 -4.753693720100E-05  4.631475749127E-02 -9.742654581600E-20 -2.449424917493E-20  8.501581465653E-20 -7.093677990814E-03
