                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -5.844822281166E-01 -2.922411140583E-01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
 -4.247486258811E-17  2.922411140583E-01  3.785709165727E+00 -1.647428345136E-14 -2.658288390137E-01  1.494445982715E+01  2.512400149137E-02  3.504556901873E-01 -6.617077138323E-02 -2.331661211169E-03 -1.007725418411E+00  1.424556932319E-01  1.220851980666E-03  8.998194452367E-03 -1.021904643369E-02 -1.935657577555E+00  7.305466652563E-02 -3.533330359401E-03 -5.587403281230E-04  2.330296753535E-04  1.235311474454E+02  3.533330358827E-03 -7.491310880875E+00  1.789711953866E-19  2.385813024356E-21 -6.904267591556E-20 -1.086344428704E-02
  5.844822281166E-01  8.767233554515E-01  5.239541712418E+00  8.681837834637E-16 -2.815527158840E-01  2.853715526335E+01  9.736322003296E-02  3.747211864592E-01 -1.709165099596E-01 -2.089436577572E-03 -1.483609082549E+00  4.965628650065E-01  2.088185508903E-01 -8.387007317976E-02 -1.249484777113E-01 -8.438295666291E-01  2.930987004223E-02  1.380336707836E-03 -8.579767781147E-04  8.627318067283E-05  2.524026186577E+01 -1.380336705531E-03 -1.926543465089E-01 -1.070753491530E-19  1.523236928297E-21  1.750287563106E-19 -5.379966736677E-02
  1.168964482786E+00  1.461205623082E+00  5.629695828967E+00  6.632382326449E-15 -2.798539102416E-01  3.253333078259E+01  1.232646736842E-01  3.562238164676E-01 -1.536510676013E-01 -2.398795531650E-03 -1.581498208706E+00  4.601382122889E-01  8.901088099380E-02 -1.014608416312E-01  1.244996063781E-02 -3.648874149171E-01 -1.329243179647E-02  1.115730097944E-03 -4.393864296587E-04 -1.054283293592E-05  1.098139947668E+01 -1.115730098674E-03  3.596753934590E-02  1.562889713557E-19 -4.713278725232E-20 -1.314427710298E-19 -2.239632808269E-02
  1.753446763377E+00  2.045687167303E+00  6.041864910872E+00 -1.456477260914E-14 -2.789163805769E-01  3.732727066256E+01  1.389189880960E-01  3.471174129923E-01 -1.652317225810E-01 -2.018821826073E-03 -1.687655284730E+00  4.432975564135E-01  8.201953829113E-02 -9.211473792775E-02  1.009519963756E-02 -3.655239085040E-01  7.465653221403E-04  5.066468418011E-04 -2.053626033302E-04 -1.287663667398E-05  9.527747876452E+00 -5.066468408448E-04  8.346153509157E-02 -7.732138902204E-21 -1.015057215491E-19 -2.069493712244E-19 -1.946646923782E-02
  2.337927571228E+00  2.630168736496E+00  6.325806216694E+00  2.385811020993E-15 -2.737524930124E-01  4.076680043722E+01  1.503668605684E-01  3.379768602282E-01 -1.610268230971E-01 -1.843306165705E-03 -1.735677881469E+00  4.099901352086E-01  6.465508559774E-02 -8.508466465130E-02  2.042957905283E-02 -2.536471357752E-01 -2.357110730990E-03  2.373509051312E-04 -8.937928309991E-05  7.284103729953E-06  7.240437335798E+00 -2.373509037669E-04  1.333408891666E-01  1.005243446165E-19  1.096441670737E-19 -2.939172660462E-19 -1.437523760911E-02
  2.922409901764E+00  3.214651079044E+00  6.570859833168E+00  1.007454507662E-14 -2.691707643391E-01  4.388589305324E+01  1.586586629563E-01  3.312101877511E-01 -1.609074203268E-01 -1.877431113788E-03 -1.771605209058E+00  3.894698207017E-01  5.605312778724E-02 -7.969307061105E-02  2.363994282333E-02 -2.100671086545E-01 -2.514115771835E-03  1.329811190904E-04 -3.608759824709E-05 -8.536462327139E-06  6.055409107266E+00 -1.329811186582E-04  9.660856784521E-02  8.485613982939E-20 -1.392973832563E-19  2.154739827212E-20 -1.175944436346E-02
  3.506892256323E+00  3.799133445299E+00  6.768220244811E+00  1.428029627616E-15 -2.666962001274E-01  4.647343474695E+01  1.639396705755E-01  3.240962068546E-01 -1.574890163753E-01 -1.828249926276E-03 -1.806798928020E+00  3.694712959901E-01  4.747388881902E-02 -7.282379744869E-02  2.534990862849E-02 -1.679474634800E-01 -4.417819677060E-04  8.510074582548E-05 -2.215501627274E-05  8.737303715376E-07  5.138561832668E+00 -8.510074550374E-05  8.316242426410E-02  4.816029141297E-20 -1.706565852256E-19 -5.879778086945E-20 -9.828178068867E-03
  4.091374634275E+00  4.383615834630E+00  6.946285133181E+00 -7.060660607547E-15 -2.630960682616E-01  4.888236305099E+01  1.673134696734E-01  3.158914218359E-01 -1.545586899499E-01 -1.872565357475E-03 -1.827837849161E+00  3.526949505808E-01  4.206070915831E-02 -6.675221274227E-02  2.469150358417E-02 -1.477831627008E-01 -1.061878145032E-03  2.928666519469E-05 -1.254121682478E-05 -9.444624938538E-06  4.549433560864E+00 -2.928666408974E-05  1.076835346705E-01 -8.420322675862E-20  6.537423535390E-20  4.228123527803E-21 -8.595619418569E-03
  4.675857034986E+00  4.968097497391E+00  7.100602863788E+00 -1.388496641204E-16 -2.588290458301E-01  5.101932627225E+01  1.694283285665E-01  3.054284007889E-01 -1.506176352720E-01 -1.812257709521E-03 -1.836712177703E+00  3.362115878674E-01  3.711487480172E-02 -6.119496592656E-02  2.408009112536E-02 -1.270348113227E-01 -1.456467536139E-03  2.370826749796E-05  5.870236512648E-07 -2.229217016981E-06  4.016805529258E+00 -2.370826586951E-05  1.113487910043E-01 -8.270968256838E-20 -3.788843756240E-21 -5.965125772423E-20 -7.427552160125E-03
