                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -5.844822281166E-01 -2.922411140583E-01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
 -4.247486258811E-17  2.922411140583E-01  3.532917205175E+00 -1.596771920890E-14 -2.085003627670E-01  1.311302760218E+01  2.382552819130E-02  3.033912520930E-01 -6.381543029152E-02 -1.859256255885E-03 -7.436504134765E-01  1.738218663824E-01  8.519208241160E-04  8.380257533534E-03 -9.232178358357E-03 -2.178697780522E+00  6.900490001693E-02 -4.767037641989E-03 -6.821773578148E-04  2.813844064456E-04  1.176239677739E+02  4.767037641503E-03 -6.088604589818E+00  1.233947534832E-19  5.953425963905E-20 -1.917213420874E-19 -1.405607578588E-02
  5.844822281166E-01  8.767233554515E-01  5.060761338611E+00  9.114599672884E-16 -2.364060490711E-01  2.669884458594E+01  9.314172615487E-02  3.540369637210E-01 -1.675012668557E-01 -1.574599865872E-03 -1.204321611667E+00  4.948943341475E-01  2.229001799520E-01 -8.211406093595E-02 -1.407861190129E-01 -9.301736606591E-01  4.205342412992E-02  1.872353558458E-03 -1.057654428203E-03 -6.068146522528E-05  2.697309716116E+01 -1.872353556121E-03 -3.091520576040E-01  4.294358512514E-19 -4.309996443964E-20  1.680750596200E-19 -5.758880263310E-02
  1.168964482786E+00  1.461205623082E+00  5.503486535003E+00  6.860006337398E-15 -2.310497907416E-01  3.113757071478E+01  1.210692772971E-01  3.383276201097E-01 -1.537154187991E-01 -1.409730964888E-03 -1.279029623592E+00  4.693144730923E-01  9.605822244460E-02 -1.025602979496E-01  6.502075506367E-03 -4.155841539339E-01 -1.635175005484E-02  1.467130974025E-03 -5.332000775680E-04 -8.123272711142E-05  1.208693724356E+01 -1.467130974549E-03  1.727417239979E-01  1.445041677471E-19  6.382501575251E-20  1.037429178155E-19 -2.496025642371E-02
  1.753446763377E+00  2.045687167303E+00  5.943859015322E+00 -1.373497985285E-14 -2.237733098628E-01  3.614710132740E+01  1.388943614600E-01  3.295148566159E-01 -1.650971065910E-01 -1.437372194683E-03 -1.338093149281E+00  4.514723736475E-01  8.705697501997E-02 -9.309400818333E-02  6.037033162257E-03 -3.960849244152E-01 -2.334169371824E-03  7.742627229615E-04 -2.279882325219E-04 -1.047938621474E-08  1.024602345456E+01 -7.742627219260E-04  2.398545105020E-01 -1.036176261699E-19 -1.695922133213E-19 -1.177679713005E-19 -2.116430028120E-02
  2.337927571228E+00  2.630168736496E+00  6.252079130881E+00  1.993420890595E-15 -2.135150848663E-01  3.983404614825E+01  1.522034822630E-01  3.199853022778E-01 -1.622647695178E-01 -1.500659232016E-03 -1.343509270001E+00  4.177034737057E-01  6.757917534664E-02 -8.632574594103E-02  1.874657059385E-02 -2.776916440728E-01 -5.239140528075E-03  3.471892956883E-04 -8.857240053227E-05  3.266388127746E-05  7.794247111838E+00 -3.471892942251E-04  2.840599308731E-01  2.317058889373E-19  7.473167934007E-21 -2.486830495099E-19 -1.561360792533E-02
  2.922409901764E+00  3.214651079044E+00  6.513317071271E+00  9.791250460490E-15 -2.030083669448E-01  4.312360825819E+01  1.618223746809E-01  3.141044822443E-01 -1.629159003493E-01 -1.553035604047E-03 -1.330822275760E+00  3.942420654972E-01  5.705553835644E-02 -8.094781689754E-02  2.389227854142E-02 -2.257377468990E-01 -6.076596235653E-03  1.195014111406E-04 -2.766434746999E-05  4.044002305704E-06  6.373240486181E+00 -1.195014105742E-04  2.408050069426E-01 -3.622966318166E-19  1.327307160904E-20  1.558892649033E-19 -1.246887982004E-02
  3.506892256323E+00  3.799133445299E+00  6.717714702808E+00  2.290912784775E-15 -1.959204299860E-01  4.578690630597E+01  1.679029337831E-01  3.065724863378E-01 -1.600958844519E-01 -1.967601769416E-03 -1.324004473723E+00  3.735864876293E-01  4.910769874228E-02 -7.514461016590E-02  2.603691142248E-02 -1.757386144337E-01 -3.811621613105E-03  7.899144135548E-05 -1.280755260010E-05 -1.590631378372E-06  5.202713760636E+00 -7.899144088712E-05  1.366209201273E-01  7.685532322283E-20  3.499728241274E-20  3.733425507261E-20 -1.006764673825E-02
  4.091374634275E+00  4.383615834630E+00  6.893429200579E+00 -6.201732564857E-15 -1.930285235504E-01  4.814558170644E+01  1.716286817505E-01  2.979414553440E-01 -1.578800648141E-01 -2.058385919882E-03 -1.337018088694E+00  3.542533658112E-01  4.273397481906E-02 -6.848376438316E-02  2.574978956454E-02 -1.476175805294E-01 -8.767482181566E-04  4.716945953825E-05 -1.011772562427E-06 -3.426251549980E-06  4.454548960975E+00 -4.716945822822E-05  9.887835265482E-02  1.165630454318E-19  6.392521680281E-20 -7.723622507935E-20 -8.486059548674E-03
  4.675857034986E+00  4.968097497391E+00  7.043166336479E+00 -1.875847635319E-16 -1.886971570897E-01  5.020146652873E+01  1.738791334136E-01  2.869386170929E-01 -1.545882932186E-01 -2.199613126460E-03 -1.334307425328E+00  3.368619017290E-01  3.705232604157E-02 -6.276775338349E-02  2.571542734284E-02 -1.243704737495E-01 -2.000662374641E-03  1.604542605986E-05  1.568181086750E-06 -5.301401462441E-06  3.909055803222E+00 -1.604542424291E-05  1.389129534432E-01  1.480342940402E-19 -1.139911198244E-19 -1.498736701247E-19 -7.293814693787E-03
