                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -5.844822281166E-01 -2.922411140583E-01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00 -8.492673877124E-03  1.500333084057E-02  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.922411140583E-01  4.390035640603E+00 -1.934090342591E-14 -1.550909967426E+01  1.996974991972E+01  4.386182029797E-02  2.417085669945E+02 -6.378536571067E-02 -3.402908716684E-03 -6.839777884674E+01  6.483797754156E-03  3.176226795784E-05  2.053071002548E-05 -5.229297798788E-05 -9.254970505345E-02  1.578435364647E-01  2.429460231210E-03 -2.264517595141E-04 -1.767913576099E-04  1.382615114729E+02 -2.429460232260E-03 -4.257720053527E+02  3.657943333468E-20 -7.966914955385E-21  9.636935325160E-19 -7.311882412880E-03
  5.844822281166E-01  8.767233554515E-01  5.711313225474E+00 -1.643198899714E-14 -1.559919463757E+01  3.397455186688E+01  1.596317112951E-01  2.440214774789E+02 -1.840377175118E-01 -3.096262395055E-03 -8.921039225113E+01  2.419136302298E-02  1.116914828864E-02 -1.244832791238E-03 -9.924315497387E-03 -3.732336901750E-02  3.149218671976E-03 -1.337598272155E-03 -2.961648712174E-04  2.960524083904E-04  2.342869092170E+01  1.337598273369E-03 -1.726482171994E+00 -1.649900059385E-19  2.758256968952E-21  2.690438676679E-19 -4.218855813753E-02
  1.168964482786E+00  1.461205623082E+00  6.101867286309E+00  4.106137606862E-15 -1.563425306646E+01  3.822777518996E+01  1.798938239599E-01  2.449726998120E+02 -1.512344581268E-01 -2.863309499778E-03 -9.547121336548E+01  2.003122829496E-02  4.145488293114E-03 -1.959607269998E-04 -3.949527566102E-03 -2.116508561893E-02  9.607172881258E-04 -4.716325978330E-04 -9.031231618194E-05  8.427377154242E-05  1.168896529305E+01  4.716325977400E-04 -5.827078209246E-01 -7.178983488296E-21 -5.638907809334E-21  1.287984520638E-19 -2.124555423482E-02
  1.753446763377E+00  2.045687167303E+00  6.565358494827E+00  2.137754420947E-15 -1.564171076397E+01  4.409537391102E+01  1.859646725070E-01  2.451621707302E+02 -1.649144734615E-01 -2.688568669773E-03 -1.027443770203E+02  1.860307679318E-02  4.015408282368E-03 -7.956665385251E-04 -3.219741743842E-03 -2.043055686990E-02  2.440652489268E-04 -2.155232317982E-04 -2.590324306863E-05 -4.718136820760E-05  1.045756545993E+01  2.155232317800E-04 -1.537399891082E-01  4.479859775870E-20  3.072711119644E-20 -4.710273372293E-19 -1.743193874152E-02
  2.337927571228E+00  2.630168736496E+00  6.865829413086E+00  1.633345858927E-15 -1.564541252798E+01  4.804235440674E+01  1.946980642051E-01  2.452462453117E+02 -1.589604878597E-01 -2.150540459021E-03 -1.074596881668E+02  1.659584447485E-02  2.904178549124E-03 -7.145074242681E-04 -2.189671124853E-03 -1.357799761107E-02  1.288466296771E-04 -2.317312443858E-04 -3.529408445322E-06 -1.683841330257E-06  7.843464163305E+00  2.317312443751E-04 -2.143357733272E-02 -3.275989072770E-21  4.527230497525E-20  9.784041436961E-19 -1.255258808755E-02
  2.922409901764E+00  3.214651079044E+00  7.138348692712E+00 -2.384676457188E-15 -1.564314207850E+01  5.181417615133E+01  2.027362889374E-01  2.451584042360E+02 -1.598076651275E-01 -2.147403380689E-03 -1.117004891962E+02  1.550293612161E-02  2.463606805478E-03 -7.655808779075E-04 -1.698025927574E-03 -1.134217812909E-02  1.580175109265E-06 -1.651559484395E-04  2.939249601367E-06  7.433015733095E-05  6.725821782481E+00  1.651559482315E-04  5.319238911879E-02  1.151284596196E-20 -1.828365851383E-20  1.501557436595E-20 -1.033244130730E-02
  3.506892256323E+00  3.799133445299E+00  7.357230402490E+00 -3.191723998859E-15 -1.564145786964E+01  5.493245450446E+01  2.089314263936E-01  2.450858981963E+02 -1.556454125017E-01 -2.085795164169E-03 -1.151069546040E+02  1.448599752065E-02  1.984042701980E-03 -6.531724178094E-04 -1.330870284174E-03 -9.056658864440E-03  2.551964374468E-05 -8.851693622039E-05  2.304808971010E-06  6.758474945201E-05  5.694734677822E+00  8.851693638444E-05  5.533185734598E-02 -5.182414419123E-20 -3.194421789313E-20  7.159651250763E-19 -8.510667443426E-03
  4.091374634275E+00  4.383615834630E+00  7.554417292280E+00 -3.925365161050E-15 -1.563909975966E+01  5.783384133317E+01  2.124041607166E-01  2.449927110055E+02 -1.532071179270E-01 -2.000649127418E-03 -1.181695256546E+02  1.374191145572E-02  1.712119746899E-03 -6.041366726556E-04 -1.107983074245E-03 -7.232923920808E-03  6.505050540433E-06 -5.254211648174E-05  7.061117769599E-06  2.151954456019E-06  5.056918008222E+00  5.254211628194E-05  7.749423628644E-02  4.285241546695E-20  2.433733234004E-20  1.021641687083E-18 -7.357922459957E-03
  4.675857034986E+00  4.968097497391E+00  7.726650615995E+00 -1.252065836182E-15 -1.563580863739E+01  6.042800137956E+01  2.135437755559E-01  2.448718744302E+02 -1.490904640261E-01 -2.028799218921E-03 -1.208336126081E+02  1.309933791441E-02  1.511356772016E-03 -5.538415888960E-04 -9.575151831185E-04 -6.752180796074E-03 -5.736943502659E-06  7.364076808704E-05  1.353610565132E-05 -3.353664014832E-05  4.546424126656E+00 -7.364076773628E-05  7.068694947592E-02 -9.694615613873E-21 -1.128313289966E-20 -3.664778741480E-19 -6.455475288178E-03
  5.260337959797E+00  5.552579181964E+00  7.886564778505E+00  4.019336322009E-15 -1.563399521770E+01  6.289331611566E+01  2.128284740694E-01  2.447991164387E+02 -1.456866812508E-01 -1.951688865094E-03 -1.233153956744E+02  1.254496350886E-02  1.357553593272E-03 -5.132039323970E-04 -8.443496608744E-04 -6.060587528785E-03  2.839996031076E-05  9.379478748453E-05  1.286381260535E-05  1.037122342930E-05  4.184095624908E+00 -9.379478754313E-05  4.308544155313E-02  3.774945622703E-21  1.039599460984E-20 -1.322562605903E-18 -5.792028044763E-03
  5.844820404131E+00  6.137061636729E+00  8.032394239010E+00 -5.689719175312E-17 -1.563269533292E+01  6.518556115529E+01  2.109123484807E-01  2.447429717469E+02 -1.415043655784E-01 -2.031068039088E-03 -1.255803508524E+02  1.202879070929E-02  1.211806190286E-03 -4.476193978387E-04 -7.641867924455E-04 -5.422634236841E-03  4.745081128772E-05  2.478644875671E-05  7.400220291638E-06  3.606055043157E-05  3.839752040126E+00 -2.478644891969E-05  3.240209601826E-02  9.531266859460E-21 -2.870471736232E-20  1.384120819437E-19 -5.196985414565E-03
