                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -5.844822281166E-01 -2.922411140583E-01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
 -4.247486258811E-17  2.922411140583E-01  7.016206061647E+00 -8.535108346150E-14 -1.509413415137E-01  5.013259020795E+01  3.790555944160E-02  3.606158947702E-01 -8.064766097306E-02 -1.512406177539E-03 -1.060909152021E+00  9.436960872656E-02  1.517066991870E-04  2.919106271194E-03 -3.070812969901E-03 -2.302068620769E+00  2.628475855725E-02 -5.676053035688E-04 -2.638942467987E-04  1.324800591592E-04  2.074539814294E+02  5.676052999221E-04 -4.548701867828E+00  9.184794444639E-20 -5.031075772286E-20  1.745329625654E-20 -5.374384100166E-03
  5.844822281166E-01  8.767233554515E-01  8.140495377002E+00 -7.541718874207E-14 -1.813660878336E-01  6.728248989991E+01  1.277875749273E-01  3.705875173507E-01 -1.648472333215E-01 -2.552881331084E-04 -1.485197551123E+00  4.037493652436E-01  1.640629113817E-01 -2.337304679105E-02 -1.406898645909E-01 -5.566926214123E-01  4.028769312271E-02  3.307306999122E-04 -3.760055000039E-04  2.835112301300E-05  2.168609384042E+01 -3.307306949038E-04 -3.484058205895E-01  1.070942492542E-19  3.837536512265E-20 -5.132622352689E-20 -4.202631870615E-02
  1.168964482786E+00  1.461205623082E+00  8.600509883044E+00 -3.381907938231E-15 -1.763882624556E-01  7.485612350333E+01  1.375921940301E-01  3.365974543352E-01 -1.561332814609E-01 -5.063428415601E-04 -1.522588987254E+00  3.464392392342E-01  7.440509759661E-02 -2.240859599595E-02 -5.199650160116E-02 -3.919664144984E-01 -1.101550708884E-02  1.158459336011E-04 -1.659618338880E-04  1.519563413575E-05  1.226410095127E+01 -1.158459353207E-04  1.591066768100E-01  2.132676694694E-19  8.501206272860E-20 -1.755102954949E-19 -2.259274973445E-02
  1.753446763377E+00  2.045687167303E+00  9.036499972142E+00 -1.153529516117E-14 -1.697860232489E-01  8.253382585917E+01  1.472657491666E-01  3.233235589448E-01 -1.632335267605E-01 -1.348412797497E-04 -1.541010850864E+00  3.201353351163E-01  6.141994019847E-02 -2.565661789813E-02 -3.576332229919E-02 -3.358557233447E-01 -2.826729358432E-03 -6.148731228754E-05 -7.957165003108E-05  4.125217544163E-05  1.013796291043E+01  6.148731279392E-05  1.495216236133E-01 -7.868229507921E-20 -6.509254650394E-20  4.838047763798E-20 -1.770247116366E-02
  2.337927571228E+00  2.630168736496E+00  9.341153185280E+00 -1.881969179256E-15 -1.654756429386E-01  8.807436743844E+01  1.581794999628E-01  3.122972287292E-01 -1.607869164570E-01 -3.751539905820E-04 -1.552885335182E+00  2.878418358132E-01  4.281012244409E-02 -2.554808129654E-02 -1.726204114827E-02 -2.297727838456E-01 -1.346548403563E-03  1.463197890370E-05 -3.214008985113E-05  2.464541481651E-05  7.604053503388E+00 -1.463197898954E-05  8.567104667843E-02  4.911781020155E-20 -1.500221008660E-20  1.599657143385E-19 -1.265624952400E-02
  2.922409901764E+00  3.214651079044E+00  9.592074942017E+00 -1.416609896737E-14 -1.635232855535E-01  9.278608491098E+01  1.674380500591E-01  3.056104565052E-01 -1.601640697673E-01 -3.977506162616E-04 -1.575986585390E+00  2.674573747663E-01  3.327911267569E-02 -2.511343573543E-02 -8.165676941080E-03 -1.789315906048E-01  2.194777447501E-04  6.118128033259E-05 -5.811286978981E-06  1.107458906637E-05  6.193525538893E+00 -6.118128056903E-05  4.450924796173E-02  1.433138032504E-19  2.176069464847E-20  1.197861693327E-20 -9.933487422756E-03
  3.506892256323E+00  3.799133445299E+00  9.793724528124E+00 -3.245963716809E-15 -1.622138944771E-01  9.665085648299E+01  1.745207499001E-01  2.991227728272E-01 -1.569331171040E-01 -4.967466099949E-04 -1.593868964136E+00  2.507327928866E-01  2.595314378276E-02 -2.278704460197E-02 -3.166099181586E-03 -1.412604011486E-01  5.100379954391E-05  5.634690669340E-05 -3.380339253643E-06  9.185782825244E-06  5.160340805212E+00 -5.634690561414E-05  1.482477646615E-02 -2.697882755399E-19 -3.382120328206E-20  1.358194355178E-19 -8.122573588316E-03
  4.091374634275E+00  4.383615834630E+00  9.969099628217E+00 -6.928308643648E-15 -1.624173712471E-01  1.000819213384E+02  1.794133494218E-01  2.922952680704E-01 -1.542845151064E-01 -5.126381244077E-04 -1.621662914902E+00  2.382656121327E-01  2.096072801377E-02 -2.046972695528E-02 -4.910010585087E-04 -1.192695285282E-01  6.686351471787E-04 -6.290306343930E-06 -1.424534885060E-05  2.147933090488E-06  4.494734661583E+00  6.290305386712E-06  3.860390690735E-02  3.945102283286E-21  6.783761523581E-20 -4.279441273851E-20 -6.920172836917E-03
  4.675857034986E+00  4.968097497391E+00  1.012212579444E+01 -8.688915531462E-16 -1.593983433898E-01  1.031208650891E+02  1.825687024114E-01  2.857020133733E-01 -1.505899405147E-01 -3.805556435471E-04 -1.615835049435E+00  2.265915348516E-01  1.733266527422E-02 -1.863158943969E-02  1.298924165518E-03 -1.025655712535E-01 -1.066474066724E-03 -2.144561534833E-05 -1.298883167150E-05  5.102461500634E-06  3.948945121966E+00  2.144561701184E-05  4.062713695888E-02 -9.773173769278E-20 -2.321357120431E-20 -1.133695064059E-19 -5.958332917494E-03
