                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -1.419929989891E+00 -7.099649949455E-01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
 -6.596869955517E-16  7.099649949455E-01  8.440945405997E+00 -5.311080517783E-14 -8.392771973844E-02  7.233648273864E+01  4.229713548476E-02  3.873139300510E-01 -8.873197112365E-02 -1.109955065733E-03 -7.120701530289E-01  2.145062892126E-01  9.870768940247E-05  2.593613224224E-03 -2.692320913409E-03 -2.589988881015E+00  1.448182011795E-02 -5.041558261846E-04 -1.353584502973E-04 -8.309850946703E-06  1.011604081059E+02  5.041558253490E-04 -1.006291537633E+00 -3.859940135885E-20 -1.833081464313E-20 -6.668381564458E-20 -4.788673666244E-03
  1.419929989891E+00  2.129892511783E+00  9.514154137827E+00 -4.288018649856E-14 -9.468530135947E-02  9.165770073473E+01  1.429156356761E-01  3.880772255849E-01 -1.767614919468E-01 -9.863647696879E-04 -9.069554210518E-01  9.860262219794E-01  1.560499754222E-01 -1.958467345636E-02 -1.364653019667E-01 -5.362969704812E-01  3.116903143921E-02  2.418320506112E-04 -1.855327900105E-04  1.535570669931E-05  8.664640853578E+00 -2.418320492517E-04 -3.291642419047E-02  2.376601600649E-22  1.929582302514E-20  1.627072205844E-20 -4.166800620439E-02
  2.839855033675E+00  3.549820075530E+00  9.978799337052E+00  6.005184037110E-15 -8.976263570511E-02  1.005963734254E+02  1.541399055658E-01  3.545139816955E-01 -1.695324862109E-01 -1.050678023557E-03 -8.988179267738E-01  8.529061544140E-01  7.221291979881E-02 -1.887395307202E-02 -5.333896672782E-02 -4.053608389367E-01 -1.129082484404E-02  1.578447343720E-04 -6.587834920224E-05  1.350700491094E-05  5.057044623421E+00 -1.578447348112E-04  4.871460387527E-02 -1.015876938241E-20 -3.630381183477E-20  8.185014684116E-21 -2.332971014133E-02
  4.259785117385E+00  4.969747685371E+00  1.041175027584E+01  1.230381191523E-14 -8.604192683223E-02  1.094233004860E+02  1.662782035569E-01  3.496149457021E-01 -1.778562770150E-01 -7.898824162149E-04 -8.998461379140E-01  7.886811140886E-01  5.967057483311E-02 -2.387498487801E-02 -3.579558995548E-02 -3.436888111761E-01 -2.146296686958E-03  5.817826134436E-05 -2.009944883737E-05  4.417643102904E-07  4.168466812406E+00 -5.817826090187E-05  3.660412892146E-02  4.585255326793E-20  6.035635157242E-21 -3.855236409335E-20 -1.824266831592E-02
  5.679710253357E+00  6.389675340489E+00  1.071867001908E+01  2.982951535231E-14 -8.326983599097E-02  1.158670517384E+02  1.797790767218E-01  3.429835830429E-01 -1.763268201180E-01 -9.396659504803E-04 -8.967705992428E-01  7.155654273929E-01  4.188839934716E-02 -2.372276808279E-02 -1.816563126499E-02 -2.396790882066E-01 -1.232079518539E-03  2.734332187331E-05 -3.598274752234E-06  1.409533188093E-05  3.199831509151E+00 -2.734332202646E-05  2.732575493480E-02  4.867401102923E-20 -1.416934742094E-20 -5.071271549619E-20 -1.341006647840E-02
  7.099640427622E+00  7.809605536782E+00  1.097969449716E+01  2.929928363288E-14 -8.119011259277E-02  1.215067907093E+02  1.907649812612E-01  3.365774744361E-01 -1.771263486235E-01 -9.434562019044E-04 -8.961160504005E-01  6.684421291262E-01  3.274284841701E-02 -2.291736651125E-02 -9.825481905314E-03 -1.929452851606E-01 -6.167600693257E-04  2.780740317009E-06  4.173033895927E-06  1.312015911368E-05  2.649868704201E+00 -2.780739910996E-06  2.918511460586E-02  5.385135553384E-20 -3.805443416536E-20 -3.316177624796E-20 -1.078220810408E-02
  8.519570645942E+00  9.229533280009E+00  1.118899848829E+01  4.367321635072E-14 -7.808462568647E-02  1.261180178878E+02  1.985224754067E-01  3.272190936377E-01 -1.751744159553E-01 -8.796716852203E-04 -8.802143831430E-01  6.279522401158E-01  2.521690769328E-02 -2.133427543630E-02 -3.882632257010E-03 -1.532335347244E-01 -8.631250486687E-04  2.041855431025E-05  1.099076886215E-05  4.215597573936E-06  2.215641089400E+00 -2.041855377430E-05  4.038954257343E-02 -3.281497397047E-20  2.726250079936E-20  1.813244654458E-20 -8.829977938455E-03
  9.939495914075E+00  1.064946106607E+01  1.137295151091E+01  4.822650320314E-14 -7.402036214243E-02  1.302432042313E+02  2.034495379126E-01  3.183500813446E-01 -1.735849146950E-01 -9.417046122286E-04 -8.500171674518E-01  5.978345752573E-01  2.068319522761E-02 -1.983844069863E-02 -8.447545289580E-04 -1.308298710512E-01 -1.557178945066E-03  1.863869394303E-05  1.385296133135E-05 -5.451612768192E-06  1.951832930266E+00 -1.863869354023E-05  3.617288904729E-02 -3.814730773472E-20  9.366550342596E-21 -3.724264153751E-20 -7.629730617968E-03
  1.135942621806E+01  1.206938889414E+01  1.153543513595E+01  6.134229493720E-14 -7.166609521683E-02  1.339425734280E+02  2.062430655512E-01  3.092305175780E-01 -1.710477203577E-01 -8.988835671325E-04 -8.344360385134E-01  5.716912485362E-01  1.729195665912E-02 -1.775892674291E-02  4.669700836263E-04 -1.138552889657E-01 -7.814568278942E-04 -7.647188368946E-06  8.584145629969E-06 -3.237821106026E-06  1.745900444733E+00  7.647189218538E-06  2.823428091419E-02 -1.488840943000E-20 -1.526348020141E-20 -1.727806670278E-21 -6.722248964323E-03
  1.277935157022E+01  1.348931676341E+01  1.168283245348E+01  7.321706872322E-14 -6.901017047389E-02  1.373468756986E+02  2.072706089647E-01  3.008225547118E-01 -1.685548238591E-01 -8.945235303143E-04 -8.111163340287E-01  5.485232767871E-01  1.478753660164E-02 -1.639036637971E-02  1.602829778075E-03 -1.013729584349E-01 -6.281263226098E-04 -2.273908094282E-05  3.477981871615E-06 -6.613426002194E-06  1.589766213779E+00  2.273908130275E-05  2.390746176194E-02  4.939910019046E-20  8.790676614898E-22  6.570753748210E-21 -5.995804565229E-03
  1.419928195660E+01  1.490924716977E+01  1.181760331156E+01  6.073988460881E-14 -6.742411768509E-02  1.404994633674E+02  2.067614866398E-01  2.917943183237E-01 -1.656576412856E-01 -1.027413986273E-03 -7.971095132396E-01  5.279651228012E-01  1.260875120053E-02 -1.515548278155E-02  2.546731580938E-03 -9.080909849187E-02 -3.036815963102E-04 -2.736876488287E-06  1.884200442847E-06 -1.036968178133E-05  1.468759640003E+00  2.736876994956E-06  1.283271863276E-02  4.420226336264E-20  3.103294528393E-20 -7.853394360191E-21 -5.418243002397E-03
  1.561921238295E+01  1.632917511899E+01  1.194352551391E+01  6.830641018017E-14 -6.673310766066E-02  1.434807661472E+02  2.051371095797E-01  2.828286376004E-01 -1.628291167097E-01 -9.108344250354E-04 -7.935249799369E-01  5.098105192821E-01  1.084510059505E-02 -1.366284428234E-02  2.817743687379E-03 -8.277593242199E-02  2.166851850282E-04  5.144235088966E-06 -2.056933924560E-06 -1.401409236246E-05  1.365768856174E+00 -5.144234263499E-06  1.081490389481E-02  9.254898699688E-20 -3.742588610709E-20  2.290088672436E-20 -4.947436484639E-03
  1.703913785504E+01  1.774910310696E+01  1.206001547567E+01  8.098332846196E-14 -6.550552141182E-02  1.462676312368E+02  2.028076051304E-01  2.742692306250E-01 -1.596824888383E-01 -1.004159333193E-03 -7.836207323423E-01  4.919027870730E-01  9.513517829365E-03 -1.258515780334E-02  3.071639973992E-03 -7.546711862985E-02 -2.177571625420E-05  3.199588699687E-06 -8.151460734493E-06 -2.855150512527E-05  1.268021993719E+00 -3.199587901483E-06  1.364559592590E-02  2.899329413342E-20  3.658753278926E-22 -1.012750974250E-20 -4.508980255099E-03
  1.845906835889E+01  1.916903113287E+01  1.216858686548E+01  8.567256733835E-14 -6.431129866831E-02  1.488919054093E+02  1.999107107108E-01  2.647504299615E-01 -1.566789515088E-01 -8.785436559820E-04 -7.737941079837E-01  4.757668722501E-01  8.298485714208E-03 -1.170322443832E-02  3.404738724130E-03 -6.897042565432E-02 -1.037228859654E-04 -1.116062826964E-07 -1.044260006716E-05 -2.694098274409E-05  1.183051588746E+00  1.116067966330E-07  1.088241491915E-02 -1.614121902238E-20 -6.986938530019E-20 -4.421740662512E-20 -4.130219048775E-03
  1.987899390685E+01  2.058895919590E+01  1.226999541863E+01  9.037494411926E-14 -6.357391396949E-02  1.513643412875E+02  1.964085764920E-01  2.552350268005E-01 -1.534385682640E-01 -9.518528126033E-04 -7.700673003592E-01  4.602324358917E-01  7.336794066803E-03 -1.097672595664E-02  3.639931889530E-03 -6.316713511674E-02  2.289866707802E-04 -6.595745455209E-07 -1.105021842767E-05 -1.206253256649E-05  1.103277515702E+00  6.595749928094E-07  4.904748046684E-03 -5.168898204708E-20  1.034208347927E-20  3.696906056184E-20 -3.778067974121E-03
  2.129892448495E+01  2.200888729523E+01  1.236440950166E+01  9.251100843694E-14 -6.344102046123E-02  1.536847409754E+02  1.921606535471E-01  2.451642603575E-01 -1.501674185990E-01 -8.853229134540E-04 -7.741214608478E-01  4.469359287390E-01  6.334720644954E-03 -1.019920806553E-02  3.864487420508E-03 -5.786559234711E-02  5.305384795296E-04  1.201420461946E-05 -1.281026270105E-05 -2.308204108807E-06  1.031929215406E+00 -1.201420396734E-05  1.491213347703E-04 -7.463240703346E-20 -2.826922467642E-20 -7.925588044815E-21 -3.473405298223E-03
  2.271885010551E+01  2.342881543005E+01  1.245315320924E+01  9.667174504161E-14 -6.354616949502E-02  1.558829685295E+02  1.874715037847E-01  2.357745299300E-01 -1.468853737631E-01 -8.288065925883E-04 -7.811495508668E-01  4.331841152634E-01  5.586957076021E-03 -9.516312949021E-03  3.929355873062E-03 -5.328293664126E-02  5.778653488785E-04  2.583977735028E-06 -1.440887534426E-05  4.688726435182E-06  9.691425325613E-01 -2.583977258281E-06 -6.423640146280E-03 -3.885940041831E-20  5.618150956846E-21  3.375283065067E-20 -3.206906093902E-03
  2.413878075458E+01  2.484874609625E+01  1.253642253646E+01  1.021267162210E-13 -6.457973899750E-02  1.579609425799E+02  1.827946255645E-01  2.276516454270E-01 -1.436232559843E-01 -8.140167588209E-04 -7.987876292141E-01  4.204466020902E-01  5.076832878761E-03 -8.830026908073E-03  3.753194029275E-03 -4.940905517979E-02  7.152181373895E-04  1.639265411364E-06 -1.262797301904E-05  7.777834090105E-06  9.169588036365E-01 -1.639265211277E-06 -1.108640008147E-02 -4.330470478769E-20  1.732881858248E-20  1.456852787146E-20 -2.982559499297E-03
  2.555871143792E+01  2.626867429960E+01  1.261590497332E+01  1.045200382868E-13 -6.551390483005E-02  1.599564979427E+02  1.782612762688E-01  2.190913261273E-01 -1.402535249253E-01 -7.437430531679E-04 -8.147523542040E-01  4.090816413177E-01  4.585912448588E-03 -8.299401801557E-03  3.713489352911E-03 -4.597200498086E-02  5.988647889359E-04 -5.142207553942E-06 -9.649343461590E-06  9.330309963812E-06  8.703711262229E-01  5.142207591721E-06 -1.059491245606E-02  6.252922046586E-21  6.003738497700E-22 -1.752504792635E-20 -2.763922702103E-03
  2.697863716127E+01  2.768860253598E+01  1.269090583697E+01  1.039639793284E-13 -6.645990961994E-02  1.618535477260E+02  1.739088686393E-01  2.103026018516E-01 -1.370205115043E-01 -7.842816072675E-04 -8.306970879697E-01  3.964111817317E-01  4.009430956704E-03 -7.723010145711E-03  3.713579188994E-03 -4.244026691937E-02  6.665527227069E-04 -8.242648409185E-06 -7.926481557658E-06  8.599902047935E-06  8.154320068420E-01  8.242648408179E-06 -1.298308240960E-02 -3.225370158341E-20  2.806245815144E-20 -3.526536592877E-20 -2.537423362228E-03
  2.839856791069E+01  2.910853080460E+01  1.276063694933E+01  1.004730419131E-13 -6.781766062339E-02  1.636244553428E+02  1.696837289361E-01  2.031545166798E-01 -1.336826285387E-01 -7.568760175454E-04 -8.524998788994E-01  3.843226496708E-01  3.507549026197E-03 -7.337260816031E-03  3.829711789803E-03 -3.875380196295E-02  7.319807386475E-04 -3.990221426389E-06 -5.836106200556E-06 -1.529690497088E-06  7.632178902959E-01  3.990221367469E-06 -1.523833205970E-02 -6.769764938316E-20 -4.136142909281E-20 -8.277393070676E-20 -2.323150844876E-03
  2.981849369850E+01  3.052845910462E+01  1.282637026887E+01  9.713702714815E-14 -6.916559593363E-02  1.653019338905E+02  1.655254205846E-01  1.965803689494E-01 -1.304194387460E-01 -7.243707027921E-04 -8.746998575603E-01  3.730428549132E-01  3.211668200690E-03 -7.065330318868E-03  3.853662118156E-03 -3.566320480467E-02  7.140513201991E-04 -4.337257279348E-06 -4.576783153308E-06 -1.720244613036E-06  7.229918611415E-01  4.337257279470E-06 -1.782716411552E-02  3.530558228910E-20 -4.146559558521E-20 -2.794806367456E-20 -2.148449475844E-03
  3.123842451073E+01  3.194838993194E+01  1.288896191505E+01  9.949372929957E-14 -7.098346838062E-02  1.669085741065E+02  1.613824318740E-01  1.893961701672E-01 -1.270394155403E-01 -7.046986967034E-04 -9.036104493472E-01  3.633099505633E-01  3.007578140266E-03 -6.632365296432E-03  3.624787155999E-03 -3.317548364861E-02  9.369787254657E-04 -2.554052858538E-07 -3.736648349709E-06  1.339250360506E-06  6.885802582605E-01  2.554053541609E-07 -1.598855303690E-02 -4.151505990727E-20 -4.988948852967E-20 -3.475581391985E-20 -2.015031014708E-03
