                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -1.419929989891E+00 -7.099649949455E-01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
 -6.596869955517E-16  7.099649949455E-01  8.765169669347E+00  2.202691338703E-15 -1.132750361426E-01  7.792021348884E+01  4.305237024820E-02  4.005073529334E-01 -8.884686559364E-02 -1.366288897112E-03 -9.982265311302E-01  1.976486749790E-01  5.004202585996E-04  1.969608272478E-03 -2.470028531051E-03 -2.471073216121E+00  1.738614831173E-02 -9.675832695001E-04  2.273969286391E-05  1.361999155998E-05  1.045571877016E+02  9.675832695500E-04 -1.361871992647E+00 -3.060647045752E-20  2.148672814194E-20  1.001015716408E-19 -4.263757901316E-03
  1.419929989891E+00  2.129892511783E+00  9.792816917723E+00  4.099286146093E-15 -1.284661332786E-01  9.700838429703E+01  1.452049917276E-01  3.909539087737E-01 -1.761456228960E-01 -7.417230528478E-04 -1.266969678304E+00  9.722607833662E-01  1.473815948743E-01 -1.982885628564E-02 -1.275527385881E-01 -5.048659861965E-01  3.080762167413E-02  4.587559049019E-04  2.566281809944E-05 -7.080645438219E-06  8.382827740488E+00 -4.587559049088E-04 -5.332744094827E-02  6.484053377806E-20  1.059173492491E-20 -7.531374002996E-20 -3.992738493320E-02
  2.839855033675E+00  3.549820075530E+00  1.025304443245E+01  4.922016897527E-15 -1.227312044133E-01  1.061195907808E+02  1.549876201731E-01  3.582080207356E-01 -1.684738256657E-01 -1.063946313550E-03 -1.263549901828E+00  8.502953257718E-01  7.113363163186E-02 -1.855415450811E-02 -5.257947712461E-02 -3.985068704775E-01 -1.074784725847E-02  3.178524236756E-04  4.891254998529E-06 -2.688795028989E-06  5.009681104194E+00 -3.178524236502E-04  5.665403893036E-02 -5.462431447696E-20  2.344842356749E-20 -7.114139181189E-20 -2.310468055794E-02
  4.259785117385E+00  4.969747685371E+00  1.068198786257E+01  7.162357791945E-15 -1.184041419382E-01  1.150969936877E+02  1.658120017559E-01  3.519384701550E-01 -1.761310583097E-01 -1.056455578143E-03 -1.268521232003E+00  7.854497840274E-01  5.847860410103E-02 -2.337493616042E-02 -3.510366794090E-02 -3.399540121545E-01 -2.438140709310E-03  1.175278452328E-04  4.132981147674E-06  1.653826440688E-05  4.135090028893E+00 -1.175278452077E-04  3.685452947511E-02  4.185348770031E-20 -2.263667309646E-20 -2.677883119729E-20 -1.807044251144E-02
  5.679710253357E+00  6.389675340489E+00  1.098698555249E+01  1.001436335925E-14 -1.161824077586E-01  1.216681270021E+02  1.778251585570E-01  3.437144440319E-01 -1.746675136999E-01 -1.181044538076E-03 -1.279379077682E+00  7.128877778768E-01  4.079081405857E-02 -2.320113355458E-02 -1.758968050425E-02 -2.381470416047E-01 -1.089063857079E-03  4.821631938387E-05  3.308367434245E-06  1.160966897189E-05  3.176797807603E+00 -4.821631934477E-05  2.304141668013E-02 -4.631524881931E-20  8.861489134892E-21  2.460570298296E-20 -1.331859559178E-02
  7.099640427622E+00  7.809605536782E+00  1.124584262965E+01  1.326748346984E-14 -1.143104801292E-01  1.273981865162E+02  1.873677563674E-01  3.378350795286E-01 -1.749516522461E-01 -1.122611015723E-03 -1.288218469232E+00  6.676672500074E-01  3.219683992565E-02 -2.252563158360E-02 -9.671208341791E-03 -1.917609902251E-01 -7.155330920721E-04  2.397845602706E-05  1.267004780232E-06  1.273916609576E-05  2.661927720325E+00 -2.397845599292E-05  3.575154416791E-02 -3.776345091176E-20  1.167929617722E-20 -7.486136474495E-20 -1.081893565650E-02
  8.519570645942E+00  9.229533280009E+00  1.145945536917E+01  1.522572782329E-14 -1.098376062922E-01  1.322172564860E+02  1.940164338936E-01  3.291484076906E-01 -1.728726115674E-01 -1.210504195676E-03 -1.261062491507E+00  6.273483584277E-01  2.528251129595E-02 -2.085953063158E-02 -4.422980664538E-03 -1.554217629305E-01 -1.892650816119E-03  9.579572836858E-06 -2.661971679711E-06 -1.880529044799E-06  2.265763580902E+00 -9.579572826855E-06  4.335166565472E-02  5.428280830842E-20  2.402247768980E-20  8.598602185890E-21 -8.978283235856E-03
  9.939495914075E+00  1.064946106607E+01  1.164799454579E+01  1.710218987513E-14 -1.066193413623E-01  1.365500345203E+02  1.978377483577E-01  3.202566588740E-01 -1.710394725207E-01 -1.186071737135E-03 -1.243637122854E+00  5.949164060924E-01  2.088089272904E-02 -1.916694329960E-02 -1.713949428999E-03 -1.328365726136E-01 -1.108608218270E-03  2.783369868378E-06 -6.805908049457E-06 -1.161322956673E-05  1.991407238234E+00 -2.783369836085E-06  4.173597177537E-02  3.572523397802E-20  3.747998703748E-20 -2.032080300626E-20 -7.706805652830E-03
  1.135942621806E+01  1.206938889414E+01  1.181291264441E+01  1.883662750396E-14 -1.024343001084E-01  1.404016997134E+02  1.991943015926E-01  3.091081819942E-01 -1.684106701662E-01 -1.263447178135E-03 -1.211275547467E+00  5.670401907150E-01  1.748810513823E-02 -1.744038333769E-02 -4.772180026573E-05 -1.144228200294E-01 -1.236464862092E-03 -8.944967043379E-06 -1.033607078289E-05 -8.058073586651E-06  1.769146621751E+00  8.944967050068E-06  4.526806668041E-02 -3.261185496599E-20 -4.070445629272E-21  6.102634571803E-20 -6.729275113504E-03
  1.277935157022E+01  1.348931676341E+01  1.196199970091E+01  2.020649241141E-14 -9.858786917423E-02  1.439305493576E+02  1.985888265784E-01  2.979278673817E-01 -1.656978168042E-01 -1.181437401338E-03 -1.180885999938E+00  5.421124385019E-01  1.468296097461E-02 -1.612010777638E-02  1.437146801698E-03 -1.011619755023E-01 -1.335686627212E-03 -1.105337993395E-05 -9.308044913794E-06  2.970421979910E-06  1.593650638010E+00  1.105337995809E-05  5.808971068733E-02  4.168070862018E-20  3.100500419826E-21  1.627952340489E-20 -5.935660070485E-03
