                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -2.935484632180E-01 -1.467742316090E-01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00 -6.182364919997E-03  5.941966258541E-03  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  1.467742316090E-01  3.805104023194E+00  1.635153058961E-15 -4.843912644084E+00  1.557904434083E+01  6.146978736711E-02  4.458706524134E+01 -7.665432981573E-02 -5.723884149895E-02 -1.767001944519E+01  1.546295917721E-03  8.401181494225E-05  8.744038608523E-06 -9.275585355158E-05 -3.883360167229E-02  2.954841544439E-02 -5.454392518171E-03 -4.356288873896E-04 -5.276616470810E-04  3.020799543927E+02  5.454392518379E-03 -3.122678313409E+02 -9.171031147410E-21  7.604018181563E-20 -1.450256476505E-18 -2.907851415288E-03
  2.935484632180E-01  4.403227039908E-01  5.062296400541E+00  1.001884122540E-15 -4.324324972248E+00  2.690743750725E+01  2.017028705747E-01  3.651001307583E+01 -1.889663583021E-01 -1.100172146875E-01 -2.019169044965E+01  1.428973754291E-02  5.746799182027E-03 -2.786097014906E-03 -2.960702167130E-03 -3.274994928291E-02 -1.625171592380E-02  6.334139911430E-03 -2.387785299231E-04 -8.228702655556E-04  5.550265226661E+01 -6.334139911722E-03  2.703122339233E+01  1.773659041807E-19 -1.161686739905E-19 -1.053322045834E-18 -4.291999340238E-02
  5.870969447636E-01  7.338709231938E-01  5.434315312147E+00 -8.380205166955E-16 -4.049348189269E+00  3.064337110365E+01  2.032193828780E-01  3.290269764844E+01 -1.611518693498E-01 -1.049938896697E-01 -2.009906294849E+01  1.195287900527E-02  2.360658047470E-03 -2.008090424098E-03 -3.525676233862E-04 -2.128170957842E-02 -1.543098142257E-02 -9.480432105511E-05  4.764973378461E-04 -1.135072934974E-04  2.720363674541E+01  9.480432111848E-05  1.697666514701E+01  1.436092343712E-19  1.714510369457E-20 -1.135225863747E-18 -2.127865559208E-02
  8.806449016241E-01  1.027418888607E+00  5.860908863338E+00 -2.525513435533E-16 -3.825885449131E+00  3.547627460356E+01  2.094056597926E-01  3.007902108830E+01 -1.712340708943E-01 -1.061591336850E-01 -2.046100979762E+01  1.097852506296E-02  3.046182535045E-03 -2.459708774462E-03 -5.864737605657E-04 -2.052227721240E-02 -1.143237992326E-02 -9.236624343945E-04  3.744561606269E-04  2.199205966300E-04  2.413668735668E+01  9.236624344287E-04  1.306653083590E+01  6.945288856303E-20 -6.215760967138E-20 -5.753633163726E-19 -1.801152441469E-02
  1.174192875590E+00  1.320967142022E+00  6.142981866838E+00 -1.658930967856E-16 -3.665621771214E+00  3.883044136808E+01  2.214405899830E-01  2.816851298244E+01 -1.637537945388E-01 -1.033475580175E-01 -2.045792646888E+01  9.907952891176E-03  2.406394988055E-03 -2.365025369306E-03 -4.136961875069E-05 -1.395092942279E-02 -7.771014946465E-03  1.773960518591E-04  1.669203018335E-04  5.192973877230E-04  1.836025385618E+01 -1.773960518811E-04  9.831033605421E+00  1.099921676930E-19 -1.361565495586E-20  6.972375223975E-20 -1.310931652081E-02
  1.467741408453E+00  1.614515682827E+00  6.399922610920E+00  2.919180468099E-16 -3.536985479402E+00  4.203594424956E+01  2.308546822960E-01  2.665728181816E+01 -1.623659016157E-01 -1.005550505225E-01 -2.052714320307E+01  9.298682746958E-03  2.200754679382E-03 -2.251504421424E-03  5.074974205201E-05 -1.183773904273E-02 -6.014878705152E-03  5.324452305261E-04  1.202469038048E-04  3.552269482627E-04  1.588526031514E+01 -5.324452304394E-04  7.933219697171E+00 -8.984811424965E-20 -2.077918798514E-20 -9.141041982224E-19 -1.100672839035E-02
  1.761289957201E+00  1.908063968010E+00  6.609328122465E+00  3.418184517986E-16 -3.432569756843E+00  4.473843463947E+01  2.364202430856E-01  2.546609746541E+01 -1.564522374409E-01 -9.704433986453E-02 -2.052385986470E+01  8.737341951201E-03  1.870038893770E-03 -2.080952794296E-03  2.109139005344E-04 -8.264869209705E-03 -4.120760854255E-03  3.218329161334E-04  7.611927058351E-05  1.380317736155E-04  1.360919094969E+01 -3.218329162099E-04  6.682870182422E+00  1.118363951583E-19 -9.285411163853E-21 -7.587501924902E-19 -9.157152258320E-03
  2.054837978819E+00  2.201611996959E+00  6.799464414161E+00  3.505225623646E-16 -3.340838547844E+00  4.726885573501E+01  2.380596399909E-01  2.442247939917E+01 -1.520787240098E-01 -9.327146991686E-02 -2.052132109195E+01  8.310084564196E-03  1.627424697417E-03 -1.907241882680E-03  2.798171852667E-04 -8.393286366064E-03 -4.002463274116E-03 -8.285485872931E-04  3.076009430665E-05 -2.067649151507E-04  1.209893624312E+01  8.285485873563E-04  5.962808356786E+00 -6.268115958413E-20 -4.989104346212E-21 -8.535766973091E-19 -7.953003376546E-03
  2.348386015099E+00  2.495160311466E+00  6.964409484086E+00  3.827809651278E-16 -3.257577824560E+00  4.952280868618E+01  2.363973394132E-01  2.351287752783E+01 -1.459730702549E-01 -8.937951770098E-02 -2.045998592853E+01  7.925813712059E-03  1.420728949161E-03 -1.744353731148E-03  3.236247819925E-04 -7.194959566713E-03 -3.450161226569E-03 -6.195139442346E-05 -6.735549099914E-06 -4.164329767206E-04  1.077809004544E+01  6.195139437148E-05  5.337368803087E+00 -1.089529392080E-19  2.039557397090E-20 -5.015276215838E-19 -6.904751402366E-03
  2.641934607833E+00  2.788708910920E+00  7.115714415585E+00 -2.335100428991E-16 -3.184180012219E+00  5.164268462449E+01  2.327925755404E-01  2.271699970833E+01 -1.407240344136E-01 -8.533983949878E-02 -2.040097551476E+01  7.578536362860E-03  1.255596629199E-03 -1.598191828338E-03  3.425951991261E-04 -6.398412242067E-03 -2.979212273253E-03 -5.385307835009E-04  7.596661445136E-07  2.470284768144E-05  9.887833660692E+00  5.385307834629E-04  4.786400111435E+00 -2.621587395253E-20  1.324145129932E-19 -1.327102915119E-18 -6.151674583361E-03
  2.935483214007E+00  3.082257252307E+00  7.254651792100E+00 -1.567341295270E-16 -3.117091434631E+00  5.362536887452E+01  2.281322692657E-01  2.199055153109E+01 -1.344185882361E-01 -8.147324399863E-02 -2.033774998183E+01  7.258600069068E-03  1.113799231687E-03 -1.425081191744E-03  3.112819600628E-04 -5.744031562754E-03 -2.625932243084E-03  1.710848100397E-04  2.866017856957E-05 -1.550887310053E-05  9.170678651521E+00 -1.710848099934E-04  4.347998209314E+00  1.869504407945E-20  1.294581598803E-19 -8.037277959896E-19 -5.568208417362E-03
  3.229031290608E+00  3.375805335017E+00  7.384964317496E+00 -1.813819412591E-16 -3.056559434946E+00  5.552339434760E+01  2.223956126138E-01  2.133298267560E+01 -1.286844033591E-01 -7.733979176798E-02 -2.027710246949E+01  6.956133266578E-03  1.022960135988E-03 -1.309514180508E-03  2.865540445197E-04 -5.222766022016E-03 -2.329192905747E-03  6.110201053494E-06  4.479858636883E-05 -2.047589956486E-04  8.534893118581E+00 -6.110201104965E-06  3.982508824234E+00  9.513320303487E-20  2.926103091583E-20 -1.770590186307E-18 -5.037126201144E-03
  3.522579379427E+00  3.669353700842E+00  7.505203237092E+00 -3.420395273978E-16 -3.000217437698E+00  5.730519795459E+01  2.157630859378E-01  2.071561043746E+01 -1.222056000413E-01 -7.325522001889E-02 -2.020192538729E+01  6.667885832008E-03  9.385177630442E-04 -1.209579345121E-03  2.710615820766E-04 -4.713711632285E-03 -2.094977304740E-03 -2.004451995738E-04  5.996715138046E-05 -1.640264067807E-04  8.003691432623E+00  2.004451995822E-04  3.656622798321E+00  1.130554905200E-19 -7.117430019755E-20 -6.239468478351E-19 -4.585647191215E-03
  3.816128022257E+00  3.962902349169E+00  7.619969344060E+00  6.039133155686E-18 -2.949265985743E+00  5.903787872007E+01  2.084777103546E-01  2.015991627237E+01 -1.162827645317E-01 -6.915408268563E-02 -2.013643239296E+01  6.397002339253E-03  8.557573282284E-04 -1.099882718409E-03  2.441253901825E-04 -4.345324409057E-03 -1.846413943067E-03  2.339583393862E-04  4.785056827173E-05 -3.009138406453E-04  7.540810365321E+00 -2.339583393449E-04  3.350669201266E+00  2.904462740428E-20  6.297241083231E-20 -8.422602837828E-19 -4.196969129712E-03
  4.109676676082E+00  4.256450736987E+00  7.726572500934E+00  1.336550228132E-16 -2.901840397096E+00  6.067200821836E+01  2.005795463591E-01  1.963768242714E+01 -1.096997619168E-01 -6.504994122053E-02 -2.006091005389E+01  6.152872822076E-03  7.643640250362E-04 -1.013495584703E-03  2.491315596633E-04 -4.680202237779E-03 -2.061484143089E-03  1.262785600125E-04  1.893203794754E-05 -1.397731422564E-04  7.101076285217E+00 -1.262785600247E-04  3.141502117526E+00  9.870406709036E-20 -6.749532404214E-20 -4.686739588598E-19 -3.822021883278E-03
  4.403224797892E+00  4.549998999284E+00  7.828335589442E+00 -1.111154760867E-16 -2.857009289847E+00  6.225447192100E+01  1.921441715387E-01  1.913031620734E+01 -1.033984752146E-01 -6.097201150776E-02 -1.998416509377E+01  5.917286022113E-03  6.856416992672E-04 -9.271225829796E-04  2.414808837154E-04 -3.617296427415E-03 -1.540557272338E-03 -3.443285840001E-04  1.760975619381E-05  3.999244785500E-05  6.719648958548E+00  3.443285839840E-04  2.989490962043E+00  1.133932798937E-19  1.864647364415E-20 -1.501357308358E-18 -3.508909878966E-03
  4.696773200677E+00  4.843547406652E+00  7.923791175088E+00 -2.782596405355E-16 -2.814072676499E+00  6.375769549635E+01  1.835444477057E-01  1.864990291050E+01 -9.670721292891E-02 -5.699471772735E-02 -1.990013393573E+01  5.661480622526E-03  6.162109416041E-04 -8.306563691826E-04  2.144454275757E-04 -3.305050353549E-03 -1.411074884296E-03 -3.674149843507E-04  4.001492713671E-05  1.985960308751E-04  6.312910102637E+00  3.674149843524E-04  2.848050785855E+00  5.876646770885E-20  1.315940366518E-20 -1.095286051755E-18 -3.204174100255E-03
  4.990321612626E+00  5.137095822877E+00  8.013687354371E+00 -2.288005397123E-16 -2.773398145392E+00  6.519252189425E+01  1.747536541673E-01  1.822451043389E+01 -9.034300555475E-02 -5.288130929454E-02 -1.980837048992E+01  5.440187742169E-03  5.707491186489E-04 -7.501688812781E-04  1.794197626301E-04 -3.024259437319E-03 -1.291009099069E-03  1.115627357568E-04  6.078402408765E-05 -1.330214593528E-05  5.965646674424E+00 -1.115627357305E-04  2.638942325108E+00 -1.344942794726E-19 -4.507752077868E-20 -1.420240498992E-18 -2.940083716577E-03
  5.283870033128E+00  5.430644247350E+00  8.098956471676E+00 -8.835019507983E-17 -2.736622245139E+00  6.657103129466E+01  1.659854033242E-01  1.783699801530E+01 -8.354179861163E-02 -4.888545311551E-02 -1.973243213927E+01  5.205097704175E-03  5.043844460895E-04 -6.874343356817E-04  1.830498895890E-04 -2.751906869691E-03 -1.149630210399E-03  2.120340534613E-04  5.800701332972E-05 -1.875813724973E-04  5.612328399827E+00 -2.120340534445E-04  2.463419388043E+00  4.155663997990E-20 -6.434495346221E-20 -1.144021697293E-18 -2.650490853735E-03
  5.577418461572E+00  5.724192679460E+00  8.178456445403E+00  1.012416130206E-17 -2.701089224613E+00  6.787866901565E+01  1.572517378677E-01  1.747461661250E+01 -7.716039273342E-02 -4.483613914549E-02 -1.963204488730E+01  4.982653610035E-03  4.515982263630E-04 -6.027939534144E-04  1.511957270519E-04 -2.470713865243E-03 -1.053125951575E-03  2.098396963122E-05  3.813602845899E-05 -2.477349265235E-04  5.242917195388E+00 -2.098396961440E-05  2.342747304340E+00  1.088816671553E-20  1.475872068912E-19 -1.505843423117E-18 -2.393632559945E-03
  5.870966897347E+00  6.017741118595E+00  8.252853629290E+00  1.807339610545E-16 -2.667861763344E+00  6.911070100385E+01  1.481556389112E-01  1.714030161186E+01 -7.037829951135E-02 -4.084919011035E-02 -1.953788001808E+01  4.749265427898E-03  4.031575212427E-04 -5.361938129896E-04  1.330362917491E-04 -2.240567824272E-03 -9.478840124998E-04  1.534315238623E-04  2.954803123445E-05 -2.561043206162E-04  4.849231771298E+00 -1.534315238353E-04  2.187724730783E+00  5.138662398531E-20 -2.729755040805E-20 -2.598967521317E-19 -2.153944660248E-03
  6.164515339842E+00  6.311289564145E+00  8.320805552479E+00  1.727684632185E-16 -2.636892184438E+00  7.024731811655E+01  1.385809192240E-01  1.684622762142E+01 -6.383746368004E-02 -3.686823995476E-02 -1.943903039075E+01  4.530721223929E-03  3.607385627883E-04 -4.745482010028E-04  1.138096382139E-04 -1.999344042367E-03 -8.400000980363E-04 -8.839204465466E-06  2.942491019321E-05 -5.667207759808E-05  4.500654921755E+00  8.839204456951E-06  1.976956085681E+00  3.958222799369E-20 -1.355528721500E-20 -3.888519447271E-19 -1.934904301987E-03
