                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -2.935484632180E-01 -1.467742316090E-01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  1.262680539254E-16  1.467742316090E-01  6.346785677625E+00  2.124643171257E-14 -2.132859356427E-01  4.110601239675E+01  3.653318249781E-02  3.664156519475E-01 -7.834399534942E-02 -2.006663877661E-03 -1.346671219088E+00  4.931431595015E-02  8.697606801363E-04  3.216629126855E-03 -4.086389807191E-03 -2.169823676847E+00  3.831832935638E-02 -3.787442494162E-03 -4.143134204715E-04 -2.292057570296E-05  3.772398856843E+02  3.787442496317E-03 -1.267534983506E+01  4.123389707476E-19  1.168027422140E-19 -2.056344849885E-21 -5.698751814967E-03
  2.935484632180E-01  4.403227039908E-01  7.495492421382E+00  2.265162654953E-14 -2.518398711194E-01  5.714449530585E+01  1.235919193851E-01  3.703495978801E-01 -1.628573703918E-01  3.855965648746E-04 -1.897621284354E+00  2.069792390998E-01  1.714908104370E-01 -3.204363894438E-02 -1.394471714926E-01 -5.740389856564E-01  4.336402450028E-02  1.769952688390E-03 -5.819746494635E-04 -2.633629992763E-06  4.346263336716E+01 -1.769952690083E-03 -8.717025827469E-01 -2.978048150345E-19 -2.496629704186E-20 -1.615853416786E-19 -4.262375353929E-02
  5.870969447636E-01  7.338709231938E-01  7.941570138447E+00  3.447561949937E-15 -2.452570533346E-01  6.389769785213E+01  1.329008147404E-01  3.343448845964E-01 -1.512611394258E-01 -4.450274254263E-04 -1.957895993015E+00  1.787743954923E-01  7.723066964242E-02 -3.043475727736E-02 -4.679591236627E-02 -3.841742950575E-01 -1.237522046856E-02  1.170122461580E-03 -2.183676724107E-04 -1.586366723082E-05  2.424370347010E+01 -1.170122461034E-03  2.881050881135E-01  3.940718543271E-20  1.719522362871E-20 -2.432050186328E-19 -2.256805016501E-02
  8.806449016241E-01  1.027418888607E+00  8.385084681401E+00  2.010041794603E-15 -2.412625666862E-01  7.112854428992E+01  1.404856908915E-01  3.235305423690E-01 -1.559742879288E-01 -2.106258209958E-05 -2.032312651198E+00  1.670190783788E-01  6.572052844185E-02 -3.130253617259E-02 -3.441799226913E-02 -3.455864835061E-01 -4.461904544400E-04  4.883924628077E-04 -7.991924852523E-05 -3.806597332768E-05  2.084257420312E+01 -4.883924622750E-04  1.822848470262E-01 -6.691477363072E-20 -5.518215029760E-20 -7.236527202975E-21 -1.846991982174E-02
  1.174192875590E+00  1.320967142022E+00  8.706359472908E+00 -2.115774799826E-15 -2.385687190160E-01  7.656401575841E+01  1.483904120477E-01  3.187369818475E-01 -1.516320849232E-01 -2.213163209095E-04 -2.084771798809E+00  1.517000491107E-01  4.828136022289E-02 -3.088272902626E-02 -1.739863119696E-02 -2.442949019706E-01 -1.705606403353E-04  2.179885669279E-04 -3.089381473281E-05 -2.135024706441E-05  1.622344874784E+01 -2.179885660927E-04 -8.412479524959E-02 -6.002896870539E-19  1.908981764816E-19  9.150406317643E-20 -1.367374542355E-02
  1.467741408453E+00  1.614515682827E+00  8.980381471658E+00  9.942049218397E-18 -2.443490010103E-01  8.137412028176E+01  1.540694749403E-01  3.153644641372E-01 -1.489928903576E-01 -3.480713174477E-04 -2.200428121997E+00  1.410032011050E-01  3.864419488045E-02 -2.964687456833E-02 -8.997320312814E-03 -1.960849014033E-01  3.822458811119E-03  1.022160690549E-04 -3.911057819888E-06  5.044574090428E-06  1.345097531593E+01 -1.022160670799E-04 -3.163865576026E-01  6.485111238507E-20  9.266635738835E-20  4.261815846583E-19 -1.090051802291E-02
  1.761289957201E+00  1.908063968010E+00  9.199924314017E+00 -4.120588707079E-16 -2.501777064393E-01  8.532202360664E+01  1.576225151550E-01  3.084160562469E-01 -1.438968904373E-01 -2.152965808312E-04 -2.309359531795E+00  1.316365753169E-01  3.074429289335E-02 -2.750360441982E-02 -3.240688473697E-03 -1.544113159608E-01  3.260976520486E-03  2.272172422030E-05  2.415873127782E-06 -4.040171944855E-07  1.114154814662E+01 -2.272172294752E-05 -1.970631196301E-01  2.103590665456E-19  6.590044145332E-20 -6.686103485749E-21 -8.792915645765E-03
  2.054837978819E+00  2.201611996959E+00  9.389204013360E+00  9.679370537168E-16 -2.515794106290E-01  8.880646807916E+01  1.592602162125E-01  2.978418369764E-01 -1.393203564239E-01 -4.258893836429E-05 -2.372156870937E+00  1.242695255602E-01  2.483798780417E-02 -2.490449616949E-02  6.650836559363E-05 -1.282369745195E-01  5.978258780870E-04  2.025655051448E-05  4.480274669853E-06  2.710639348719E-06  9.696581122318E+00 -2.025654780936E-05 -2.341307024564E-02 -2.190819286142E-19  2.766139390340E-20  5.720707157373E-20 -7.430309334531E-03
  2.348386015099E+00  2.495160311466E+00  9.555726161249E+00  3.023837741480E-16 -2.510365901695E-01  9.192833366559E+01  1.590408262695E-01  2.885558868588E-01 -1.341038062750E-01 -3.249268213320E-04 -2.407820281657E+00  1.183227609852E-01  2.116913043959E-02 -2.200209217015E-02  8.329617307171E-04 -1.109876110769E-01  8.761401738399E-05  4.557538472112E-06 -4.749380490941E-06  1.448750049667E-05  8.734391540711E+00 -4.557536767941E-06  1.275859043186E-01 -3.925412997346E-19 -1.641592946083E-20  3.599759634050E-20 -6.586956013031E-03
