                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -5.844822281166E-01 -2.922411140583E-01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
 -4.247486258811E-17  2.922411140583E-01  8.907305564321E+00 -1.151446217868E-14 -5.339614149625E-01  8.028958555864E+01  4.446725521290E-02  7.212066696437E-01 -8.619488442469E-02 -4.235193098547E-03 -4.746133377964E+00  5.418177512201E-02  2.916183204030E-04  1.299831314101E-03 -1.591449634635E-03 -1.662408629417E+00  5.036027941788E-02 -5.902804633883E-04  2.962671722520E-05  8.081516141813E-05  2.564526468793E+02  5.902804627564E-04 -1.570760741773E+01 -1.985616364134E-19 -1.908222966606E-21 -4.188137437798E-20 -2.520081084625E-03
  5.844822281166E-01  8.767233554515E-01  9.829147876398E+00 -9.211862624841E-15 -6.136443061306E-01  9.753362871225E+01  1.495152049060E-01  7.355916530030E-01 -1.699686001533E-01  8.341861000284E-04 -6.046827118645E+00  3.866351028484E-01  1.232741936049E-01 -2.235454625303E-02 -1.009196473511E-01 -4.234719145868E-01  4.544531016626E-02  4.598351260035E-04  3.263660104683E-05 -2.436933623471E-05  1.811109353879E+01 -4.598351252475E-04 -8.548033440885E-01 -1.213071275975E-19 -8.533024425678E-21  2.310245030392E-19 -3.459203230355E-02
  1.168964482786E+00  1.461205623082E+00  1.023058646624E+01  2.062666938859E-15 -5.964066174492E-01  1.054647190608E+02  1.551300331780E-01  6.777209844206E-01 -1.612111343263E-01 -1.432749774027E-03 -6.108979960075E+00  3.362725270646E-01  5.885702213882E-02 -2.068937849625E-02 -3.816764364262E-02 -3.382538035332E-01 -1.611374261684E-02  1.384745956217E-04  8.607967271433E-06  2.877372792239E-05  1.073928177609E+01 -1.384745957599E-04  3.153101634247E-01 -1.353482125211E-19  1.154410301849E-19 -5.151245892997E-20 -1.985699742117E-02
  1.753446763377E+00  2.045687167303E+00  1.061378068841E+01 -2.882392722374E-16 -5.906276746767E-01  1.134362294619E+02  1.631505067930E-01  6.654831591959E-01 -1.669516854418E-01 -1.862361705732E-04 -6.275688256614E+00  3.119712027125E-01  5.098948693835E-02 -2.523151213522E-02 -2.575797480391E-02 -2.944570342711E-01 -3.515968841334E-03  8.844715064270E-05 -6.601995982609E-06  5.732720178966E-05  9.061889435570E+00 -8.844715063163E-05  2.805437753631E-01 -9.673556554541E-20  4.730789329847E-20  1.861501124968E-19 -1.579845002508E-02
  2.337927571228E+00  2.630168736496E+00  1.089261042001E+01 -5.803639950865E-16 -5.759264922086E-01  1.193838828674E+02  1.737004403148E-01  6.387416049118E-01 -1.637585433035E-01 -9.418525136828E-04 -6.278232908257E+00  2.838090605289E-01  3.673636796870E-02 -2.463389357454E-02 -1.210247439418E-02 -2.101832773408E-01 -6.114560137313E-03 -1.362799902976E-05 -2.774517624520E-05  5.087944400167E-07  7.123140281169E+00  1.362799900212E-05  3.105574423806E-01  2.131335512812E-19 -9.496794856112E-20  1.732354814058E-19 -1.190897318757E-02
  2.922409901764E+00  3.214651079044E+00  1.113420384558E+01 -2.217240674027E-15 -5.679039810690E-01  1.246724144666E+02  1.822620059190E-01  6.205564636817E-01 -1.631699552484E-01 -7.722864378239E-04 -6.327094196031E+00  2.663413781207E-01  2.966585984352E-02 -2.361576200813E-02 -6.050097836375E-03 -1.738575952132E-01 -2.759109668754E-03 -4.952465909127E-05 -2.403465503485E-05  4.240005322284E-05  6.050655590492E+00  4.952465902824E-05  1.839842080669E-01 -4.475158944794E-20  7.665839840438E-20 -1.454326235605E-19 -9.832203153108E-03
  3.506892256323E+00  3.799133445299E+00  1.133467673790E+01 -1.178692546228E-15 -5.624565578978E-01  1.291391540931E+02  1.879635536943E-01  6.061305078566E-01 -1.599559690151E-01 -1.023081511700E-03 -6.379279802674E+00  2.514501322989E-01  2.347283024917E-02 -2.149685254086E-02 -1.975977708267E-03 -1.419648503686E-01 -1.779403349575E-03 -6.952208261028E-07 -3.428417438531E-06  7.028986408573E-05  5.179182413936E+00  6.952209447817E-07  9.963075528598E-02  1.622930962612E-19  2.184024066235E-20  1.233391245486E-19 -8.228132579953E-03
  4.091374634275E+00  4.383615834630E+00  1.151256085866E+01 -1.689490001562E-15 -5.606098673407E-01  1.331704193046E+02  1.909071173520E-01  5.942124602185E-01 -1.575415560161E-01 -1.038768292690E-03 -6.458043408990E+00  2.396582878665E-01  1.925606259649E-02 -1.987406862872E-02  6.180060319990E-04 -1.219651856939E-01 -8.051749534766E-04  1.142392070474E-05  6.990954498003E-06  4.351916130642E-05  4.602605063294E+00 -1.142392085387E-05  8.179330818642E-02  1.252159154203E-19  2.531138761737E-20  1.561528326596E-20 -7.138493848352E-03
  4.675857034986E+00  4.968097497391E+00  1.167093172209E+01 -5.381561960148E-16 -5.565049538216E-01  1.368107220139E+02  1.917629672363E-01  5.797988697835E-01 -1.538923618999E-01 -1.268153074849E-03 -6.498871398083E+00  2.289445071827E-01  1.607664769969E-02 -1.827369771008E-02  2.197050010173E-03 -1.068466715820E-01 -1.556734381175E-03 -1.757685131650E-06  3.935622704024E-06 -7.125201133499E-05  4.111746058744E+00  1.757685341899E-06  1.201296681381E-01 -2.090056208860E-19 -1.604140986852E-19  1.867678071699E-20 -6.278767459248E-03
