                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -2.935484632180E-01 -1.467742316090E-01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  1.262680539254E-16  1.467742316090E-01  8.049079417476E+00  4.819064780879E-16 -7.412130798497E-01  6.570681391670E+01  4.474394048498E-02  9.965344794175E-01 -8.582628718458E-02 -5.578042184872E-03 -5.950872152081E+00  2.795395367329E-02  4.767179841326E-04  1.449778168620E-03 -1.926496152761E-03 -1.538969438404E+00  7.158818940309E-02 -1.463003898790E-03  2.165436558364E-05 -3.710891281758E-05  4.641184788450E+02  1.463003898834E-03 -4.294024272319E+01  7.969356846216E-20 -1.287773660784E-20 -8.152573612928E-19 -2.604519211714E-03
  2.935484632180E-01  4.403227039908E-01  8.981079472959E+00  4.420266846235E-16 -8.345399766617E-01  8.159929444386E+01  1.495841197713E-01  1.032959886643E+00 -1.698910177755E-01  1.607050810480E-04 -7.501979596457E+00  1.987886667247E-01  1.298090866592E-01 -3.244825804927E-02 -9.736082860818E-02 -4.318541574723E-01  4.828124305134E-02  6.459198880583E-04 -1.147248051346E-06 -7.427592721513E-05  3.594921734501E+01 -6.459198881261E-04 -1.929261059308E+00 -7.318613347832E-19  8.716591143590E-20 -6.149269355912E-20 -3.478834395023E-02
  5.870969447636E-01  7.338709231938E-01  9.368183847384E+00  2.688948442706E-17 -8.119190236674E-01  8.856519150146E+01  1.506845138328E-01  9.551798772891E-01 -1.580824615879E-01 -2.395017350922E-03 -7.603483364325E+00  1.724141658285E-01  6.150844535300E-02 -2.980732018863E-02 -3.170112516451E-02 -3.291951451426E-01 -1.891372798577E-02  3.979681935161E-04 -1.128720330616E-05 -1.208531773664E-05  2.104509929326E+01 -3.979681935219E-04  9.053765419868E-01 -6.966735195479E-19 -1.272559128889E-19 -1.924341396403E-19 -1.959451620241E-02
  8.806449016241E-01  1.027418888607E+00  9.753296247421E+00  1.414290912031E-17 -8.012984255993E-01  9.592193851493E+01  1.533784884678E-01  9.251724311421E-01 -1.615435924840E-01 -1.443713584150E-03 -7.807452448061E+00  1.602643455674E-01  5.470465062265E-02 -3.300512027911E-02 -2.169953034377E-02 -2.959162137641E-01 -6.373826406812E-03  2.309386849438E-04  3.295203392896E-05  3.021061993227E-05  1.798180015114E+01 -2.309386849669E-04  7.725034015826E-01 -6.123983185322E-21 -3.669937601178E-19  5.294139892037E-19 -1.574458782519E-02
  1.174192875590E+00  1.320967142022E+00  1.002800004125E+01 -1.174000370389E-16 -7.835645905772E-01  1.013120252424E+02  1.585498785556E-01  8.864521985885E-01 -1.565828690754E-01 -1.782610283585E-03 -7.852184530179E+00  1.452618897262E-01  4.042675159859E-02 -3.023124689729E-02 -1.019550470065E-02 -2.071534648648E-01 -8.702392338855E-03  1.083981746183E-04  3.747326871911E-05  1.783928790485E-05  1.410756818531E+01 -1.083981746283E-04  7.157218409932E-01  6.644550421616E-20  1.062811377943E-19 -2.693885951320E-19 -1.179852189604E-02
  1.467741408453E+00  1.614515682827E+00  1.027095344283E+01  5.865830214678E-17 -7.750318156128E-01  1.062225120110E+02  1.612735550259E-01  8.588321911008E-01 -1.531369002132E-01 -1.560165180922E-03 -7.954575646057E+00  1.353282722678E-01  3.354715000001E-02 -2.789061995198E-02 -5.656530047951E-03 -1.729579368113E-01 -3.919167143068E-03  5.502206160213E-05  3.446655945708E-05 -3.858537212467E-05  1.200570604056E+01 -5.502206158084E-05  4.730120300697E-01  3.413654392993E-19  1.339686766510E-19  1.203869764718E-19 -9.688730421820E-03
  1.761289957201E+00  1.908063968010E+00  1.046853233087E+01  9.097472666690E-17 -7.662065250446E-01  1.103046193113E+02  1.612764239740E-01  8.266183680090E-01 -1.482639803550E-01 -1.462181561111E-03 -8.017811503330E+00  1.244724311676E-01  2.582918930806E-02 -2.550483241804E-02 -3.243568899378E-04 -1.365320319120E-01 -3.710330745292E-03  2.166783068836E-05  2.805844362269E-05 -8.978430019163E-06  9.897664390571E+00 -2.166783070367E-05  4.496364125419E-01  3.154161162902E-19 -9.641389435945E-20 -3.800306096522E-19 -7.657809956199E-03
  2.054837978819E+00  2.201611996959E+00  1.063413373677E+01  7.088945790513E-17 -7.585319150571E-01  1.137892722472E+02  1.589088870348E-01  8.002203370132E-01 -1.433886379168E-01 -1.520001197406E-03 -8.064983430056E+00  1.167160904124E-01  2.148064730536E-02 -2.396465885350E-02  2.484011547580E-03 -1.104926877041E-01 -2.932947583787E-03  5.885262395417E-06  9.797520804363E-06  1.391732187306E-05  8.378004784583E+00 -5.885262371334E-06  3.070785567298E-01 -5.692127960086E-21 -3.145618187435E-19 -2.443622237184E-19 -6.299598833942E-03
  2.348386015099E+00  2.495160311466E+00  1.077595046022E+01  2.744344397457E-17 -7.549377757271E-01  1.168173009727E+02  1.553307498776E-01  7.785167199269E-01 -1.379283145817E-01 -1.681671438993E-03 -8.132705046022E+00  1.110662934438E-01  1.814741341725E-02 -2.126815371292E-02  3.120740295268E-03 -9.303464272496E-02 -1.010519519887E-03 -1.729108378220E-05 -1.777819905230E-08 -9.516740468690E-06  7.545790015081E+00  1.729108377312E-05  9.634935743517E-02  2.031786576969E-19  1.526696545175E-19 -4.509987067865E-19 -5.599679103142E-03
  2.641934607833E+00  2.788708910920E+00  1.091101558230E+01 -9.862999868595E-17 -7.549965015708E-01  1.197265309366E+02  1.511828833570E-01  7.686307521596E-01 -1.317118917211E-01 -1.689477093163E-03 -8.238223503514E+00  1.058642192871E-01  1.606397669909E-02 -1.931606077571E-02  3.252084076428E-03 -8.579460740202E-02  4.802200389150E-04 -1.119889672129E-05 -3.905484709590E-06 -1.067740402882E-05  7.167494857448E+00  1.119889674389E-05  1.123757663887E-02  3.434947663153E-19  2.147567234053E-20 -3.230240084031E-19 -5.079611301317E-03
  2.935483214007E+00  3.082257252307E+00  1.103895142208E+01  6.530306385975E-17 -7.545255283681E-01  1.225114006107E+02  1.464032258832E-01  7.579657297111E-01 -1.254416260488E-01 -1.488805933237E-03 -8.331749934439E+00  1.016872467402E-01  1.458640903675E-02 -1.794120582242E-02  3.354796785599E-03 -7.756849869243E-02 -3.381794414785E-04  2.160065234267E-05 -5.793886716724E-06  8.963498681489E-06  6.657275070489E+00 -2.160065231521E-05  1.253999646938E-01 -4.410164618036E-19  8.846753300547E-20 -3.065081244833E-19 -4.593688335435E-03
  3.229031290608E+00  3.375805335017E+00  1.115529421757E+01  3.566940444183E-17 -7.503948891729E-01  1.250711422420E+02  1.419888664213E-01  7.418350098973E-01 -1.194653418383E-01 -1.167356068583E-03 -8.373918330946E+00  9.684920033681E-02  1.271460982533E-02 -1.513826254904E-02  2.423652723830E-03 -6.948647827020E-02 -1.853614861158E-03  9.945762597512E-06 -2.059397529651E-06  6.160760424020E-06  6.172692549358E+00 -9.945762592467E-06  1.965148407393E-01 -1.646486232050E-19  1.839548454614E-19 -6.611490416897E-19 -4.151185147014E-03
  3.522579379427E+00  3.669353700842E+00  1.126544920568E+01 -3.944335973832E-17 -7.473146004137E-01  1.275116363716E+02  1.380508800493E-01  7.278625036737E-01 -1.130796873121E-01 -9.684148293290E-04 -8.419352335556E+00  9.210367814591E-02  1.140266555640E-02 -1.428024075591E-02  2.877575199339E-03 -6.276599068310E-02 -1.562463398717E-03  1.863727838369E-06  8.939016846272E-07  5.995618119736E-06  5.645502015904E+00 -1.863727817243E-06  2.750046336627E-01 -1.478647932722E-19 -1.594224262349E-19 -3.264663958591E-19 -3.677829659106E-03
  3.816128022257E+00  3.962902349169E+00  1.136244798242E+01  5.725540382789E-17 -7.403037485073E-01  1.296780501024E+02  1.340056299982E-01  7.059013268372E-01 -1.069160437080E-01 -8.412563413136E-04 -8.411083560407E+00  8.750985355435E-02  1.043516656335E-02 -1.317643713964E-02  2.741270576348E-03 -5.485814394682E-02 -2.201647956986E-03  9.754271315256E-07  7.622871324240E-07  5.165111411593E-06  4.954985905346E+00 -9.754271188807E-07  3.360136493876E-01 -4.023085186565E-19 -3.667328764063E-19 -3.552515315931E-19 -3.170836818200E-03
  4.109676676082E+00  4.256450736987E+00  1.144726542982E+01  4.403042365078E-17 -7.349850040992E-01  1.315892602502E+02  1.294979170589E-01  6.850420611643E-01 -1.005939498217E-01 -7.687848333867E-04 -8.413710448543E+00  8.343872991542E-02  8.367938442380E-03 -1.214850224474E-02  3.780563802432E-03 -4.664340512546E-02 -1.965535360313E-03 -4.108560728240E-06 -9.996350650976E-07  1.696365484702E-06  4.348235670439E+00  4.108560731110E-06  3.572251619507E-01 -2.003486971265E-19  1.076952666790E-19 -5.630571210396E-20 -2.738392341989E-03
  4.403224797892E+00  4.549998999284E+00  1.152200003170E+01 -2.223885003016E-18 -7.271958828200E-01  1.332877625678E+02  1.242943053080E-01  6.631966348865E-01 -9.417364529640E-02 -7.960651118226E-04 -8.379085270393E+00  7.979477048598E-02  7.323419032597E-03 -1.144097830546E-02  4.117559272408E-03 -4.142649065568E-02 -2.554284367963E-03 -1.480858154622E-06 -2.668664118971E-06 -6.792219727125E-09  3.917063244265E+00  1.480858153763E-06  2.618257096234E-01  4.409159560861E-19 -1.411834230287E-19  3.168728148384E-19 -2.438889020343E-03
  4.696773200677E+00  4.843547406652E+00  1.159099629265E+01 -2.448287853545E-17 -7.253775671195E-01  1.348623260403E+02  1.188008378819E-01  6.514248571137E-01 -8.795038208133E-02 -8.661099781263E-04 -8.409887263857E+00  7.663146465276E-02  6.220364407901E-03 -1.019835092127E-02  3.977986513428E-03 -3.660309105565E-02 -9.905992189395E-04 -1.304018513859E-06 -8.234823958159E-07  2.236464326347E-06  3.590153755765E+00  1.304018504325E-06  1.832774143315E-01  5.050997971332E-20 -1.330987586156E-19 -1.731763256840E-19 -2.164734931798E-03
  4.990321612626E+00  5.137095822877E+00  1.165373550518E+01 -5.431138200103E-17 -7.204707368575E-01  1.362975425181E+02  1.136289111989E-01  6.373409854962E-01 -8.162490298845E-02 -9.132904151185E-04 -8.398396554098E+00  7.363710386536E-02  5.884288723115E-03 -9.759882542275E-03  3.875593819117E-03 -3.298094638484E-02 -1.919686516094E-03 -4.620330832230E-06  1.699128549044E-06  2.099460848568E-06  3.365303067560E+00  4.620330822065E-06  2.616885686151E-01  1.643207428839E-19 -9.824933420316E-20 -1.205313430207E-19 -1.989711705419E-03
  5.283870033128E+00  5.430644247350E+00  1.171448131753E+01 -5.484707740061E-17 -7.157752191944E-01  1.376950779357E+02  1.085575952186E-01  6.239186971243E-01 -7.529129384620E-02 -7.695902326187E-04 -8.389645192880E+00  7.024251753285E-02  5.380861367158E-03 -9.034708795986E-03  3.653847428954E-03 -3.034140462893E-02 -2.083069868884E-03  3.704526443480E-06  5.093374497530E-07  3.257584444145E-07  3.101801829890E+00 -3.704526453053E-06  3.432206215030E-01 -1.826385261848E-19  2.151401048510E-19 -3.450943436115E-19 -1.752448386892E-03
  5.577418461572E+00  5.724192679460E+00  1.176755165383E+01 -2.300266199035E-17 -7.078768563317E-01  1.389194392675E+02  1.035452154160E-01  6.066900196307E-01 -6.911296616846E-02 -8.934290819350E-04 -8.337784574888E+00  6.696778533901E-02  4.197785456660E-03 -7.957272811083E-03  3.759487354448E-03 -2.574621029618E-02 -2.132738993421E-03 -2.401649930609E-06 -1.315482918900E-06 -2.177302900101E-06  2.700288910592E+00  2.401649923016E-06  3.024268347438E-01  1.094737951507E-19 -3.011305486171E-19 -8.917139184529E-20 -1.514971861171E-03
  5.870966897347E+00  6.017741118595E+00  1.181356447437E+01  4.386190710767E-17 -7.046782076032E-01  1.399844017188E+02  9.834044703361E-02  5.967223398884E-01 -6.296123201171E-02 -8.568920824643E-04 -8.334183758717E+00  6.411064169868E-02  3.823114854383E-03 -7.431706153250E-03  3.608591298706E-03 -2.266458438508E-02 -8.580488681371E-04  2.448560405953E-06 -1.601923607442E-06  9.448686894491E-07  2.432653984615E+00 -2.448560408593E-06  1.459118985560E-01  1.639934515615E-19  9.767655287873E-20 -2.472190177237E-19 -1.328755805511E-03
  6.164515339842E+00  6.311289564145E+00  1.185681434955E+01  5.091515045946E-17 -7.025228337611E-01  1.409871489044E+02  9.283252338288E-02  5.904642040646E-01 -5.684095783956E-02 -9.843720546747E-04 -8.338816316419E+00  6.162489290380E-02  3.608960030386E-03 -6.964660166484E-03  3.355700136085E-03 -2.005308542888E-02 -3.671514453686E-04  2.909614905265E-07 -8.542406702400E-07  1.002960134080E-06  2.275813034001E+00 -2.909615016252E-07  1.104847104650E-01  2.106100065336E-19  6.980048744461E-20  3.696795494379E-19 -1.196071196723E-03
